doc_id,book,doc,section,line_start,line_end,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence
secure-001,secure,secure-combined.adoc,Using Tekton Chains for OpenShift Pipelines supply chain security,58,78,"When I need to ensure supply chain security for my CI/CD pipelines, I want to automatically sign and verify task runs and pipeline runs, so I can prove the integrity and provenance of my software artifacts.",core,Security engineer,Secure,main_job,,,Configure Tekton Chains; Authenticate to OCI registry; Generate signing keys,Minimize risk of supply chain attacks; Ensure cryptographic proof of artifact integrity; Enable compliance with security policies; Reduce manual verification effort,"secure-combined.adoc -> 'Using Tekton Chains for OpenShift Pipelines supply chain security', lines 58-78. Key quote: 'You can use it to manage the supply chain security of the tasks and pipelines created using {pipelines-title}. By default, {tekton-chains} observes all task run executions... takes a snapshot... converts the snapshot to one or more standard payload formats, and finally signs and stores all artifacts.'"
secure-002,secure,secure-combined.adoc,Configuring Tekton Chains,85,112,"When I need to customize Tekton Chains behavior for my organization, I want to modify configuration parameters via the TektonConfig custom resource, so I can control artifact formats, storage backends, and signing methods.",core,Cluster administrator,Configure,main_job,,Install OpenShift Pipelines Operator,Configure storage backends; Configure signing schemes; Set transparency options,Minimize configuration complexity; Ensure configuration changes apply automatically; Reduce likelihood of misconfiguration; Enable standardized security controls across namespaces,"secure-combined.adoc -> 'Configuring Tekton Chains', lines 85-112. Key quote: 'The {pipelines-title} Operator installs {tekton-chains} by default. You can configure {tekton-chains} by modifying the TektonConfig custom resource; the Operator automatically applies the changes that you make in this custom resource.'"
secure-003,secure,secure-combined.adoc,Configuring Tekton Chains,85,112,"As a cluster administrator, when I need to modify Tekton Chains configuration, I want to edit the TektonConfig custom resource via oc edit command, so I can apply changes without manual pod restarts.",core,Cluster administrator,Configure,user_story,Customize Tekton Chains behavior for my organization,Have cluster-admin privileges; Have oc CLI installed,,Complete configuration changes in under 5 minutes; Avoid manual intervention for applying changes,"secure-combined.adoc -> 'Configuring Tekton Chains', lines 91-96. Key quote: 'To edit the custom resource, use the following command: $ oc edit TektonConfig config'"
secure-004,secure,secure-combined.adoc,Supported parameters for Tekton Chains configuration - task run artifacts,122,155,"When I need to control how task run signatures are stored, I want to configure artifact format, storage backend, and signature backend parameters, so I can align with my organization's security and storage policies.",core,Security engineer,Configure,user_story,Customize Tekton Chains behavior for my organization,"Understand in-toto and SLSA formats; Know available storage backends (tekton, oci, gcs, docdb, grafeas)",Configure pipeline run artifacts; Configure OCI artifacts,Ensure task run artifacts comply with SLSA specification; Reduce storage costs by selecting appropriate backend; Minimize integration effort with existing security infrastructure,"secure-combined.adoc -> 'Supported parameters for task run artifacts', lines 122-155. Key quote: 'artifacts.taskrun.format: The format for storing task run payloads (in-toto, slsa/v1). artifacts.taskrun.storage: The storage backend for task run signatures (tekton, oci, gcs, docdb, grafeas). artifacts.taskrun.signer: The signature backend (x509, kms).'"
secure-005,secure,secure-combined.adoc,Supported parameters for Tekton Chains configuration - pipeline run artifacts,157,190,"When I need to record provenance for pipeline runs including child task runs, I want to enable deep inspection mode, so I can capture complete execution details for audit and compliance.",core,Security engineer,Configure,user_story,Customize Tekton Chains behavior for my organization,Configure pipeline run storage backend,Configure task run artifacts,Ensure complete provenance capture for complex pipelines; Reduce audit effort by having full execution history; Minimize risk of missing critical execution data,"secure-combined.adoc -> 'Supported parameters for pipeline run artifacts', lines 157-184. Key quote: 'artifacts.pipelinerun.enable-deep-inspection: When this parameter is true, {tekton-chains} records the results of the child task runs of a pipeline run. When this parameter is false, {tekton-chains} records the results of the pipeline run, but not of its child task runs.'"
secure-006,secure,secure-combined.adoc,Supported parameters for KMS signers,217,230,"When I need enterprise-grade key management for signing, I want to configure KMS integration with cloud providers, so I can leverage centralized key rotation and auditing capabilities.",core,Platform engineer,Secure,user_story,Customize Tekton Chains behavior for my organization,"Have KMS service configured (GCP KMS, AWS KMS, Azure KMS, or HashiVault); Know KMS URI reference format",Configure KMS authentication; Create KMS authentication token secret,Ensure centralized key management; Enable automated key rotation; Reduce risk of key exposure; Minimize manual key management effort,"secure-combined.adoc -> 'Supported parameters for KMS signers', lines 217-230. Key quote: 'signers.kms.kmsref: The URI reference to a KMS service to use in kms signers. Supported schemes: gcpkms://, awskms://, azurekms://, hashivault://.'"
secure-007,secure,secure-combined.adoc,Creating and mounting the Mongo server URL secret,455,509,"When I need to use MongoDB for docdb storage, I want to securely mount the MongoDB server URL as a secret, so I can avoid exposing credentials in plain text configuration.",core,Platform engineer,Secure,user_story,Customize Tekton Chains behavior for my organization,Have MongoDB server configured; Have cluster-admin privileges for openshift-pipelines namespace,Configure docdb storage parameters,Ensure MongoDB credentials are not exposed in configuration; Minimize security risks from credential leakage; Enable secure production deployments,"secure-combined.adoc -> 'Creating and mounting the Mongo server URL secret', lines 455-509. Key quote: 'You can give the value of the Mongo server URL to use for docdb storage (MONGO_SERVER_URL) using a secret... For production environments, providing authentication information as plain text configuration might be insecure.'"
secure-008,secure,secure-combined.adoc,Creating and mounting the KMS authentication token secret,517,574,"When I need to authenticate to a KMS provider like HashiVault, I want to mount the authentication token as a Kubernetes secret, so I can avoid exposing the VAULT_TOKEN in plain text configuration.",core,Platform engineer,Secure,user_story,Leverage enterprise-grade key management for signing,"Have KMS provider configured (e.g., HashiVault); Have KMS authentication token file; Have cluster-admin privileges",Configure KMS signer parameters,Ensure KMS authentication credentials are protected; Minimize risk of token exposure; Enable secure key management integration,"secure-combined.adoc -> 'Creating and mounting the KMS authentication token secret', lines 517-574. Key quote: 'You can give the authentication token for the Key Management Service (KMS) server by using a secret... You must create this secret, mount it on the {tekton-chains} controller, and set the signers.kms.auth.token-path parameter to the full path name of the authentication token file.'"
secure-009,secure,secure-combined.adoc,Enabling Tekton Chains to operate only in selected namespaces,582,621,"When I need granular control over which namespaces use Tekton Chains, I want to configure namespace filtering via the --namespace argument, so I can limit signing overhead and scope security controls.",core,Cluster administrator,Configure,user_story,Customize Tekton Chains behavior for my organization,Have cluster-admin privileges,,Reduce resource consumption by limiting watched namespaces; Ensure security controls apply only where needed; Minimize blast radius of misconfiguration,"secure-combined.adoc -> 'Enabling Tekton Chains to operate only in selected namespaces', lines 582-621. Key quote: 'By default, the {tekton-chains} controller monitors resources in all namespaces. You can customize {tekton-chains} to run only in specific namespaces, which provides granular control over its operation... add the --namespace= argument to contain the namespaces that the controller should watch.'"
secure-010,secure,secure-combined.adoc,Secrets for signing data in Tekton Chains,631,656,"When I need to sign task runs and pipeline runs, I want to generate and store cryptographic keys in Kubernetes secrets, so I can enable Tekton Chains to sign artifacts automatically.",core,Security engineer,Secure,main_job,,Have openshift-pipelines namespace access,Choose signing scheme (x509 or cosign); Generate cosign key pair; Generate x509 key pair,"Minimize time to generate signing keys; Ensure keys meet security requirements (encryption, key type); Reduce risk of key compromise; Enable automated signing without manual key management","secure-combined.adoc -> 'Secrets for signing data in Tekton Chains', lines 631-656. Key quote: 'Cluster administrators can generate a key pair and use {tekton-chains} to sign artifacts by using a Kubernetes secret. For {tekton-chains} to work, a private key and a password for encrypted keys must exist as part of the signing-secrets secret in the openshift-pipelines namespace.'"
secure-011,secure,secure-combined.adoc,Generating the cosign key pair using the TektonConfig CR,664,731,"As a cluster administrator, when I need to quickly generate cosign signing keys, I want to set generateSigningSecret to true in the TektonConfig CR, so I can automatically provision ECDSA key pairs without manual cosign commands.",core,Cluster administrator,Configure,user_story,Generate and store cryptographic keys for signing,Have cluster-admin privileges; Have TektonConfig access,Extract public key for verification,Complete key generation in under 2 minutes; Avoid manual cosign CLI usage; Ensure keys are stored in correct secret location,"secure-combined.adoc -> 'Generating the cosign key pair using the TektonConfig CR', lines 664-731. Key quote: 'To use the cosign signing scheme for {tekton-chains} secrets, you can generate a cosign key pair that uses Elliptic Curve Digital Signature Algorithm (ECDSA) encryption by setting the generateSigningSecret field in the TektonConfig custom resource (CR) to true... The {pipelines-shortname} Operator generates an ecdsa type cosign key pair and stores it in the signing-secrets secret.'"
secure-012,secure,secure-combined.adoc,Manually generating signing secrets with the cosign tool,738,762,"As a security engineer, when I need full control over cosign key generation, I want to manually generate keys using the cosign CLI tool, so I can use custom encryption parameters and key storage options.",core,Security engineer,Secure,user_story,Generate and store cryptographic keys for signing,Have cosign tool installed; Have access to openshift-pipelines namespace,,Ensure maximum control over key generation parameters; Enable custom passphrase selection; Minimize dependency on operator-generated keys,"secure-combined.adoc -> 'Manually generating signing secrets with the cosign tool', lines 738-762. Key quote: 'You can use the cosign signing scheme with {tekton-chains} using the cosign tool... Generate the cosign.key and cosign.pub key pairs by running the following command: $ cosign generate-key-pair k8s://openshift-pipelines/signing-secrets'"
secure-013,secure,secure-combined.adoc,Manually generating signing secrets with the skopeo tool,770,853,"As a security engineer, when I prefer using skopeo for key generation, I want to generate sigstore-compatible keys with skopeo and manually encode them for Kubernetes secrets, so I can integrate with existing skopeo-based workflows.",core,Security engineer,Secure,user_story,Generate and store cryptographic keys for signing,Have skopeo package installed on Linux; Have base64 encoding tools; Have oc CLI access,,Enable skopeo-based key generation workflow; Ensure keys are compatible with cosign signing scheme; Minimize migration effort from existing skopeo usage,"secure-combined.adoc -> 'Manually generating signing secrets with the skopeo tool', lines 770-853. Key quote: 'You can generate keys by using the skopeo tool and use them in the cosign signing scheme with {tekton-chains}... Generate a public/private key pair by running the following command: $ skopeo generate-sigstore-key --output-prefix <mykey>'"
