doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
tkn_cli-combined.adoc,Installing tkn,"When I need to manage OpenShift Pipelines from a terminal, I want to install the tkn CLI tool on my platform, so I can interact with pipelines using command-line operations",core,OpenShift Pipelines user,Get Started,main_job,,,Verify tkn CLI installation; Configure tkn CLI for cluster access; Execute pipeline operations using tkn,tkn CLI installed on local system; tkn command available in PATH; Ability to execute tkn commands from terminal,"tkn_cli-combined.adoc -> Installing tkn, lines 58-66",Main job covering the overall installation goal across all platforms
tkn_cli-combined.adoc,Installing the Red Hat OpenShift Pipelines CLI on Linux,"When I am using a Linux distribution, I want to download and install the tkn CLI from a tar.gz archive, so I can manage pipelines from my Linux terminal",core,Linux system administrator,Get Started,user_story,"When I need to manage OpenShift Pipelines from a terminal, I want to install the tkn CLI tool on my platform, so I can interact with pipelines using command-line operations",,Install tkn on Linux using RPM; Add tkn to PATH environment variable,"CLI tool downloaded for correct architecture (x86_64, s390x, ppc64le, or arm64); Archive unpacked successfully; tkn executables available in PATH","tkn_cli-combined.adoc -> Installing the Red Hat OpenShift Pipelines CLI on Linux, lines 91-137","Supports multiple Linux architectures; includes tkn, tkn-pac, and opc executables"
tkn_cli-combined.adoc,Installing the Red Hat OpenShift Pipelines CLI on Linux using an RPM,"When I am using RHEL 8, I want to install the tkn CLI using an RPM package, so I can manage the installation through the system package manager",core,RHEL system administrator,Get Started,user_story,"When I need to manage OpenShift Pipelines from a terminal, I want to install the tkn CLI tool on my platform, so I can interact with pipelines using command-line operations",Active OpenShift subscription; Root or sudo privileges; RHEL 8 system,Register system with subscription manager; Enable OpenShift Pipelines repositories,openshift-pipelines-client package installed via RPM; tkn CLI managed through yum/dnf; Automatic dependency resolution,"tkn_cli-combined.adoc -> Installing the Red Hat OpenShift Pipelines CLI on Linux using an RPM, lines 140-230",Requires subscription management and repository enablement; supports multiple architectures
tkn_cli-combined.adoc,Installing the Red Hat OpenShift Pipelines CLI on Windows,"When I am using Windows, I want to download and install the tkn CLI from a zip archive, so I can manage pipelines from my Windows terminal",core,Windows system administrator,Get Started,user_story,"When I need to manage OpenShift Pipelines from a terminal, I want to install the tkn CLI tool on my platform, so I can interact with pipelines using command-line operations",,Extract zip archive; Add tkn to Windows PATH,CLI tool downloaded for Windows; Archive extracted successfully; tkn executables available in PATH,"tkn_cli-combined.adoc -> Installing the Red Hat OpenShift Pipelines CLI on Windows, lines 233-265","Simpler installation process than Linux; includes tkn, tkn-pac, and opc executables"
tkn_cli-combined.adoc,Installing the Red Hat OpenShift Pipelines CLI on macOS,"When I am using macOS, I want to download and install the tkn CLI from a tar.gz archive, so I can manage pipelines from my macOS terminal",core,macOS system administrator,Get Started,user_story,"When I need to manage OpenShift Pipelines from a terminal, I want to install the tkn CLI tool on my platform, so I can interact with pipelines using command-line operations",,Extract tar.gz archive; Add tkn to macOS PATH,CLI tool downloaded for correct architecture (amd64 or arm64); Archive extracted successfully; tkn executables available in PATH,"tkn_cli-combined.adoc -> Installing the Red Hat OpenShift Pipelines CLI on macOS, lines 268-306","Supports both Intel (amd64) and Apple Silicon (arm64) architectures; includes tkn, tkn-pac, and opc executables"
tkn_cli-combined.adoc,Configuring the {pipelines-shortname} tkn CLI,"When I need to work more efficiently with the tkn CLI, I want to configure the CLI environment with tab completion and customizations, so I can execute commands faster and with fewer errors",core,CLI user,Configure,main_job,,tkn CLI installed,Install tkn CLI; Use tkn commands,CLI is configured for optimal usage; Tab completion is enabled; Command execution is more efficient,"tkn_cli-combined.adoc -> Configuring the {pipelines-shortname} tkn CLI, lines 310-363",Main job covering the entire configuration section
tkn_cli-combined.adoc,Enabling tab completion,"When I'm typing tkn commands in the terminal, I want to enable tab completion, so I can automatically complete commands or see available options without memorizing syntax",core,CLI user,Configure,user_story,"When I need to work more efficiently with the tkn CLI, I want to configure the CLI environment with tab completion and customizations, so I can execute commands faster and with fewer errors",tkn CLI tool installed; bash-completion installed on local system,Install tkn CLI; Use tkn completion command,Tab completion is enabled for tkn commands; Commands are automatically completed when pressing Tab; Available options are suggested when pressing Tab; New terminal sessions have tab completion enabled,"tkn_cli-combined.adoc -> Enabling tab completion, lines 329-363",User story with clear prerequisites and procedural steps
tkn_cli-combined.adoc,Utility commands,"When I need to set up the tkn CLI for the first time, I want to verify the installation and check available commands, so I can confirm the tool is working correctly",core,Pipeline operator,Get Started,main_job,,tkn CLI installed,Enable shell completion; Check CLI version,Confirm tkn is installed and accessible; Understand available tkn commands; Verify correct version is installed,"tkn_cli-combined.adoc -> Utility commands, lines 400-431",Foundational job for CLI usage
tkn_cli-combined.adoc,Pipelines management commands,"When I am managing CI/CD workflows, I want to manage pipelines from the command line, so I can create, monitor, and control pipeline resources without using the web console",core,Pipeline operator,Operate,main_job,,tkn CLI installed; OpenShift Pipelines installed; Cluster access configured,Manage pipeline runs; Manage tasks; Monitor pipeline execution,Create and deploy pipelines; List and inspect pipeline configurations; Start pipeline executions; Delete obsolete pipelines; View pipeline execution logs,"tkn_cli-combined.adoc -> Pipelines management commands, lines 442-502",Core operational job for pipeline lifecycle management
tkn_cli-combined.adoc,Pipelines management commands,"When I need to clean up unused pipeline definitions, I want to delete a pipeline from a namespace, so I can remove obsolete or test pipelines",core,Pipeline operator,Operate,user_story,"When I am managing CI/CD workflows, I want to manage pipelines from the command line, so I can create, monitor, and control pipeline resources without using the web console",Pipeline exists in namespace; Permission to delete pipelines,List pipelines; Delete pipeline runs,Remove unwanted pipeline definitions; Clean up namespace resources; Maintain organized pipeline catalog,"tkn_cli-combined.adoc -> Pipelines management commands, lines 456-464",Requires pipeline name and namespace
