doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
working-with-pipelines-web-console.adoc,Working with Pipelines in Developer perspective,"When I need to build CI/CD automation for my application, I want to create custom pipelines using the web console, so I can automate my software delivery process without writing YAML manually",functional,Developer,define,main_job,,OpenShift Pipelines Operator installed; Developer perspective access; Project/namespace access,monitor-pipeline-execution; manage-pipeline-resources,Pipeline created and ready to execute; Tasks configured with proper dependencies; Resources and parameters defined; Pipeline appears in Pipelines view,Pipeline builder form; YAML view option; Task search and installation from Tekton Hub; Visual pipeline representation,"Core job for pipeline creation, covers both Pipeline builder UI and YAML editing approaches"
working-with-pipelines-web-console.adoc,Constructing pipelines using Pipeline builder,"When I am building a pipeline, I want to search and add tasks from Tekton Hub or my cluster, so I can assemble pipelines from reusable components instead of writing tasks from scratch",functional,Developer,locate,user_story,create-custom-pipelines,Pipeline builder open; Tekton Hub accessible or cluster tasks available,configure-task-parameters; define-pipeline-resources,Tasks added to pipeline; Task dependencies configured; Finally tasks added if needed; Tasks show Install/Add/Update status correctly,Quick search field for tasks; Add/Install and add/Update and add buttons; Visual task ordering with plus icons; Add finally task option,"Allows discovery and reuse of tasks, central to visual pipeline construction"
working-with-pipelines-web-console.adoc,Constructing pipelines using Pipeline builder,"When I am defining my pipeline, I want to specify resources, parameters, and workspaces, so I can provide the inputs and outputs my pipeline tasks need to execute",functional,Developer,prepare,user_story,create-custom-pipelines,Pipeline builder open; Tasks added to pipeline,configure-task-parameters; start-pipeline-runs,Git and Image resources defined; Parameters configured for tasks; Workspaces created and assigned; Error indicators cleared,"Add Resources section; Resource type dropdown (Git, Image); Add Parameters link; Add workspace section; Task side panel for resource assignment",Critical for connecting pipelines to source code and container registries
working-with-pipelines-web-console.adoc,Creating Pipelines along with applications,"When I am deploying an application from Git, I want to automatically create a pipeline for it, so I can set up CI/CD as part of my initial application deployment",functional,Developer,define,user_story,create-custom-pipelines,Developer perspective access; Git repository with application code,configure-webhooks; view-topology-pipelines,Application deployed; Pipeline created and associated with application; Webhook configured for Git events; Pipeline visible in Topology view,+Add -> From Git flow; Pipeline template selection; Automatic webhook creation; Topology view integration,Streamlined workflow combining application deployment and pipeline creation
working-with-pipelines-web-console.adoc,Adding a GitHub repository containing pipelines,"When I have pipelines defined in my GitHub repository, I want to connect my repository to the cluster, so I can run pipelines from Git events like pushes and pull requests",functional,Developer,prepare,main_job,,GitHub application configured by administrator; Public or private GitHub repository; Personal access token or token secret,configure-webhooks; create-custom-pipelines,Repository connected to cluster; Webhook configured in GitHub; Pipelines as Code enabled; Git events trigger pipeline runs,Create -> Repository flow; Git Repo URL input; GitHub App vs webhook options; Webhook URL and secret generation; Show configuration options,"Enables GitOps-style pipeline execution, supports both public and private repos"
working-with-pipelines-web-console.adoc,Adding a GitHub repository,"When I am setting up webhook authentication, I want to use either a personal access token or a token secret, so I can securely authorize GitHub to trigger my pipelines",functional,Developer,prepare,user_story,connect-github-repository,Repository creation flow open; GitHub personal access token or existing secret,configure-webhooks,Webhook secret generated; Authentication configured; Webhook details ready for GitHub configuration,Git access token field; Git access token secret dropdown; Generate button for webhook secret; Link to create new token,Two authentication paths provide flexibility for different security requirements
working-with-pipelines-web-console.adoc,Interacting with pipelines using Developer perspective,"When I need to understand my pipeline structure and status, I want to view pipeline details visually, so I can see task dependencies, execution status, and configuration at a glance",functional,Developer,monitor,main_job,,Pipeline exists in project; Pipelines view access,view-pipeline-metrics; debug-pipeline-failures,"Pipeline visualization displayed; Task details accessible; Serial, parallel, and finally tasks visible; When expressions shown; Parameters and resources reviewable",Visual pipeline representation; Zoom controls; Task detail on hover; Details/Metrics/YAML/Pipeline Runs tabs; Tasks and Finally tasks lists,Primary monitoring and understanding interface for pipelines
working-with-pipelines-web-console.adoc,Interacting with pipelines using Developer perspective,"When I want to improve my pipeline performance, I want to see metrics about success rates, run counts, and durations, so I can identify bottlenecks and optimization opportunities",functional,Developer,monitor,user_story,view-pipeline-details,Pipeline with run history; Metrics tab available,view-pipeline-details; optimize-pipeline-workflow,Success ratio visible; Run count over time shown; Pipeline and task durations displayed; Performance trends identifiable,Metrics tab; Pipeline Success Ratio; Number of Pipeline Runs; Pipeline Run Duration; Task Run Duration,Enables data-driven pipeline optimization
working-with-pipelines-web-console.adoc,Interacting with pipelines using Developer perspective,"When my pipeline run fails, I want to access run details and logs quickly, so I can identify and debug the failure",functional,Developer,resolve,user_story,view-pipeline-details,Pipeline run exists; Pipeline Runs tab accessible,view-task-run-logs; rerun-failed-pipeline,Failed run identified; Log snippet visible; Quick link to full logs available; Task run status clear,Pipeline Runs tab; Run status indicators; Log Snippet in Details section; Link to Logs section; Options menu for rerun,Critical for debugging and failure resolution
working-with-pipelines-web-console.adoc,Starting pipelines from Pipelines view,"When I need to execute my pipeline, I want to start a pipeline run with specific resources and parameters, so I can run my CI/CD workflow on demand or test pipeline changes",functional,Developer,execute,main_job,,Pipeline created; Git and image resources available or ready to create; Workspace volumes available,configure-secrets; monitor-pipeline-execution,Pipeline run started; Resources selected or created; Parameters configured; Workspaces bound to volumes; Execution visible in PipelineRun details,Start Pipeline dialog; Git Resources and Image Resources fields; Parameters section; Workspaces section with volume source options; Advanced Options for credentials,"Primary execution entry point, supports on-demand and manual testing"
