doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
pac,About Pipelines as Code,"When I need to implement GitOps-driven CI/CD for my applications, I want to understand how Pipelines as Code works, so I can determine if it meets my automation requirements.",core,Platform Administrator,Get Started,main_job,,,Install Pipelines as Code; Configure Git repository integration,Minimize time to understand PaC capabilities; Reduce uncertainty about GitOps integration options; Ensure the solution supports my Git provider,"pac-combined.adoc -> About Pipelines as Code, lines 59-118",Main job covering initial understanding of PaC concepts and capabilities
pac,Key features,"When evaluating Pipelines as Code, I want to review the key features and capabilities, so I can assess whether it supports my CI/CD workflow requirements.",core,DevOps Engineer,Get Started,user_story,"When I need to implement GitOps-driven CI/CD for my applications, I want to understand how Pipelines as Code works, so I can determine if it meets my automation requirements.",,Configure GitHub App; Set up webhooks,Ensure support for pull request status checks; Verify automatic task resolution capability; Confirm Git event filtering support,"pac-combined.adoc -> Key features, lines 70-84",User story for feature evaluation
pac,Pipelines as Code concepts,"When I start working with Pipelines as Code, I want to understand the core concepts like Repository CR and .tekton directory structure, so I can plan my implementation correctly.",core,Application Developer,Get Started,user_story,"When I need to implement GitOps-driven CI/CD for my applications, I want to understand how Pipelines as Code works, so I can determine if it meets my automation requirements.",,Create Repository CR; Define pipeline runs in .tekton directory,Minimize configuration errors; Ensure proper namespace mapping; Understand PaC resolver behavior,"pac-combined.adoc -> Pipelines as Code concepts, lines 91-118","Covers Repository CR, .tekton directory, and PaC resolver concepts"
pac,Installing Pipelines as Code on an OpenShift cluster,"When I need to enable Pipelines as Code functionality, I want to install it on my OpenShift cluster, so I can start using GitOps-driven pipelines.",consumption,Platform Administrator,Configure,main_job,,Install OpenShift Pipelines Operator,Customize PaC configuration; Configure Git provider integration,Minimize installation time; Ensure PaC is correctly deployed in openshift-pipelines namespace; Avoid installation errors,"pac-combined.adoc -> Installing Pipelines as Code, lines 196-267",Main installation job
pac,Installing Pipelines as Code on an OpenShift cluster,"When I need to disable the default Pipelines as Code installation, I want to set the enable parameter to false in TektonConfig, so I can control when PaC is active.",related,Platform Administrator,Configure,user_story,"When I need to enable Pipelines as Code functionality, I want to install it on my OpenShift cluster, so I can start using GitOps-driven pipelines.",OpenShift Pipelines Operator installed,Enable PaC after initial setup,Ensure precise control over PaC activation; Prevent unwanted PaC deployment,"pac-combined.adoc -> Installing Pipelines as Code, lines 204-234",Alternative configuration for controlled deployment
pac,Installing Pipelines as Code CLI,"When I need to manage Pipelines as Code from my local machine, I want to install the tkn pac CLI tool, so I can bootstrap repositories and manage PaC resources.",consumption,DevOps Engineer,Configure,user_story,"When I need to enable Pipelines as Code functionality, I want to install it on my OpenShift cluster, so I can start using GitOps-driven pipelines.",OpenShift Pipelines installed,Bootstrap GitHub App; Create Repository CR,Minimize setup time for local development; Ensure CLI is available on all platforms; Enable interactive PaC management,"pac-combined.adoc -> Installing Pipelines as Code CLI, lines 276-334",Covers CLI installation for various platforms
pac,Customizing Pipelines as Code configuration,"When I need to customize Pipelines as Code behavior, I want to configure parameters in the TektonConfig CR, so I can adjust settings like application name, remote tasks, and webhook behavior.",core,Platform Administrator,Configure,main_job,,Install Pipelines as Code,Configure GitHub App settings; Set up error detection,Minimize configuration errors; Ensure settings match organizational policies; Enable necessary features while maintaining security,"pac-combined.adoc -> Customizing Pipelines as Code configuration, lines 342-397",Main job for PaC customization via TektonConfig
pac,Configuring additional Pipelines as Code controllers,"When I need to use multiple GitHub Apps with Pipelines as Code, I want to configure additional PaC controllers, so I can support different GitHub organizations or instances.",core,Platform Administrator,Configure,user_story,"When I need to customize Pipelines as Code behavior, I want to configure parameters in the TektonConfig CR, so I can adjust settings like application name, remote tasks, and webhook behavior.",Main PaC controller configured,Create GitHub App for each controller; Create secrets for additional controllers,Minimize complexity in multi-org setups; Ensure each controller operates independently; Support multiple GitHub instances,"pac-combined.adoc -> Configuring additional PaC controllers, lines 406-442",Advanced configuration for multiple GitHub App support
pac,Configure a GitHub App using the command line interface,"When I need to integrate Pipelines as Code with GitHub, I want to configure a GitHub App using the tkn CLI, so I can automate the setup process.",core,Platform Administrator,Configure,main_job,,Install tkn pac CLI; Cluster administrator access,Verify GitHub App configuration; Install GitHub App on repositories,Minimize manual configuration steps; Reduce setup time; Avoid configuration errors,"pac-combined.adoc -> Configure a GitHub App using CLI, lines 570-612",Main job for GitHub App setup via CLI
pac,Create a GitHub App in administrator perspective,"When I prefer using the web console for configuration, I want to create a GitHub App through the Administrator perspective, so I can set up PaC integration with a guided UI.",core,Platform Administrator,Configure,user_story,"When I need to integrate Pipelines as Code with GitHub, I want to configure a GitHub App using the tkn CLI, so I can automate the setup process.",OpenShift Pipelines Operator installed,Verify GitHub App in web console,Reduce configuration complexity for UI users; Ensure correct GitHub App permissions; Enable visual confirmation of setup,"pac-combined.adoc -> Create GitHub App in administrator perspective, lines 621-657",Alternative UI-based approach to GitHub App creation
pac,Configure a GitHub App manually,"When I need fine-grained control over GitHub App configuration or need to configure additional PaC controllers, I want to manually create a GitHub App and secret, so I can customize all settings precisely.",core,Platform Administrator,Configure,user_story,"When I need to integrate Pipelines as Code with GitHub, I want to configure a GitHub App using the tkn CLI, so I can automate the setup process.",GitHub account with app creation permissions; Cluster administrator access,Generate webhook secret; Configure app permissions; Install app on repositories,Ensure complete control over app settings; Enable configuration for additional controllers; Support GitHub Enterprise instances,"pac-combined.adoc -> Configure GitHub App manually, lines 666-767",Manual configuration for advanced scenarios and additional controllers
pac,Scope the GitHub token to additional repositories,"When my pipeline needs to access multiple repositories, I want to scope the GitHub token to additional repositories, so I can fetch tasks or code from private repositories outside the main repository.",core,DevOps Engineer,Secure,main_job,,GitHub App configured; Repository CR created,Configure global token scoping; Configure repository-level scoping,Minimize security risks while enabling necessary access; Ensure tokens work across required repositories; Avoid access denied errors in pipelines,"pac-combined.adoc -> Scope GitHub token, lines 776-895",Main job for token scoping to enable cross-repo access
pac,Use Pipelines as Code with GitHub Webhook,"When I cannot create a GitHub App, I want to use Pipelines as Code with GitHub Webhook, so I can still integrate PaC with my GitHub repositories.",core,Platform Administrator,Configure,user_story,"When I need to integrate Pipelines as Code with GitHub, I want to configure a GitHub App using the tkn CLI, so I can automate the setup process.",PaC installed; Personal access token created,Configure webhook manually; Create Repository CR with webhook secret,Enable PaC when GitHub App is not available; Minimize setup complexity; Ensure pipeline status is reported,"pac-combined.adoc -> Use PaC with GitHub Webhook, lines 904-1132",Alternative integration method when GitHub App is not available
pac,Use Pipelines as Code with GitLab,"When my organization uses GitLab, I want to integrate Pipelines as Code with GitLab webhooks, so I can use PaC with GitLab repositories.",core,Platform Administrator,Configure,main_job,,PaC installed; GitLab personal access token,Configure GitLab webhook; Create Repository CR for GitLab,Enable PaC for GitLab repositories; Minimize integration complexity; Ensure merge request status is reported,"pac-combined.adoc -> Use PaC with GitLab, lines 1141-1339",Main job for GitLab integration
pac,Use Pipelines as Code with Bitbucket Cloud,"When my organization uses Bitbucket Cloud, I want to integrate Pipelines as Code with Bitbucket webhooks, so I can use PaC with Bitbucket repositories.",core,Platform Administrator,Configure,main_job,,PaC installed; Bitbucket app password,Configure Bitbucket webhook; Create Repository CR for Bitbucket,Enable PaC for Bitbucket Cloud repositories; Minimize integration complexity; Ensure pull request status is reported,"pac-combined.adoc -> Use PaC with Bitbucket Cloud, lines 1348-1588",Main job for Bitbucket Cloud integration
pac,Use Pipelines as Code with Bitbucket Data Center,"When my organization uses Bitbucket Data Center, I want to integrate Pipelines as Code with Bitbucket webhooks, so I can use PaC with self-hosted Bitbucket repositories.",core,Platform Administrator,Configure,main_job,,PaC installed; Bitbucket personal access token,Configure Bitbucket webhook; Create Repository CR for Bitbucket,Enable PaC for Bitbucket Data Center repositories; Minimize integration complexity; Ensure pull request status is reported,"pac-combined.adoc -> Use PaC with Bitbucket Data Center, lines 1598-1738",Main job for Bitbucket Data Center integration
pac,Configure custom certificates for Pipelines as Code,"When my Git repository uses custom certificates, I want to configure PaC to trust these certificates, so I can integrate with privately signed or self-hosted Git providers.",related,Platform Administrator,Secure,user_story,"When I need to integrate Pipelines as Code with GitHub, I want to configure a GitHub App using the tkn CLI, so I can automate the setup process.",OpenShift Pipelines Operator installed,Configure cluster proxy settings,Enable PaC to connect to private Git servers; Avoid SSL certificate errors; Ensure secure communication,"pac-combined.adoc -> Configure custom certificates, lines 1747-1758",Certificate configuration for private Git providers
pac,Private repository support in Pipelines as Code,"When I need to use Pipelines as Code with private repositories, I want PaC to automatically create git auth secrets, so I can clone private repositories in my pipeline runs.",core,Application Developer,Deploy,user_story,"When I need to create pipeline runs triggered by Git events, I want to define pipeline run definitions in the .tekton directory, so I can automate my CI/CD workflow.",Repository CR configured; GitHub App or webhook configured,Reference git-clone task; Configure workspace in pipeline run,Minimize authentication setup for private repos; Ensure automatic secret management; Enable seamless private repository access,"pac-combined.adoc -> Private repository support, lines 1767-1821",Automatic authentication for private repositories
