doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
resource-combined.adoc,Managing OpenShift Pipelines performance,"When running many concurrent pipelines, I want to optimize controller performance, so I can reduce failures and minimize execution delays.",core,Platform Engineer,Operate,main_job,,Install OpenShift Pipelines,Monitor cluster resource usage; Set compute resource quotas,Minimize pipeline execution time; Reduce likelihood of pipeline failures; Ensure adequate cluster resources for concurrent pipeline runs,"resource-combined.adoc -> Managing OpenShift Pipelines performance, lines 1-46",Main job covering performance optimization for high-volume pipeline environments
resource-combined.adoc,Improving OpenShift Pipelines performance,"When experiencing pipeline slowness or failures, I want to enable high-availability mode for controllers, so I can reduce execution times and pod start delays.",core,Platform Engineer,Configure,user_story,"When running many concurrent pipelines, I want to optimize controller performance, so I can reduce failures and minimize execution delays.",Install OpenShift Pipelines; Have cluster-admin permissions,Monitor node resource usage,Reduce TaskRun pod creation latency; Minimize pipeline execution time; Ensure controller high availability,"resource-combined.adoc -> Improving OpenShift Pipelines performance, lines 29-46",User story for enabling HA mode via TektonConfig CR to improve performance
resource-combined.adoc,Improving OpenShift Pipelines performance,"When cluster nodes are resource-constrained, I want to increase the number of nodes, so I can prevent resource exhaustion and pipeline failures.",core,Platform Engineer,Operate,user_story,"When running many concurrent pipelines, I want to optimize controller performance, so I can reduce failures and minimize execution delays.",Monitor cluster resource usage,Scale cluster infrastructure,Reduce likelihood of resource contention; Ensure adequate CPU and memory for pipelines,"resource-combined.adoc -> Improving OpenShift Pipelines performance, lines 34-37",User story for horizontal scaling via adding nodes
resource-combined.adoc,Reducing resource consumption of OpenShift Pipelines,"When operating in a multitenant environment, I want to control resource consumption per namespace, so I can prevent any one application from consuming excessive resources.",core,Cluster Administrator,Configure,main_job,,Install OpenShift Pipelines; Create namespaces,Set resource quotas; Configure limit ranges,Minimize impact on other applications; Ensure fair resource distribution across tenants; Prevent resource exhaustion,"resource-combined.adoc -> Reducing resource consumption of OpenShift Pipelines, lines 54-72",Main job for resource governance in multitenant clusters
resource-combined.adoc,Understanding resource consumption in pipelines,"When defining tasks, I want to understand how step resource requests affect pod scheduling, so I can configure appropriate limits and avoid quota errors.",core,Pipeline Developer,Develop,user_story,"When operating in a multitenant environment, I want to control resource consumption per namespace, so I can prevent any one application from consuming excessive resources.",Understand task and step structure,Configure limit ranges; Set resource quotas,Ensure tasks meet minimum resource requirements; Avoid pod scheduling failures,"resource-combined.adoc -> Understanding resource consumption in pipelines, lines 78-128",User story covering understanding of resource consumption patterns and LimitRange effects
resource-combined.adoc,Mitigating extra resource consumption in pipelines,"When tasks have many steps, I want to reduce step count or distribute steps across tasks, so I can minimize total resource requests and avoid unschedulable pods.",core,Pipeline Developer,Develop,user_story,"When operating in a multitenant environment, I want to control resource consumption per namespace, so I can prevent any one application from consuming excessive resources.",Understand resource request aggregation behavior,Configure limit ranges,Minimize total memory requests for task pods; Reduce likelihood of quota exhaustion; Ensure pods are schedulable,"resource-combined.adoc -> Mitigating extra resource consumption in pipelines, lines 134-177",User story for reducing resource consumption through task design optimization
resource-combined.adoc,Override step level compute resources in a PipelineRun,"When using referenced tasks from bundles or shared pipelines, I want to override step-level resources in the PipelineRun, so I can allocate more CPU or memory without modifying the original task definition.",core,Pipeline Developer,Configure,main_job,,Install OpenShift Pipelines,Use Tekton bundles; Configure Pipelines as Code,Prevent task step failures due to insufficient resources; Avoid modifying shared pipeline definitions; Ensure precise resource allocation for specific steps,"resource-combined.adoc -> Override step level compute resources in a PipelineRun, lines 185-211",Main job for runtime resource customization without modifying task definitions
resource-combined.adoc,Setting compute resources for a task step,"When a task step fails due to insufficient resources, I want to set compute resources using taskRunSpecs in the PipelineRun, so I can allocate adequate memory and CPU for that specific step.",core,Pipeline Developer,Configure,user_story,"When using referenced tasks from bundles or shared pipelines, I want to override step-level resources in the PipelineRun, so I can allocate more CPU or memory without modifying the original task definition.",Identify failing task step; Have permission to modify PipelineRun definitions,Monitor task execution logs,Ensure step completes successfully; Minimize resource over-allocation,"resource-combined.adoc -> Setting compute resources for a task step, lines 216-293",User story for setting step-level resource overrides via PipelineRun taskRunSpecs
resource-combined.adoc,Setting compute resource quota for OpenShift Pipelines,"When managing pipeline workloads, I want to set compute resource quotas for pipelines rather than entire namespaces, so I can control resource consumption at the pipeline level.",core,Cluster Administrator,Configure,main_job,,Install OpenShift Pipelines,Set resource quotas per namespace; Configure limit ranges,Minimize resource consumption by pipeline workloads; Ensure fair resource allocation across pipelines; Prevent pipeline pods from exceeding quotas,"resource-combined.adoc -> Setting compute resource quota for OpenShift Pipelines, lines 306-318",Main job for pipeline-level quota management; currently not directly supported
resource-combined.adoc,Alternative approaches for limiting compute resource consumption in OpenShift Pipelines,"When direct pipeline-level quotas are not available, I want to use alternative approaches like step-level limits or priority classes, so I can achieve some control over resource consumption.",core,Cluster Administrator,Configure,user_story,"When managing pipeline workloads, I want to set compute resource quotas for pipelines rather than entire namespaces, so I can control resource consumption at the pipeline level.",Understand ResourceQuota and LimitRange,Reduce pipeline resource consumption; Set namespace quotas,Control total resources consumed by pipeline pods; Ensure pipelines do not exceed available resources,"resource-combined.adoc -> Alternative approaches for limiting compute resource consumption in OpenShift Pipelines, lines 321-367",User story covering workarounds for pipeline-level quota management
resource-combined.adoc,Specifying pipelines resource quota using priority class,"When I need pipeline-level resource control, I want to create a priority class and configure resource quotas based on pod priority, so I can limit resources for specific pipeline workloads.",core,Cluster Administrator,Configure,user_story,"When managing pipeline workloads, I want to set compute resource quotas for pipelines rather than entire namespaces, so I can control resource consumption at the pipeline level.",Understand PriorityClass and ResourceQuota,Set limit ranges; Configure task resource requests,Control combined resource quota for pipeline pods; Ensure pipeline workloads stay within defined limits; Manage resource allocation by priority,"resource-combined.adoc -> Specifying pipelines resource quota using priority class, lines 383-617",User story for workaround using PriorityClass to achieve pipeline-level quota control
resource-combined.adoc,Protecting Tekton workload pods from eviction during node drains,"When cluster maintenance operations occur, I want to protect critical pipeline workloads from eviction, so I can prevent disruption of non-reentrant tasks.",core,SRE,Operate,main_job,,Install OpenShift Pipelines,Perform cluster maintenance; Schedule node drains,Prevent eviction of running critical workloads; Minimize disruption during cluster upgrades; Ensure non-reentrant tasks complete successfully,"resource-combined.adoc -> Protecting Tekton workload pods from eviction during node drains, lines 627-641",Main job for protecting workloads during voluntary disruptions
resource-combined.adoc,Eviction protection for TaskRun pods,"When I need to protect specific pipeline runs from eviction, I want to use label propagation and PodDisruptionBudget, so I can block node drains while those workloads are running.",core,SRE,Configure,user_story,"When cluster maintenance operations occur, I want to protect critical pipeline workloads from eviction, so I can prevent disruption of non-reentrant tasks.",Identify tasks requiring eviction protection,,Ensure labels propagate from PipelineRun to TaskRun pods; Block voluntary disruptions during task execution,"resource-combined.adoc -> Eviction protection for TaskRun pods, lines 643-663",User story explaining label propagation mechanism for eviction protection
resource-combined.adoc,Preventing eviction of TaskRun pods during node maintenance,"When I have critical one-time tasks like backups or deletions, I want to label the PipelineRun and configure a PodDisruptionBudget, so I can prevent eviction during node drains.",core,SRE,Configure,user_story,"When cluster maintenance operations occur, I want to protect critical pipeline workloads from eviction, so I can prevent disruption of non-reentrant tasks.",Install OpenShift Pipelines; Identify critical workloads,Create PodDisruptionBudget resources,Prevent voluntary eviction of protected pods; Ensure critical tasks complete before node drain; Minimize manual intervention during maintenance,"resource-combined.adoc -> Preventing eviction of TaskRun pods during node maintenance, lines 665-749",User story for configuring PDB and labeling PipelineRuns for eviction protection
resource-combined.adoc,Multicluster support for OpenShift Pipelines,"When running many concurrent tasks on a single cluster, I want to distribute pipeline workloads across multiple clusters, so I can overcome performance limitations and resource contention.",core,Platform Engineer,Operate,main_job,,Install OpenShift Pipelines; Have multiple OpenShift clusters available,Manage pipeline performance; Configure Kueue,Reduce resource contention on Kubernetes API server; Minimize impact of cluster failures; Improve overall pipeline capacity; Ensure horizontal scalability,"resource-combined.adoc -> Multicluster support for OpenShift Pipelines, lines 751-761",Main job for horizontal scaling via multicluster distribution; Technology Preview feature
resource-combined.adoc,About multicluster support in OpenShift Pipelines,"When a single cluster cannot handle pipeline workload volume, I want to use a hub-and-spoke architecture, so I can manage pipeline runs centrally while distributing execution across spoke clusters.",core,Platform Engineer,Architecture,user_story,"When running many concurrent tasks on a single cluster, I want to distribute pipeline workloads across multiple clusters, so I can overcome performance limitations and resource contention.",Understand hub-and-spoke architecture; Install Kueue,Configure MultiKueue,Achieve horizontal scalability for pipeline infrastructure; Reduce resource bottlenecks; Optimize resource utilization across clusters,"resource-combined.adoc -> About multicluster support in OpenShift Pipelines, lines 783-810",User story covering multicluster architecture and benefits
resource-combined.adoc,Configuring the hub cluster for multicluster,"When setting up multicluster support, I want to configure a hub cluster with Kueue and MultiKueue, so I can manage and schedule pipeline runs across multiple spoke clusters.",core,Platform Engineer,Configure,user_story,"When running many concurrent tasks on a single cluster, I want to distribute pipeline workloads across multiple clusters, so I can overcome performance limitations and resource contention.",Install OpenShift Pipelines on hub cluster; Have cluster-admin permissions; Have spoke cluster kubeconfig files,Configure spoke clusters; Create Kueue resources,Enable hub cluster to manage pipeline runs centrally; Ensure hub cluster can connect to spoke clusters; Configure multicluster scheduling via MultiKueue,"resource-combined.adoc -> Configuring the hub cluster for multicluster, lines 872-1171","User story for hub cluster setup including Kueue operator, RBAC, and MultiKueue configuration"
