doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
about-combined.adoc,About OpenShift Pipelines,"When evaluating CI/CD solutions for Kubernetes-based applications, I want to understand what OpenShift Pipelines is and its cloud-native approach, so I can determine if it fits my automation needs.",core,Platform engineer,Get Started,main_job,,,Understand OpenShift Pipelines concepts; Understand key features,Minimize time to evaluate CI/CD options; Ensure the solution is cloud-native and Kubernetes-compatible; Reduce uncertainty about portability across Kubernetes distributions,"about-combined.adoc -> About OpenShift Pipelines, lines 58-79",Entry-level main job covering initial understanding of the product. This is the 'what is it' question for platform evaluators.
about-combined.adoc,Key features,"When evaluating OpenShift Pipelines capabilities, I want to understand its key features including serverless execution, decentralization support, and OpenShift integration, so I can assess whether it meets my architectural requirements.",core,Platform engineer,Get Started,user_story,"When evaluating CI/CD solutions for Kubernetes-based applications, I want to understand what OpenShift Pipelines is and its cloud-native approach, so I can determine if it fits my automation needs.",,Understand OpenShift Pipelines concepts,Ensure the solution supports microservice architectures; Minimize infrastructure overhead with serverless execution; Reduce vendor lock-in with standard pipeline definitions; Ensure integration with existing OpenShift tools,"about-combined.adoc -> Key features, lines 103-114",User story focused on understanding feature set. Supports platform engineer persona evaluating the product.
about-combined.adoc,OpenShift Pipelines concepts,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",core,DevOps engineer,Get Started,main_job,,Understand what OpenShift Pipelines is,Understand tasks; Understand pipelines; Understand workspaces; Understand triggers,Minimize time to become productive with OpenShift Pipelines; Ensure I understand the building blocks before creating workflows; Reduce errors from misunderstanding core concepts,"about-combined.adoc -> OpenShift Pipelines concepts, lines 124-129",Main job covering conceptual understanding needed to work effectively with the platform. This is the foundation for all other work.
about-combined.adoc,Tasks,"When designing CI/CD workflows, I want to understand how Tasks define reusable units of work with sequentially executed steps, so I can create modular and maintainable pipeline components.",core,DevOps engineer,Get Started,user_story,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",,Understand pipelines; Understand task runs,Ensure tasks are reusable across multiple pipelines; Minimize duplication of pipeline logic; Understand how steps execute within pods and containers,"about-combined.adoc -> Tasks, lines 139-205",User story focused on understanding the Task resource as a building block. Includes concrete example with apply-manifests task.
about-combined.adoc,When expression,"When designing conditional pipeline logic, I want to understand how when expressions control task execution based on criteria, so I can implement branching and guarding in my workflows.",core,DevOps engineer,Get Started,user_story,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",Understand tasks,Understand finally tasks; Understand task runs,Minimize unnecessary task execution by implementing guards; Ensure I can control pipeline flow based on dynamic conditions; Reduce pipeline execution time by skipping irrelevant tasks,"about-combined.adoc -> When expression, lines 214-376",User story focused on conditional execution patterns. Important for implementing intelligent pipeline flows.
about-combined.adoc,Finally tasks,"When implementing pipeline cleanup and post-execution actions, I want to understand how finally tasks always run regardless of pipeline success or failure, so I can ensure cleanup and notification actions occur consistently.",core,DevOps engineer,Get Started,user_story,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",Understand tasks,Understand when expressions,Ensure cleanup happens regardless of pipeline outcome; Minimize resource leaks from failed pipelines; Reduce manual intervention for post-pipeline actions,"about-combined.adoc -> Finally tasks, lines 385-456",User story focused on understanding pipeline cleanup patterns. Critical for resource management and notifications.
about-combined.adoc,Task run,"When learning about pipeline execution, I want to understand how TaskRun resources instantiate tasks with specific inputs and parameters, so I can execute individual tasks or debug pipeline runs.",core,DevOps engineer,Get Started,user_story,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",Understand tasks,Understand pipeline runs; Understand workspaces,Ensure I can run tasks independently for testing; Minimize debugging time by understanding task execution; Understand how PipelineRun creates TaskRun instances,"about-combined.adoc -> Task run, lines 465-505",User story focused on understanding task execution and instantiation. Important for debugging and testing individual tasks.
about-combined.adoc,Pipelines,"When designing complex CI/CD workflows, I want to understand how Pipelines orchestrate multiple tasks in specific execution order with shared resources, so I can automate build, deployment, and delivery processes.",core,DevOps engineer,Get Started,user_story,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",Understand tasks,Understand pipeline runs; Understand workspaces; Understand task runs,Ensure I can orchestrate multiple tasks in sequence or parallel; Minimize complexity by understanding pipeline structure; Understand how to define task dependencies with runAfter,"about-combined.adoc -> Pipelines, lines 514-639",User story focused on understanding pipeline orchestration. Central concept for building complete CI/CD workflows. Includes concrete build-and-deploy example.
about-combined.adoc,Pipeline run,"When executing CI/CD workflows, I want to understand how PipelineRun resources bind pipelines to workspaces, parameters, and credentials for specific scenarios, so I can trigger pipeline execution with appropriate context.",core,DevOps engineer,Get Started,user_story,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",Understand pipelines,Understand workspaces; Understand task runs,Ensure I can execute pipelines with scenario-specific parameters; Minimize errors by understanding how to bind workspaces correctly; Understand how status tracking works for monitoring,"about-combined.adoc -> Pipeline run, lines 648-699",User story focused on understanding pipeline instantiation and execution. Critical for running actual workflows.
about-combined.adoc,Pod templates,"When configuring pipeline execution environments, I want to understand how pod templates let me set security contexts, user IDs, and pod parameters for task execution, so I can ensure pipelines run with appropriate security and resource settings.",core,Platform engineer,Get Started,user_story,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",Understand pipeline runs; Understand task runs,,Ensure pipelines run as non-root users for security; Minimize security vulnerabilities by controlling pod parameters; Reduce inconsistencies across pipeline and task runs,"about-combined.adoc -> Pod templates, lines 714-767",User story focused on understanding pod-level configuration. Important for security and infrastructure control.
about-combined.adoc,Workspaces,"When designing tasks and pipelines that share data, I want to understand how workspaces declare filesystem requirements at runtime without specifying storage implementation, so I can create flexible and reusable pipeline components.",core,DevOps engineer,Get Started,user_story,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",Understand tasks; Understand pipelines,Understand pipeline runs; Understand task runs,Ensure tasks can share data without tight coupling to storage; Minimize task rewrites when storage changes; Reduce complexity by separating volume declaration from runtime storage; Ensure tasks are reusable across different environments,"about-combined.adoc -> Workspaces, lines 781-899",User story focused on understanding workspace abstraction. Critical for data sharing and task reusability. Replaces deprecated PipelineResource.
about-combined.adoc,Step actions,"When creating reusable pipeline logic, I want to understand how StepAction resources define shareable actions that steps can reference, so I can avoid duplicating step definitions across multiple tasks.",core,DevOps engineer,Get Started,user_story,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",Understand tasks,,Minimize duplication by sharing step actions across tasks; Ensure I can reference actions from external sources using resolvers; Reduce maintenance burden by centralizing common actions,"about-combined.adoc -> Step actions, lines 909-988",User story focused on understanding step-level reusability. Newer concept for sharing logic at finer granularity than tasks.
about-combined.adoc,Triggers,"When implementing automated CI/CD workflows, I want to understand how Triggers capture external events and automatically instantiate pipeline runs, so I can create event-driven automation for my applications.",core,DevOps engineer,Get Started,main_job,,Understand pipelines; Understand pipeline runs,Understand TriggerBinding; Understand TriggerTemplate; Understand EventListener,Minimize manual intervention by automating pipeline execution; Ensure pipelines start automatically on repository changes; Reduce time between code commit and deployment; Understand how to extract event data and create pipeline runs,"about-combined.adoc -> Triggers, lines 1002-1190","Main job covering event-driven automation. Separate from core concepts because it represents a complete automation workflow pattern. Includes TriggerBinding, TriggerTemplate, Trigger, and EventListener components."
