doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
using-pipelines-as-code-repos-self-managed-reduced.adoc,GitHub App integration with {pac},"When I need to enable Git-based CI/CD workflows for my team, I want to integrate GitHub with Pipelines as Code, so I can trigger pipeline runs automatically from repository events.",core,cluster administrator,Configure,main_job,,Install OpenShift Pipelines operator,Configure webhook endpoints; Manage GitHub App permissions,Minimize time to enable automated pipeline triggers; Reduce likelihood of webhook configuration errors; Ensure secure integration between GitHub and OpenShift cluster,"using-pipelines-as-code-repos-self-managed-reduced.adoc -> lines 78-103, GitHub App integration with {pac}; module: modules/op-using-pipelines-as-code-with-a-github-app.adoc lines 1-24","Main job for GitHub App integration. Three user stories cover CLI, Web UI, and manual configuration approaches. Persona explicitly stated as 'cluster administrators' in abstract (line 88)."
using-pipelines-as-code-repos-self-managed-reduced.adoc,Configure a GitHub App using the command line interface,"When I need to quickly set up GitHub integration for Pipelines as Code, I want to use the tkn CLI to bootstrap the GitHub App, so I can automate the configuration without manual GitHub UI interactions.",core,cluster administrator,Configure,user_story,Integrate GitHub with Pipelines as Code,Log on to OpenShift cluster as cluster administrator; Install tkn command line utility with tkn pac plugin,Configure GitHub App manually; Create GitHub App in administrator perspective,Minimize time spent on GitHub App configuration; Reduce likelihood of manual configuration errors; Ensure webhook endpoints are correctly configured,"using-pipelines-as-code-repos-self-managed-reduced.adoc -> lines 106-154, Configure a GitHub App using the command line interface; module: modules/op-pac-configuring-github-app-cli.adoc lines 1-47",CLI-based approach for GitHub App setup. Important note (lines 119-121) restricts this to main controller only. Supports GitHub Enterprise via --github-api-url option.
using-pipelines-as-code-repos-self-managed-reduced.adoc,Create a GitHub App in administrator perspective,"When I prefer GUI-based workflows for GitHub App configuration, I want to use the OpenShift web console administrator perspective, so I can set up Pipelines as Code integration without CLI expertise.",core,cluster administrator,Configure,user_story,Integrate GitHub with Pipelines as Code,Install OpenShift Pipelines operator from Operator Hub,Configure GitHub App using CLI; Configure GitHub App manually,Minimize need for CLI expertise; Reduce time to complete GitHub App setup; Ensure GitHub App details are stored as secrets automatically,"using-pipelines-as-code-repos-self-managed-reduced.adoc -> lines 157-199, Create a GitHub App in administrator perspective; module: modules/op-creating-a-github-application-in-administrator-perspective.adoc lines 1-40",Web UI approach for GitHub App creation. Persona explicitly stated as 'cluster administrator' in abstract (line 167). Important restriction (lines 169-172): only for main controller. GitHub App details saved as secret in openshift-pipelines namespace (line 190).
using-pipelines-as-code-repos-self-managed-reduced.adoc,Configure a GitHub App manually and create a secret for {pac},"When I need to configure GitHub Apps for additional Pipelines as Code controllers or require custom GitHub App settings, I want to manually create the GitHub App and corresponding OpenShift secret, so I can have fine-grained control over permissions and webhook configuration.",core,cluster administrator,Configure,user_story,Integrate GitHub with Pipelines as Code,Install OpenShift Pipelines operator; Have GitHub account with permissions to create GitHub Apps; Log on to OpenShift cluster as cluster administrator,Configure additional Pipelines as Code controllers; Scope GitHub token to additional repositories,Ensure precise control over GitHub App permissions; Enable configuration of additional Pipelines as Code controllers; Reduce likelihood of permission-related webhook failures,"using-pipelines-as-code-repos-self-managed-reduced.adoc -> lines 202-309, Configure a GitHub App manually and create a secret for {pac}; module: modules/op-pac-configuring-github-app-manually.adoc lines 1-106","Manual configuration approach. Required method for additional controllers (lines 214-215). Detailed permission requirements: Repository permissions (lines 253-260), Organization permissions (lines 261-263), event subscriptions (lines 265-273). GitHub Enterprise support automatic (lines 296-299)."
using-pipelines-as-code-repos-self-managed-reduced.adoc,Scope the GitHub token to additional repositories,"When my pipeline definitions need to access tasks or resources from multiple private repositories, I want to extend the GitHub token scope beyond the primary repository, so I can retrieve pipeline dependencies from additional repositories without authentication failures.",related,cluster administrator,Secure,main_job,,Have GitHub App configured for OpenShift cluster; Know names of additional repositories to scope; Ensure additional repositories exist in GitHub organization or account,Configure GitHub App manually; Manage repository-level permissions,Minimize authentication failures when fetching cross-repository dependencies; Ensure secure access to private CD repositories from CI pipelines; Reduce complexity of multi-repository pipeline workflows,"using-pipelines-as-code-repos-self-managed-reduced.adoc -> lines 312-437, Scope the GitHub token to additional repositories; module: modules/op-scoping-github-token.adoc lines 1-124","Token scoping can be configured at two levels: global (TektonConfig CR, requires admin permissions, lines 340-358) and repository-level (Repository CR, no admin permissions required, lines 360-377). Use case example given: CI repository with pipeline definition fetching tasks from private CD repository (lines 324-325). Both configurations can be combined (lines 396-431)."
using-pipelines-as-code-repos-self-managed-reduced.adoc,Scope the GitHub token to additional repositories,"When I need to extend GitHub token scope across multiple namespaces and repositories cluster-wide, I want to configure global token scoping in TektonConfig, so I can enable cross-repository access for all Pipelines as Code users without per-repository configuration.",related,cluster administrator,Secure,user_story,Extend GitHub token scope to additional repositories,Have administrator access to OpenShift cluster; Have GitHub App configured; Know names of additional repositories,Configure repository-level token scoping,Minimize per-repository configuration overhead; Ensure consistent token scoping across all namespaces; Reduce likelihood of token scope misconfigurations,"using-pipelines-as-code-repos-self-managed-reduced.adoc -> lines 340-358, global configuration approach; module: modules/op-scoping-github-token.adoc lines 27-45",Global configuration approach using TektonConfig CR. Requires administrative permissions (line 328). Configuration sets secret-github-app-token-scoped to false and lists repositories in secret-github-app-scope-extra-repos parameter.
using-pipelines-as-code-repos-self-managed-reduced.adoc,Scope the GitHub token to additional repositories,"When I need to extend GitHub token scope for specific repositories within my namespace, I want to configure repository-level token scoping in the Repository CR, so I can enable cross-repository access without requiring cluster administrator permissions.",related,repository administrator,Secure,user_story,Extend GitHub token scope to additional repositories,Have repository administrator access; Have GitHub App configured; Ensure additional repositories exist in same namespace,Configure global token scoping,Minimize dependency on cluster administrator permissions; Ensure token scope limited to same-namespace repositories; Reduce complexity of namespace-level access control,"using-pipelines-as-code-repos-self-managed-reduced.adoc -> lines 360-390, repository-level configuration approach; module: modules/op-scoping-github-token.adoc lines 47-77",Repository-level configuration approach using Repository CR. Does not require administrative permissions (line 329). Additional repositories must exist in same namespace as original repository (lines 381-382). Error handling for missing repositories (lines 383-390).
using-pipelines-as-code-repos-self-managed-reduced.adoc,Use Pipelines as Code with GitHub Webhook,"When I cannot create a GitHub App but need to integrate my repository with Pipelines as Code, I want to configure GitHub Webhook integration with appropriate permissions, so I can automate CI/CD pipelines triggered by repository events.",core,Platform engineer,Configure,main_job,,Install Pipelines as Code on the cluster; Create a personal access token on GitHub,Use Pipelines as Code with GitHub App; Configure GitLab integration,Minimize configuration complexity without GitHub App access; Ensure secure webhook payload validation; Reduce time to set up automated pipeline execution,"using-pipelines-as-code-repos-self-managed-reduced.adoc -> Use Pipelines as Code with GitHub Webhook, lines 440-675; modules/op-using-pipelines-as-code-with-github-webhook.adoc, lines 1-232",Main job for GitHub Webhook integration. Has two user stories: automatic (tkn pac CLI) and manual configuration. Note: GitHub Webhook does not support Check Runs API or GitOps comments like /retest.
using-pipelines-as-code-repos-self-managed-reduced.adoc,Use Pipelines as Code with GitHub Webhook - Automatic configuration,"As a platform engineer, when I need to quickly configure GitHub Webhook integration, I want to use the tkn pac CLI tool for automatic setup, so I can provision webhooks and Repository CRs without manual GitHub UI configuration.",core,Platform engineer,Configure,user_story,Configure GitHub Webhook integration with appropriate permissions,Install Pipelines as Code on the cluster; Create personal access token with admin:repo_hook scope,Configure webhook manually; Add webhook secrets; Update personal access token,Minimize configuration time through automation; Reduce errors from manual webhook setup; Ensure namespace and Repository CR are created correctly,"using-pipelines-as-code-repos-self-managed-reduced.adoc, lines 499-528; modules/op-using-pipelines-as-code-with-github-webhook.adoc, lines 58-87","Automatic configuration path using tkn pac create repo command. CLI detects controller URL, prompts for token, creates namespace if needed, and sets up webhook automatically."
using-pipelines-as-code-repos-self-managed-reduced.adoc,Use Pipelines as Code with GitHub Webhook - Manual configuration,"As a platform engineer, when I need fine-grained control over webhook configuration or cannot use the CLI, I want to manually configure GitHub Webhooks and create Repository CRs, so I can customize settings and understand each integration component.",core,Platform engineer,Configure,user_story,Configure GitHub Webhook integration with appropriate permissions,Install Pipelines as Code on the cluster; Extract Pipelines as Code controller public URL; Create personal access token on GitHub,Configure webhook automatically; Verify webhook configuration,Ensure full control over webhook event selection; Minimize dependency on CLI tooling; Reduce likelihood of misconfiguration through explicit steps,"using-pipelines-as-code-repos-self-managed-reduced.adoc, lines 530-591; modules/op-using-pipelines-as-code-with-github-webhook.adoc, lines 89-150","Manual configuration involves extracting controller URL, configuring GitHub webhook UI, creating Secret with tokens, and creating Repository CR. Allows customization of webhook events and secret keys."
