doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
managing-pipeline-runs-pac,Verifying a pipeline run,"When I create a pipeline run definition, I want to verify that the Pipelines as Code resolver correctly processes all referenced resources, so I can catch errors before triggering the pipeline in production.",core,Pipeline developer,Configure,main_job,,,Create pipeline run definitions; Reference remote tasks in pipeline runs,Minimize time to identify pipeline definition errors; Reduce likelihood of runtime failures due to missing resources; Ensure all referenced resources are resolvable before execution,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Verifying a pipeline run, lines 72-95. Section states: 'You can verify that the {pac} resolver correctly processes the pipeline run definition that you created.'",Main job for validation/confirmation stage. Uses tkn pac resolve command as implementation.
managing-pipeline-runs-pac,Verifying a pipeline run,"As a Pipeline developer, when I need to verify a pipeline run definition, I want to use the tkn pac resolve command, so I can see the fully resolved PipelineRun CR with all referenced resources.",core,Pipeline developer,Configure,user_story,Validate pipeline configurations before deployment,Install tkn CLI utility; Log in to OpenShift cluster; Clone Git repository locally,,Complete validation in under 1 minute; Receive clear error messages for missing resources; View complete PipelineRun definition before execution,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Verifying a pipeline run, lines 72-95. Command: 'tkn pac resolve .tekton/pipeline-run-definition.yaml'",User story for CLI-based validation approach. Prerequisites listed in lines 79-83.
managing-pipeline-runs-pac,Running a pipeline run using Pipelines as Code,"When a Git event occurs on my repository, I want pipeline runs to execute automatically based on configured event triggers, so I can implement continuous integration without manual intervention.",core,DevOps engineer,Deploy,main_job,,Configure Repository CRD; Create pipeline run definitions in .tekton/ directory; Set up authentication for repository,Monitor pipeline execution; Manage pipeline run permissions,Minimize time from commit to pipeline execution; Reduce likelihood of unauthorized pipeline runs; Ensure pipelines run in correct namespace,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Running a pipeline run using Pipelines as Code, lines 104-142. States: 'With default configuration, {pac} runs any pipeline run in the .tekton/ directory of the default branch of repository, when specified events such as pull request or push occurs'",Main job for automated pipeline execution. Covers authorization logic (lines 110-118) and execution context (lines 119-121).
managing-pipeline-runs-pac,Running a pipeline run using Pipelines as Code,"As a DevOps engineer, when I need to observe pipeline execution, I want to use tkn pac logs command interactively, so I can follow the progress and troubleshoot issues in real-time.",core,DevOps engineer,Observe,user_story,Monitor pipeline run status and logs,Pipeline run is executing or completed; tkn CLI is installed; Know the namespace of Repository CRD,View pipeline status in GitHub Checks tab,Access logs within seconds of pipeline start; View logs for any PipelineRun attached to repository; Follow execution without switching tools,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Running a pipeline run using Pipelines as Code, lines 122-141. Commands: 'tkn pac logs -n <my_pipeline_ci> -L' and 'tkn pac logs -n <my_pipeline_ci>'",User story for CLI-based log viewing. Alternative to GitHub App UI (line 141).
managing-pipeline-runs-pac,Triggering a PipelineRun on Git tags,"When I create or reference a Git tag representing a specific release version, I want to trigger pipeline runs that test or deploy that tagged version, so I can support release-based workflows and version control practices.",core,DevOps engineer,Deploy,main_job,,"Configure PipelineRun with tag event annotations; Use supported Git provider (GitHub App, GitHub Webhook, or GitLab)",Trigger pipeline runs on pull requests; Trigger pipeline runs on push events,Minimize time to validate release candidates; Ensure consistent deployment of tagged versions; Reduce likelihood of deploying wrong commit,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Triggering a PipelineRun on Git tags, lines 151-197. States: 'you can trigger a PipelineRun on a tag by using GitOps comment. This capability enables you to test or deploy tagged versions of your code'",Main job for tag-based triggering. Supported GitOps commands listed lines 163-169. Example configuration lines 177-196.
managing-pipeline-runs-pac,Triggering a PipelineRun on Git tags,"As a DevOps engineer, when I need to retrigger a pipeline run for a specific Git tag, I want to use GitOps commands like '/test tag:<tag>' in commit comments, so I can re-run CI/CD without creating new commits.",core,DevOps engineer,Deploy,user_story,Integrate Git workflows with CI/CD pipelines,"PipelineRun configured with tag event annotations; User has required repository permissions (owner, collaborator, or listed in OWNERS)",Cancel pipeline runs for Git tags; Monitor tag-based pipeline execution,Retrigger pipeline in under 30 seconds; Trigger specific PipelineRun by name; Cancel running pipelines without code changes,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Triggering a PipelineRun on Git tags, lines 163-169. Supported commands: '/test tag:<tag>', '/test <pipelinerun_name> tag:<tag>', '/retest tag:<tag>', '/cancel tag:<tag>'",User story for GitOps command-based triggering. Commands work on tagged commits.
managing-pipeline-runs-pac,Triggering PipelineRuns for GitOps commands using tagged commits,"As a DevOps engineer, when I need to trigger a pipeline run for a tagged commit using the GitHub UI, I want to navigate to the tag, view its commit, and enter GitOps commands in the comment field, so I can manage tagged releases without CLI tools.",core,DevOps engineer,Deploy,user_story,Integrate Git workflows with CI/CD pipelines,Git tag exists in repository; User has GitHub UI access; User has required repository permissions,,Trigger pipeline in under 2 minutes via UI; Avoid context switching to CLI; Verify pipeline processing immediately,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Triggering PipelineRuns for GitOps commands using tagged commits, lines 206-220. Procedure: 'Navigate to Tags view → Select tag → Click commit SHA → Enter GitOps command'",User story for UI-based tag triggering. Alternative to CLI approach.
managing-pipeline-runs-pac,Restarting or canceling a pipeline run using Pipelines as Code,"When I need to restart a failed pipeline or cancel a running pipeline, I want to use GitOps commands or GitHub App features without triggering new Git events, so I can manage pipeline execution lifecycle efficiently.",core,DevOps engineer,Operate,main_job,,"User has required repository permissions (owner, collaborator, public member, or OWNERS file)",Monitor pipeline run status; Troubleshoot pipeline failures,Minimize time to restart failed pipelines; Cancel unwanted pipeline runs immediately; Avoid creating unnecessary commits to trigger pipelines,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Restarting or canceling a pipeline run, lines 229-317. States: 'You can restart or cancel a pipeline run without triggering an event, such as sending a new commit to a branch or creating a pull request'",Main job for pipeline lifecycle management. Covers restart (lines 236-241) and cancel (lines 243-246) scenarios.
managing-pipeline-runs-pac,Restarting or canceling a pipeline run using Pipelines as Code,"As a DevOps engineer, when I need to restart all failed pipeline runs for a pull request, I want to use the 'Re-run all checks' feature in the GitHub App Checks tab, so I can retry all pipelines with one click.",core,DevOps engineer,Operate,user_story,Manage pipeline run lifecycle,Pipeline runs are associated with pull request; GitHub App is configured for repository,,Restart all pipelines in under 10 seconds; Avoid restarting pipelines individually; View results in GitHub Checks tab,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Restarting or canceling a pipeline run, lines 232-234, 275. Procedure: 'go to the Checks tab and click Re-run all checks'",User story for GitHub App UI approach. Technology Preview feature when starting pipelines not matching events (lines 257-270).
managing-pipeline-runs-pac,Restarting or canceling a pipeline run using Pipelines as Code,"As a DevOps engineer, when I need to restart or cancel specific pipeline runs using GitOps commands, I want to comment on pull requests or commits with commands like '/test <pipeline_run_name>' or '/cancel <pipeline_run_name>', so I can control individual pipelines without affecting others.",core,DevOps engineer,Operate,user_story,Manage pipeline run lifecycle,User has required repository permissions; Pipeline runs are associated with pull request or commit,,Control specific pipelines without restarting all; Execute commands from pull request or commit context; Receive feedback in GitHub Checks tab,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Restarting or canceling a pipeline run, lines 236-246. Commands: '/test', '/retest', '/test <pipeline_run_name>', '/cancel', '/cancel <pipeline_run_name>'",User story for GitOps comment approach. Supports pull requests (lines 277-284) and push requests (lines 286-316).
managing-pipeline-runs-pac,Monitoring pipeline run status using Pipelines as Code,"When pipeline runs execute, I want to monitor their status, view error details, and track execution progress across different interfaces, so I can quickly identify and troubleshoot failures.",core,DevOps engineer,Monitor,main_job,,,Restart failed pipeline runs; View pipeline run logs; Set up notifications for pipeline failures,Minimize time to detect pipeline failures; Reduce time to identify root cause of failures; Ensure sensitive information is not exposed in error messages,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Monitoring pipeline run status, lines 326-409. States: 'you can monitor the status of a pipeline run in different ways' depending on context and tools","Main job for monitoring and observability. Covers multiple status views: GitHub Apps (lines 332-333), log error snippets (lines 335-341), annotations (lines 343-373), webhooks (lines 375-376), failures (lines 378-379), Repository CRD (lines 390-406)."
managing-pipeline-runs-pac,Monitoring pipeline run status using Pipelines as Code,"As a DevOps engineer, when I need to view pipeline run status and task execution times, I want to check the GitHub App Checks tab after pipeline completion, so I can see high-level results without accessing the cluster.",core,DevOps engineer,Monitor,user_story,Monitor pipeline run status and logs,GitHub App is configured; Pipeline run has completed,,View task duration for each pipeline step; Access status without CLI tools; See error snippets for failed tasks,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Monitoring pipeline run status, lines 332-341. States: '{pac} adds the status in the Check tabs with limited information about how long each task of your pipeline took' and 'page displays a small snippet consisting of the last 3 lines in the task breakdown of the first failed task'",User story for GitHub App status view. Includes secret masking (lines 338-341).
managing-pipeline-runs-pac,Monitoring pipeline run status using Pipelines as Code,"As a Platform engineer, when I need detailed error detection in pipeline runs, I want to enable error-detection-from-container-logs in TektonConfig, so I can see error annotations directly on pull requests where failures occurred.",core,Platform engineer,Configure,user_story,Monitor pipeline run status and logs,Admin access to TektonConfig CR; Understanding of Technology Preview features,Customize error detection regex patterns; Troubleshoot pipeline failures,Reduce time to identify error location in code; Minimize manual log searching; Customize error detection for project needs,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Monitoring pipeline run status, lines 343-373. States: 'you can set the error-detection-from-container-logs parameter to true. In this case, {pac} detects the errors from the container logs and adds them as annotations on the pull request'",User story for advanced error detection configuration. Technology Preview feature (lines 347-360). Supports customization via error-detection-simple-regexp (line 368).
managing-pipeline-runs-pac,Monitoring pipeline run status using Pipelines as Code,"As a DevOps engineer, when I need to check recent pipeline run status and metadata, I want to query the Repository CRD using oc get repo or tkn pac describe commands, so I can see the last 5 runs and their outcomes.",core,DevOps engineer,Monitor,user_story,Monitor pipeline run status and logs,oc CLI installed and authenticated; tkn CLI installed; Know namespace of Repository CRD,,View recent run history in under 10 seconds; Extract run metadata without GitHub UI access; Monitor repository-level pipeline health,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Monitoring pipeline run status, lines 390-406. Commands: 'oc get repo -n <pipelines_as_code_ci>' and 'tkn pac describe'. States: '{pac} stores the last 5 status messages for a pipeline run inside the Repository custom resource'","User story for CLI-based status checking. Shows SUCCEEDED, REASON, STARTTIME, COMPLETIONTIME columns."
managing-pipeline-runs-pac,Cleaning up pipeline run using Pipelines as Code,"When many pipeline runs accumulate in my namespace, I want to automatically retain only a limited number of recent runs, so I can manage resource usage and keep the namespace clean.",core,Platform engineer,Operate,main_job,,,Monitor namespace resource usage; Configure resource quotas,Minimize namespace resource consumption; Reduce likelihood of hitting resource limits; Retain sufficient run history for troubleshooting,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Cleaning up pipeline runs, lines 427-447. States: 'By setting the max-keep-runs annotation, you can configure {pac} to retain a limited number of pipeline runs that matches an event'",Main job for resource management. Cleanup happens after successful execution (line 440). Skips running pipelines and failed PRs (lines 442-446).
managing-pipeline-runs-pac,Cleaning up pipeline run using Pipelines as Code,"As a Platform engineer, when I need to configure automatic pipeline run cleanup, I want to set the pipelinesascode.tekton.dev/max-keep-runs annotation in PipelineRun definitions, so I can control retention policy per pipeline.",core,Platform engineer,Configure,user_story,Manage pipeline run lifecycle,Admin or developer access to modify PipelineRun CRDs; Understanding of namespace resource limits,,Configure cleanup in under 5 minutes; Set different retention policies per pipeline type; Ensure failed runs are preserved for debugging,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Cleaning up pipeline runs, lines 432-446. Example annotation: 'pipelinesascode.tekton.dev/max-keep-runs: ""<max_number>""'",User story for annotation-based cleanup configuration. Skips running and failed PRs (lines 442-446).
managing-pipeline-runs-pac,Using incoming webhook with Pipelines as Code,"When I need to trigger pipeline runs from external systems or custom automation, I want to use incoming webhook URLs with shared secrets, so I can integrate pipelines with non-Git event sources.",core,DevOps engineer,Deploy,main_job,,Configure Repository CRD with incoming webhook settings; Create secret with webhook shared secret; Specify Git provider type and user token,Monitor pipeline runs triggered by webhooks; Secure webhook endpoints,Minimize integration time with external systems; Ensure webhook requests are authenticated; Reduce dependency on Git events for triggering,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Using incoming webhook, lines 457-519. States: 'Using an incoming webhook URL and a shared secret, you can start a pipeline run in a repository'","Main job for webhook-based triggering. Supports github, gitlab, bitbucket-cloud (lines 466-471). Example Repository CRD (lines 474-494) and secret (lines 496-507)."
managing-pipeline-runs-pac,Using incoming webhook with Pipelines as Code,"As a DevOps engineer, when I need to trigger a specific pipeline run via incoming webhook, I want to POST to the webhook URL with repository, branch, and pipelinerun parameters, so I can execute pipelines from external automation workflows.",core,DevOps engineer,Deploy,user_story,Integrate Git workflows with CI/CD pipelines,Incoming webhook configured in Repository CRD; Webhook secret is known; Target pipeline run exists in .tekton directory,Check Repository CRD for run status; Add notifications via finally tasks,Trigger pipeline in under 5 seconds; Target specific branch and pipeline run; Verify execution without status reporting,"managing-pipeline-runs-pac-self-managed-reduced.adoc -> Using incoming webhook, lines 509-519. Command: 'curl -X POST https://control.pac.url/incoming?secret=very-secure-shared-secret&repository=repo&branch=main&pipelinerun=target_pipelinerun'. States: '{pac} matches the incoming URL and treats it as a push event'","User story for webhook triggering. No status reporting by default (line 516), requires finally tasks or tkn pac CLI for notifications (lines 518-519)."
