desired_outcomes,doc,evidence,granularity,job_map_stage,job_statement,job_type,notes,parent_job,persona,prerequisites,related_jobs,section
Minimize time to deploy application changes; Reduce likelihood of deployment errors; Ensure consistent build and test processes across environments,create-combined.adoc,"create-combined.adoc -> Creating CI/CD solutions for applications using OpenShift Pipelines, lines 64-76",main_job,Develop,"When I need to automate application build, test, and deployment workflows, I want to create a customized CI/CD solution using pipelines, so I can reduce manual effort and ensure consistent delivery processes.",core,Main job covering the overall goal of creating CI/CD pipelines for applications,,Application developer,Have OpenShift cluster access; Have OpenShift Pipelines installed; Have pipelines CLI installed,Configure pipeline triggers; Monitor pipeline execution; Manage pipeline resources,Creating CI/CD solutions for applications using OpenShift Pipelines
Ensure pipeline service account has sufficient permissions to build and push images; Minimize time to verify project setup; Reduce likelihood of permission-related pipeline failures,create-combined.adoc,"create-combined.adoc -> Creating a project and checking your pipeline service account, lines 98-129",user_story,Configure,"When preparing to run pipelines, I want to create a dedicated project and verify the pipeline service account exists, so I can ensure proper isolation and permissions for pipeline execution.",related,Initial setup task for creating project isolation,Create a customized CI/CD solution using pipelines,Application developer,Have cluster access credentials,Configure service account permissions; Set up project resources,Creating a project and checking your pipeline service account
Minimize duplication of task logic across pipelines; Ensure task reusability across teams and projects; Reduce time to define new pipeline workflows,create-combined.adoc,"create-combined.adoc -> Creating pipeline tasks, lines 138-170",user_story,Develop,"When defining CI/CD workflows, I want to create reusable task definitions, so I can standardize build and deployment steps across pipelines.",core,Covers installation of reusable tasks from repository,Create a customized CI/CD solution using pipelines,Pipeline developer,Have project created; Have pipeline service account configured,Assemble tasks into pipelines; Configure task workspaces; Reference tasks from task catalog,Creating pipeline tasks
Ensure tasks execute in correct order; Minimize pipeline definition complexity; Reduce likelihood of task dependency errors; Enable pipeline reusability across applications,create-combined.adoc,"create-combined.adoc -> Assembling a pipeline, lines 179-311",user_story,Develop,"When orchestrating multiple tasks into a workflow, I want to assemble a pipeline that specifies task execution order and data flow, so I can automate the complete build-test-deploy sequence.",core,"Covers creating pipeline definition with task orchestration, parameters, and workspaces",Create a customized CI/CD solution using pipelines,Pipeline developer,Have pipeline tasks created or available; Have workspace storage configured,Configure pipeline parameters; Define task dependencies; Specify workspace requirements,Assembling a pipeline
Ensure pipeline tasks can access builder images without external network; Minimize pipeline failures due to image pull errors; Reduce time to configure restricted environment support,create-combined.adoc,"create-combined.adoc -> Mirroring images to run pipelines in restricted environment, lines 321-523",user_story,Configure,"When running pipelines in a disconnected or restricted cluster, I want to mirror required builder images to my private registry, so I can ensure pipeline tasks have access to necessary base images.",related,Specialized configuration for disconnected/restricted clusters,Create a customized CI/CD solution using pipelines,Platform engineer,Have access to mirror registry; Have cluster configured for restricted environment; Have image pull permissions,Configure Samples Operator for restricted network; Set up image pull secrets; Schedule periodic image re-imports,Mirroring images to run pipelines in restricted environment
Minimize time from code commit to deployment; Ensure pipeline uses correct Git revision and parameters; Reduce likelihood of resource allocation failures,create-combined.adoc,"create-combined.adoc -> Running a pipeline, lines 539-623",user_story,Deploy,"When I need to execute my CI/CD workflow, I want to start a pipeline run with specific parameters and workspace configuration, so I can build, test, and deploy my application.",core,Covers starting pipeline runs with workspace and parameters,Create a customized CI/CD solution using pipelines,Application developer,Have pipeline defined; Have workspace storage available; Have Git repository accessible; Have image registry configured,Track pipeline run progress; Rerun failed pipelines; View pipeline run logs,Running a pipeline
Ensure pipeline runs automatically on push events; Minimize delay between code commit and pipeline start; Reduce manual effort to trigger builds,create-combined.adoc,"create-combined.adoc -> Adding triggers to a pipeline, lines 637-873",user_story,Develop,"When I want pipelines to respond automatically to code changes, I want to add triggers that capture GitHub events, so I can eliminate manual pipeline invocation and enable continuous integration.",core,"Covers TriggerBinding, TriggerTemplate, Trigger, and EventListener resources",Create a customized CI/CD solution using pipelines,Application developer,Have pipeline assembled and tested; Have event listener service exposed,Configure webhooks on Git repositories; Secure event listener endpoints; Filter trigger events,Adding triggers to a pipeline
Minimize duplication of event listener resources; Ensure event listeners can serve many namespaces; Reduce cluster resource consumption,create-combined.adoc,"create-combined.adoc -> Configuring event listeners to serve many namespaces, lines 881-1030",user_story,Configure,"When deploying pipelines across multiple teams or namespaces, I want to configure event listeners as multitenant resources, so I can maximize reusability and reduce duplication of listener configurations.",related,Advanced configuration for multi-namespace event listener deployment,Create a customized CI/CD solution using pipelines,Platform engineer,Have cluster-wide permissions; Have event listener defined; Have namespace selector requirements,Configure cluster role bindings; Set up service accounts with impersonation; Manage trigger resources across namespaces,Configuring event listeners to serve many namespaces
Ensure webhook events reach event listener; Minimize webhook configuration errors; Reduce time to set up repository integration,create-combined.adoc,"create-combined.adoc -> Creating webhooks, lines 1038-1086",user_story,Configure,"When connecting Git repositories to pipeline triggers, I want to configure webhook URLs pointing to event listeners, so I can ensure repository events trigger pipeline runs.",related,Covers manual webhook configuration on GitHub repositories,Create a customized CI/CD solution using pipelines,Application developer,Have event listener service exposed; Have administrative access to Git repositories; Have webhook URL obtained,Configure webhook secrets; Test webhook connectivity; Manage webhook event types,Creating webhooks
Ensure code pushes trigger pipeline runs automatically; Minimize delay between push and pipeline start; Reduce likelihood of trigger configuration errors,create-combined.adoc,"create-combined.adoc -> Triggering a pipeline run, lines 1094-1126",user_story,Deploy,"When I push code changes to my repository, I want the configured webhook to trigger a pipeline run automatically, so I can verify my CI/CD automation is working end-to-end.",core,Covers testing the complete webhook-to-pipeline automation,Create a customized CI/CD solution using pipelines,Application developer,Have webhooks configured on repositories; Have event listeners running; Have triggers and bindings configured,Monitor pipeline run status; Debug failed pipeline runs; View pipeline run logs,Triggering a pipeline run
Ensure visibility into event listener health and performance; Minimize time to detect event listener issues; Reduce likelihood of undetected event listener failures,create-combined.adoc,"create-combined.adoc -> Enabling monitoring of event listeners for Triggers for user-defined projects, lines 1134-1189",user_story,Monitor,"When operating event listeners in production, I want to enable service monitors to gather metrics, so I can observe event listener performance and troubleshoot issues.",related,Covers creating ServiceMonitor resources for Triggers metrics,Create a customized CI/CD solution using pipelines,Platform engineer,Have event listeners deployed; Have monitoring enabled for user-defined projects; Have cluster administrator permissions,View event listener metrics in console; Set up alerting on event listener metrics; Analyze event listener performance,Enabling monitoring of event listeners for Triggers for user-defined projects
Minimize unnecessary pipeline runs from irrelevant changes; Reduce compute resource consumption; Ensure pipelines run only for changes in specific directories,create-combined.adoc,"create-combined.adoc -> Filtering pull requests using GitHub Interceptor, lines 1222-1309",user_story,Develop,"When processing GitHub events, I want to filter pull request and push events based on changed files, so I can run pipelines only for relevant changes and avoid unnecessary builds.",related,Covers using GitHub Interceptor with CEL to filter events by changed files,Create a customized CI/CD solution using pipelines,Pipeline developer,Have GitHub Interceptor available; Have event listeners configured; Have CEL Interceptor configured,Configure personal access tokens for private repositories; Define file path filters using CEL expressions; Test filter expressions,Filtering pull requests using GitHub Interceptor
