doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
"using-manual-approval.adoc","Enabling the manual approval gate controller","When I need to implement manual approval gates in my CI/CD pipelines, I want to enable the manual approval gate controller, so I can pause pipeline execution until authorized users provide approval.","core","Platform administrator","Configure","main_job","","Install OpenShift Pipelines Operator; Have administrator permissions for openshift-pipelines namespace; Have logged in using oc CLI","Specify manual approval tasks in pipelines; Approve manual approval tasks","Minimize time required to enable approval functionality; Ensure controller is properly installed and ready; Reduce likelihood of installation failures","using-manual-approval-self-managed-reduced.adoc -> Enabling the manual approval gate controller, lines 86-136","Core prerequisite job for manual approval workflow. Technology Preview feature."
"using-manual-approval.adoc","Enabling the manual approval gate controller - UI method","When I need to enable the manual approval gate controller as a platform administrator, I want to apply the ManualApprovalGate custom resource using the oc CLI, so I can activate approval task functionality in my cluster.","core","Platform administrator","Configure","user_story","Enable the manual approval gate controller","OpenShift Pipelines Operator installed; Administrator permissions for openshift-pipelines namespace; Logged in with oc CLI","","Minimize configuration errors through simple YAML manifest; Verify controller readiness before proceeding; Ensure READY status is True within reasonable time","using-manual-approval-self-managed-reduced.adoc -> Enabling the manual approval gate controller, lines 101-134","Procedural approach using CLI. Includes verification step to confirm READY status."
"using-manual-approval.adoc","Specifying a manual approval task","When I need to implement governance gates in my deployment pipeline, I want to specify manual approval tasks at critical stages, so I can ensure only authorized stakeholders can advance pipeline execution to production.","core","CI/CD engineer","Configure","main_job","","Enable manual approval gate controller; Have pipeline YAML specification; Create groups and add required users (for group approval)","Approve manual approval tasks; Monitor approval task status","Minimize risk of unauthorized deployments; Ensure required number of approvals before proceeding; Reduce friction for legitimate approvers; Ensure timeout prevents indefinite blocking","using-manual-approval-self-managed-reduced.adoc -> Specifying a manual approval task, lines 142-377","Core configuration job. Supports individual users, groups, and mixed approval strategies. Multiple examples show different approval patterns."
"using-manual-approval.adoc","Specifying a manual approval task - Basic deployment pipeline","When I need to add approval gates to my deployment pipeline as a CI/CD engineer, I want to specify an ApprovalTask in my Pipeline definition with approvers and approval thresholds, so I can control progression from test to production deployment.","core","CI/CD engineer","Configure","user_story","Specify manual approval tasks in pipelines","Manual approval gate controller enabled; Pipeline definition created; List of approver users/groups identified","Configure status fields for approval tracking","Ensure deployment requires explicit authorization; Minimize configuration complexity; Support multiple approvers with threshold (numberOfApprovalsRequired); Provide clear approval context via description field","using-manual-approval-self-managed-reduced.adoc -> Specifying a manual approval task, lines 157-200","Basic approval task configuration showing build->test->approval->deploy flow. Uses user list and numberOfApprovalsRequired parameter."
"using-manual-approval.adoc","Specifying a manual approval task - With status tracking","When I need to track the approval lifecycle during pipeline execution as a CI/CD engineer, I want to specify status fields for approval tasks, so I can monitor approval state, approver responses, and progress toward required approvals.","core","CI/CD engineer","Monitor","user_story","Specify manual approval tasks in pipelines","Manual approval gate controller enabled; Understanding of approval task parameters","Monitor approval task status via web console; Monitor approval task status via CLI","Ensure visibility into approval progress; Minimize uncertainty about approval state; Track which approvers have responded; Monitor timeout countdown","using-manual-approval-self-managed-reduced.adoc -> Specifying a manual approval task, lines 202-261","Shows status tracking fields: state, approvers, approvalsRequired, approvalsReceived, approversResponse, startTime. Includes parameter reference table."
"using-manual-approval.adoc","Specifying a manual approval task - Multi-user approval","When I need multiple stakeholders to approve a deployment as a CI/CD engineer, I want to configure approval tasks with multiple individual users and a required approval count, so I can implement quorum-based authorization.","core","CI/CD engineer","Configure","user_story","Specify manual approval tasks in pipelines","Manual approval gate controller enabled; List of approver usernames; Decision on required approval count","","Ensure no single approver can authorize critical deployments; Minimize risk of unauthorized releases; Support flexible approval thresholds (not all approvers required)","using-manual-approval-self-managed-reduced.adoc -> Specifying a manual approval task, lines 265-301","Example shows 3 users with numberOfApprovalsRequired: 2, implementing quorum approval."
"using-manual-approval.adoc","Specifying a manual approval task - Group-based approval","When I need teams to approve deployments as a CI/CD engineer, I want to configure approval tasks with OpenShift groups, so I can delegate approval responsibility to teams without managing individual user lists.","core","CI/CD engineer","Configure","user_story","Specify manual approval tasks in pipelines","Manual approval gate controller enabled; Groups created in OpenShift; Users added to groups; Decision on required approval count","Understand group approval behavior","Minimize maintenance of approver lists; Ensure team-based authorization patterns; Support organizational approval structures; Reduce configuration changes when team membership changes","using-manual-approval-self-managed-reduced.adoc -> Specifying a manual approval task, lines 303-338","Example shows group:qa-team and group:security-team with numberOfApprovalsRequired: 2. Groups must be created before use."
"using-manual-approval.adoc","Specifying a manual approval task - Mixed user and group approval","When I need both individual and team-based approval as a CI/CD engineer, I want to configure approval tasks with a mix of users and groups, so I can implement complex approval policies requiring sign-off from specific roles and teams.","core","CI/CD engineer","Configure","user_story","Specify manual approval tasks in pipelines","Manual approval gate controller enabled; Groups created with members; Individual approver usernames identified; Decision on required approval count","Understand group approval behavior","Ensure flexible approval policies (tech lead + team member); Minimize configuration complexity while supporting complex authorization patterns; Support hybrid organizational structures","using-manual-approval-self-managed-reduced.adoc -> Specifying a manual approval task, lines 340-377","Example shows tech_lead (individual) + group:qa-team + group:security-team with numberOfApprovalsRequired: 2. Enables patterns like 'tech lead OR (QA + security)'."
"using-manual-approval.adoc","Approving a manual approval task","When my pipeline reaches an approval task as an authorized approver, I want to review and approve or reject the task, so I can control whether the pipeline proceeds to the next stage.","core","Release manager","Execute","main_job","","Pipeline running with approval task; User listed as approver in task configuration; Access to web console or opc CLI","View approval task details; Monitor approval progress","Minimize time to review and respond to approval requests; Ensure clear understanding of what is being approved; Reduce likelihood of approval errors; Support rejection when deployment should not proceed","using-manual-approval-self-managed-reduced.adoc -> Approving a manual approval task, lines 386-399","Core execution job. Can approve via web console or opc CLI. Rejection causes pipeline failure. User can change approval to rejection before threshold is met."
"using-manual-approval.adoc","Approving a manual approval task by using the web console","When I receive an approval notification in the OpenShift console as a release manager, I want to approve or reject the task through the web interface, so I can authorize or block pipeline progression without CLI expertise.","core","Release manager","Execute","user_story","Approve or reject manual approval tasks","OpenShift Pipelines console plugin enabled; Listed as approver in task; Pipeline run with pending approval task","","Minimize time to respond to approval notifications; Ensure visibility of approval requests; Support non-CLI users; Provide context (description field) for approval decision","using-manual-approval-self-managed-reduced.adoc -> Approving a manual approval task by using the web console, lines 406-432","Procedural approach for web console. Multiple navigation paths: notification, Pipelines->Approvals tab, PipelineRun details. Requires console plugin enabled."
"using-manual-approval.adoc","Approving a manual approval task by using the command line","When I need to approve or reject approval tasks programmatically as a release manager, I want to use the opc CLI, so I can automate approval workflows or work in terminal-based environments.","core","Release manager","Execute","user_story","Approve or reject manual approval tasks","opc CLI utility downloaded and installed; Logged in using oc CLI; Listed as approver in task","View approval task list; Describe approval task details","Minimize time to approve tasks in automated workflows; Support scripting and CI/CD integration; Provide approval context via optional message parameter; Enable terminal-based approval workflow","using-manual-approval-self-managed-reduced.adoc -> Approving a manual approval task by using the command line, lines 445-510","Procedural approach using opc CLI. Commands: list, describe, approve, reject. Supports optional -m message parameter."
"using-manual-approval.adoc","Behavior of ApprovalTask with groups and users","When I configure approval tasks with groups as a CI/CD engineer, I want to understand how the controller tracks individual group member approvals, so I can design effective approval policies with team-based authorization.","core","CI/CD engineer","Plan","main_job","","Understanding of approval task configuration; Groups created in OpenShift","Specify group-based approval tasks; Specify mixed user and group approval","Minimize confusion about group approval behavior; Ensure understanding of member-level tracking; Reduce likelihood of misconfigured approval policies; Understand how group state changes based on member approvals","using-manual-approval-self-managed-reduced.adoc -> Behavior of ApprovalTask with groups and users, lines 518-588","Concept explaining group approval mechanics. Shows runtime ApprovalTask structure with group members tracked individually. Warning that this is a runtime object created by controller, not for manual application."
