doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference,"When I need to set up Pipelines as Code for my Git repository, I want to bootstrap the installation and configuration, so I can start using GitOps-based pipeline automation quickly.",core,Platform engineer,Get Started,main_job,,Install OpenShift Pipelines,Create Pipelines as Code repository; Configure Git provider integration,Minimize time to get Pipelines as Code operational; Reduce configuration errors during setup; Ensure proper integration with Git hosting provider,"modules/op-pipelines-as-code-command-reference.adoc, lines 76-89, 108-127: 'Bootstrap Pipelines as Code installation and configuration' with commands for installing and configuring PAC for GitHub/GitHub Enterprise",Main job covering initial PAC setup. Multiple user stories for different Git providers and deployment scenarios.
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - bootstrap,"As a Platform engineer, when I need to install Pipelines as Code on my OpenShift cluster, I want to use the tkn pac bootstrap command, so I can automatically configure PAC with minimal manual intervention.",core,Platform engineer,Get Started,user_story,"When I need to set up Pipelines as Code for my Git repository, I want to bootstrap the installation and configuration, so I can start using GitOps-based pipeline automation quickly.",Install tkn CLI with pac plugin; Have cluster-admin access,Create GitHub application for PAC; Override route URL for custom ingress,Complete installation in single command; Avoid manual configuration of Git provider webhooks; Ensure automatic detection of OpenShift route,"modules/op-pipelines-as-code-command-reference.adoc, lines 108-127: 'tkn pac bootstrap' installs and configures PAC for Git providers, with options for nightly builds, route URL override, and GitHub app creation",CLI-based bootstrap approach for standard installation
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - bootstrap,"As a Platform engineer, when I need to create a GitHub application for Pipelines as Code, I want to use the tkn pac bootstrap github-app command, so I can automate the GitHub OAuth app setup and secret generation.",core,Platform engineer,Configure,user_story,"When I need to set up Pipelines as Code for my Git repository, I want to bootstrap the installation and configuration, so I can start using GitOps-based pipeline automation quickly.",Bootstrap Pipelines as Code; Have GitHub organization admin access,Configure webhook secrets; Set up repository access,Minimize manual GitHub app configuration steps; Reduce likelihood of incorrect OAuth settings; Ensure secrets are created in correct namespace,"modules/op-pipelines-as-code-command-reference.adoc, line 126: 'tkn pac bootstrap github-app' creates GitHub application and secrets in openshift-pipelines namespace",GitHub-specific bootstrap for OAuth app creation
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference,"When I need to manage Pipelines as Code repositories, I want to create and view repository configurations, so I can track which Git repositories are integrated with my pipelines.",core,Developer,Administer,main_job,,Bootstrap Pipelines as Code,Set up Pipelines as Code for my Git repository; View pipeline run status,Minimize time to onboard new Git repositories; Reduce errors in repository configuration; Ensure visibility into repository status and runs,"modules/op-pipelines-as-code-command-reference.adoc, lines 79-80, 129-142: 'Create a new Pipelines as Code repository' and 'List all Pipelines as Code repositories' with commands for repository management",Main job covering repository lifecycle management
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - repository,"As a Developer, when I need to onboard a new Git repository to Pipelines as Code, I want to use tkn pac create repository, so I can quickly set up the namespace and repository resource.",core,Developer,Configure,user_story,"When I need to manage Pipelines as Code repositories, I want to create and view repository configurations, so I can track which Git repositories are integrated with my pipelines.",Have access to target namespace; Know Git repository URL,Generate pipeline run template; Configure Git provider credentials,Complete repository creation in single command; Avoid manual namespace creation; Ensure proper resource template generation,"modules/op-pipelines-as-code-command-reference.adoc, line 136: 'tkn pac create repository' creates new PAC repository and namespace based on pipeline run template",CLI-based repository creation
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - repository,"As a Developer, when I need to view all my Pipelines as Code repositories and their status, I want to use tkn pac list, so I can quickly see which repositories are active and their recent run results.",core,Developer,Observe,user_story,"When I need to manage Pipelines as Code repositories, I want to create and view repository configurations, so I can track which Git repositories are integrated with my pipelines.",Have PAC repositories created,Describe specific repository details; Monitor pipeline runs,Minimize time to check repository health; Ensure quick access to last run status; Reduce need to navigate multiple namespaces,"modules/op-pipelines-as-code-command-reference.adoc, line 138: 'tkn pac list' lists all PAC repositories and displays last status of associated runs",List view for repository overview
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - repository,"As a Developer, when I need detailed information about a specific repository and its runs, I want to use tkn pac repo describe, so I can troubleshoot issues or review run history.",core,Developer,Observe,user_story,"When I need to manage Pipelines as Code repositories, I want to create and view repository configurations, so I can track which Git repositories are integrated with my pipelines.",Have PAC repository created; Know repository name,View pipeline run logs; List all repositories,Minimize time to find repository details; Ensure access to complete run history; Reduce need to query multiple resources,"modules/op-pipelines-as-code-command-reference.adoc, line 140: 'tkn pac repo describe' describes PAC repository and associated runs",Detailed view for single repository
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference,"When I need to test pipeline runs locally without committing to Git, I want to generate and resolve pipeline definitions, so I can validate pipeline logic before pushing changes.",core,Developer,Develop,main_job,,Have pipeline run templates in .tekton directory,Manage Pipelines as Code repositories; Troubleshoot pipeline failures,Minimize commit noise from testing; Reduce time to validate pipeline changes; Ensure pipeline runs work as expected before Git push,"modules/op-pipelines-as-code-command-reference.adoc, lines 81-83, 144-182: 'Generate a simple pipeline run' and 'Resolve a pipeline run as if PAC executed it' with commands for local testing",Main job for local pipeline development and testing workflow
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - generate,"As a Developer, when I need to create a basic pipeline run for my repository, I want to use tkn pac generate, so I can get started quickly with language-specific task detection.",core,Developer,Develop,user_story,"When I need to test pipeline runs locally without committing to Git, I want to generate and resolve pipeline definitions, so I can validate pipeline logic before pushing changes.",Have source code repository locally; Be in repository directory,Customize generated pipeline; Add additional tasks,Minimize time to create initial pipeline; Reduce manual task selection for common languages; Ensure automatic Git information detection,"modules/op-pipelines-as-code-command-reference.adoc, lines 144-159: 'tkn pac generate' generates simple pipeline run with automatic Git info detection and language detection (e.g., pylint task for Python setup.py)",Scaffolding tool for initial pipeline creation
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - resolve,"As a Developer, when I need to test a pipeline run locally before committing, I want to use tkn pac resolve, so I can see exactly how PAC will execute the pipeline with current Git context.",core,Developer,Confirm,user_story,"When I need to test pipeline runs locally without committing to Git, I want to generate and resolve pipeline definitions, so I can validate pipeline logic before pushing changes.",Have pipeline run template in .tekton directory; Have local Kubernetes cluster running,Generate pipeline run; Apply resolved pipeline to cluster,Minimize commits for testing purposes; Reduce time to validate parameter resolution; Ensure pipeline resolves with current Git revision,"modules/op-pipelines-as-code-command-reference.adoc, lines 161-182: 'tkn pac resolve' executes pipeline run as if PAC owns it, auto-detects Git info, can pipe to 'oc apply', accepts -f for files/directories and -p for parameter overrides",Local resolution and testing without Git commit
