persona,workflow_stage,job,context,goal,success_criteria,pain_points,sources,evidence_strength,keywords
Platform Administrator,EVALUATE,Verify platform compatibility for OpenShift Pipelines 1.21,Planning to deploy or upgrade to OpenShift Pipelines 1.21,Confirm that OpenShift Pipelines 1.21 is compatible with my OpenShift Container Platform version,OpenShift version is listed in compatibility matrix; Component versions are known and supported; Technology Preview vs GA status is clear for each component,Uncertainty about which OpenShift versions support Pipelines 1.21; Need to understand which components are GA vs TP; Multiple component versions to track,op-release-notes-1-21-self-managed-reduced.adoc lines 84-125,direct,compatibility matrix; OpenShift 4.14; 4.16; 4.17; 4.18; 4.19; 4.20; 4.21; Pipelines 1.21; component versions; Technology Preview; General Availability
Security Engineer,USE,Enforce read-only root filesystems for container security,Securing Pipelines deployments following Kubernetes security best practices,Ensure all Pipelines containers run with read-only root filesystems to prevent unauthorized modifications,All Pipelines controllers and webhooks have readOnlyRootFilesystem=true; Security posture is improved; No unauthorized modifications to container runtime,Container filesystem modifications pose security risks; Need to follow security best practices; Manual configuration of security parameters,op-release-notes-1-21-self-managed-reduced.adoc lines 150-151,direct,readOnlyRootFilesystem; security best practices; Kubernetes workloads; controllers; webhooks; unauthorized modifications
CI/CD Engineer,USE,Override individual TaskRun timeouts within a PipelineRun,Managing pipeline executions where different tasks require different timeout values,Set specific timeout values for individual tasks without affecting the overall PipelineRun timeout,Can override timeout using spec.taskRunSpecs[].timeout; Individual task timeouts are honored; Overall PipelineRun timeout remains separate,Cannot control individual task timeouts; All tasks inherit same timeout; Tasks with varying execution times need different limits,op-release-notes-1-21-self-managed-reduced.adoc lines 154-175,direct,TaskRun timeout; spec.taskRunSpecs[].timeout; PipelineRun; finer-grained control; task execution duration
DevOps Engineer,OPTIMIZE,Reduce external API calls and improve pipeline execution reliability with resolver caching,Running pipelines that fetch resources from external services like GitHub or OCI registries,"Enable caching for bundle, Git, and cluster resolvers to minimize redundant fetches and API rate limit issues",Resolver cache is configured with appropriate TTL and max-size; Cache hits reduce external API calls; Pipeline execution is more reliable during service issues,Repeated fetches of same resources; External API rate limits; Service unavailability causes pipeline failures,op-release-notes-1-21-self-managed-reduced.adoc lines 178-227,direct,resolver caching; bundle resolver; Git resolver; cluster resolver; TTL; max-size; cache mode; auto; always; never
CI/CD Engineer,USE,Use array values in when expressions for conditional task execution,Building pipelines with conditional logic based on array parameters or results,Evaluate array values in when expression inputs to control task execution based on array membership,Array parameters can be used in when expressions; Array results from tasks can be consumed by when expressions; Conditional logic works correctly with array values,Limited conditional logic for array values; Cannot check array membership in when expressions; Complex workarounds for array-based conditions,op-release-notes-1-21-self-managed-reduced.adoc lines 229-290,direct,array values; when expressions; input attribute; operator in; params.branches[*]; results.envs[*]
Developer,USE,Add display names to pipeline steps for better readability,Creating or maintaining Task definitions for CI/CD pipelines,Add human-readable display names to steps that support parameter substitution,DisplayName field is available on Step objects; Display names support parameter substitution; Steps are more readable in UI and logs,Step names are not descriptive; Cannot use dynamic values in step names; Difficult to identify steps in UI,op-release-notes-1-21-self-managed-reduced.adoc lines 295-327,direct,displayName; Step objects; parameter substitution; Build the application; Run unit tests
Platform Administrator,GOVERN,Control pipeline service account permissions using legacyPipelineRbac parameter,Managing RBAC for pipeline service accounts across namespaces,Prevent pipeline service accounts from automatically receiving edit ClusterRole to enforce stricter permissions,legacyPipelineRbac parameter is set to false; Pipeline service accounts do not receive edit ClusterRole by default; Permissions are more restrictive,Excessive permissions granted by default; Need to enforce principle of least privilege; Manual cleanup of existing role bindings required,op-release-notes-1-21-self-managed-reduced.adoc lines 335-357,direct,legacyPipelineRbac; pipeline service account; edit ClusterRole; RBAC; createRbacResource; restricted permissions
Platform Administrator,ONBOARD,Access Tekton Results API endpoint externally via automatically created Route,Setting up Tekton Results component for the first time,Enable external access to Tekton Results API without manual Route configuration,OpenShift Route is automatically created for Results API; API endpoint is accessible externally; Custom host and path can be configured if needed,Manual Route creation required; Additional configuration steps; External access not available by default,op-release-notes-1-21-self-managed-reduced.adoc lines 359-363,direct,Tekton Results; Route; API endpoint; automatic creation; custom host; custom path
CI/CD Engineer,USE,Configure group approvers for Approval Tasks,Setting up approval workflows where teams rather than individuals approve pipeline tasks,Enable group-based approvals where any member can approve or reject tasks,Group approvers specified using group:<groupName> syntax; Any group member can approve or reject; Single rejection fails the task immediately,Only individual approvers supported; Need to list all team members separately; Approval workflow inflexible for team-based approvals,op-release-notes-1-21-self-managed-reduced.adoc lines 368-369,direct,Approval Tasks; group approvers; group:<groupName>; notifications; approval workflow
DevOps Engineer,USE,Persist Pipeline Overview page filter selections across navigation,Monitoring pipelines across different namespaces and time ranges,"Maintain namespace, time range, and refresh interval selections when navigating away and returning",Filter selections stored in application state and URL; Selections persist across page refreshes; Filters reset when switching namespaces,Filter selections lost on navigation; Need to re-select filters repeatedly; Inconsistent user experience,op-release-notes-1-21-self-managed-reduced.adoc lines 371-373,direct,Pipeline Overview page; filter persistence; Namespace filter; Time Range; Refresh Interval; URL query parameters
CI/CD Engineer,OPTIMIZE,Improve GitLab project access control performance with caching,Running Pipelines as Code with GitLab repositories,Reduce repeated API calls to GitLab for permission checks by caching ACL membership queries,GitLab ACL membership queries are cached; Performance improved for permission checks; Reduced API call volume to GitLab,Repeated API calls for same permission checks; Performance degradation with many permission checks; GitLab API throttling issues,op-release-notes-1-21-self-managed-reduced.adoc lines 385-386,direct,Pipelines as Code; GitLab; ACL caching; Project Access Control List; performance optimization
CI/CD Engineer,USE,Configure error log snippet length in Pipelines as Code,Managing error reporting in Pipelines as Code with GitHub integration,Control the number of lines displayed in error log snippets to fit GitHub API limits,error-log-snippet-number-of-lines setting is configurable; Log snippets truncated to 65000 characters; Check-run updates succeed without failures,Error logs too long for GitHub API; Check-run update failures; Cannot control snippet length,op-release-notes-1-21-self-managed-reduced.adoc lines 389-408,direct,error-log-snippet-number-of-lines; Pipelines as Code; GitHub API; check-run updates; truncation
