"doc","section","job_statement","job_type","persona","job_map_stage","granularity","parent_job","prerequisites","related_jobs","desired_outcomes","evidence","notes","validation_status"
"creating-applications-with-cicd-pipelines.adoc","Prerequisites","When starting a CI/CD pipeline project, I want to ensure my OpenShift cluster has the necessary components installed, so I can build pipelines without encountering environment issues.","core","Developer","Prepare","main_job",,"","Create project and verify service accounts; Create reusable pipeline tasks","Minimize time required to verify prerequisites; Reduce likelihood of pipeline failures due to missing dependencies; Ensure proper access permissions are in place","creating-applications-with-cicd-pipelines.adoc -> Prerequisites, lines 81-87","Foundation job - must be completed before any pipeline development","pass"
"doc","section","job_statement","job_type","persona","job_map_stage","granularity","parent_job","prerequisites","related_jobs","desired_outcomes","evidence","notes","validation_status"
"creating-applications-with-cicd-pipelines.adoc","Creating a project and checking your pipeline service account","When preparing to run pipelines, I want to create a dedicated project and verify the pipeline service account exists, so I can ensure proper isolation and permissions for my CI/CD workflows.","core","Developer","Prepare","main_job",,"Ensure my OpenShift cluster has the necessary components installed","Create reusable pipeline tasks; Assemble a pipeline","Minimize time to set up project namespace; Ensure service account has sufficient permissions to build and push images; Avoid permission-related pipeline failures","creating-applications-with-cicd-pipelines.adoc -> Creating a project and checking your pipeline service account, lines 96-127","Service account 'pipeline' is automatically configured by the Pipelines Operator with necessary permissions","pass"
"doc","section","job_statement","job_type","persona","job_map_stage","granularity","parent_job","prerequisites","related_jobs","desired_outcomes","evidence","notes","validation_status"
"creating-applications-with-cicd-pipelines.adoc","Creating pipeline tasks","When building a CI/CD pipeline, I want to install reusable tasks from existing repositories, so I can avoid reinventing the wheel and leverage proven pipeline components.","core","Developer","Prepare","main_job",,"Create a dedicated project and verify the pipeline service account exists","Assemble a pipeline; Run a pipeline","Minimize time to create pipeline building blocks; Maximize reusability of pipeline components; Ensure tasks are production-tested and reliable","creating-applications-with-cicd-pipelines.adoc -> Creating pipeline tasks, lines 136-168","Tasks like apply-manifests and update-deployment are installed from pipelines-tutorial repository","pass"
"doc","section","job_statement","job_type","persona","job_map_stage","granularity","parent_job","prerequisites","related_jobs","desired_outcomes","evidence","notes","validation_status"
"creating-applications-with-cicd-pipelines.adoc","Assembling a pipeline","When creating a CI/CD workflow, I want to assemble pipeline tasks into an executable flow with defined dependencies and workspaces, so I can automate the build and deployment process for my application.","core","Developer","Configure","main_job",,"Install reusable tasks from existing repositories; Create a dedicated project and verify the pipeline service account exists","Mirror images for restricted environments; Run a pipeline","Minimize complexity of pipeline definition; Ensure proper task execution order; Maximize pipeline reusability across applications; Reduce time to define CI/CD workflows","creating-applications-with-cicd-pipelines.adoc -> Assembling a pipeline, lines 177-309","Pipeline uses git-clone, buildah, apply-manifests, and update-deployment tasks with runAfter dependencies","pass"
"doc","section","job_statement","job_type","persona","job_map_stage","granularity","parent_job","prerequisites","related_jobs","desired_outcomes","evidence","notes","validation_status"
"creating-applications-with-cicd-pipelines.adoc","Mirroring images to run pipelines in a restricted environment","When deploying pipelines in a disconnected or restricted cluster, I want to mirror required builder images to a private registry, so I can run pipelines without external internet access.","core","Platform administrator","Configure","main_job",,"Assemble pipeline tasks into an executable flow with defined dependencies and workspaces","Run a pipeline","Ensure pipelines work in air-gapped environments; Minimize dependency on external registries; Reduce risk of image pull failures in production","creating-applications-with-cicd-pipelines.adoc -> Mirroring images to run pipelines in a restricted environment, lines 319-521","Covers mirroring python, golang, and cli builder images for front-end, back-end, and CLI components","pass"
"doc","section","job_statement","job_type","persona","job_map_stage","granularity","parent_job","prerequisites","related_jobs","desired_outcomes","evidence","notes","validation_status"
"creating-applications-with-cicd-pipelines.adoc","Running a pipeline","When ready to build and deploy my application, I want to start a pipeline run with specific parameters and track its progress, so I can see my code move from source to deployed application.","core","Developer","Execute","main_job",,"Assemble pipeline tasks into an executable flow with defined dependencies and workspaces","Add triggers to automate pipeline execution; Monitor event listener metrics","Minimize time from code commit to deployment; Ensure pipeline execution is observable and trackable; Reduce manual intervention in build and deploy process; Verify successful deployment before releasing","creating-applications-with-cicd-pipelines.adoc -> Running a pipeline, lines 538-621","Creates PipelineRun for both front-end and back-end applications with workspace storage configuration","pass"
"doc","section","job_statement","job_type","persona","job_map_stage","granularity","parent_job","prerequisites","related_jobs","desired_outcomes","evidence","notes","validation_status"
"creating-applications-with-cicd-pipelines.adoc","Adding triggers to a pipeline","When automating CI/CD workflows, I want to configure triggers that respond to GitHub events, so I can automatically build and deploy my application when code changes occur.","core","Developer","Configure","main_job",,"Start a pipeline run with specific parameters and track its progress","Configure event listeners for multiple namespaces; Create webhooks in Git repositories; Trigger pipeline runs from Git events","Minimize manual pipeline triggering; Ensure pipelines respond automatically to code changes; Reduce time between code commit and deployment; Maximize automation of CI/CD workflows","creating-applications-with-cicd-pipelines.adoc -> Adding triggers to a pipeline, lines 636-871","Creates TriggerBinding, TriggerTemplate, Trigger, and EventListener resources with HTTPS or HTTP routes","pass"
"doc","section","job_statement","job_type","persona","job_map_stage","granularity","parent_job","prerequisites","related_jobs","desired_outcomes","evidence","notes","validation_status"
