job_number,doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,module_path,module_type
1,using-pipelines-as-code-repos.adoc,GitHub App integration with Pipelines as Code,"When I need to integrate my Git repositories with OpenShift Pipelines, I want to understand how GitHub Apps enable Git-based CI/CD workflows, so I can choose the right integration approach",core,Cluster administrator,Define,main_job,,"","Configure GitHub App, Set up webhook integration","Understand the integration options available; Minimize setup complexity; Ensure secure webhook connectivity","Lines 78-104: GitHub App integration with Pipelines as Code. Explains that cluster administrators configure a single GitHub App for all users with webhooks pointing to the Pipelines as Code controller.",modules/op-using-pipelines-as-code-with-a-github-app.adoc,concept
2,using-pipelines-as-code-repos.adoc,Configure a GitHub App using the command line interface,"When I need to set up GitHub integration for the main Pipelines as Code controller, I want to use the tkn CLI to create and configure a GitHub App automatically, so I can establish the integration quickly without manual GitHub UI steps",core,Cluster administrator,Prepare,user_story,Integrate Git repository hosting service with Pipelines as Code,"Install tkn command line utility with tkn pac plugin, Log on to OpenShift cluster as cluster administrator","Create GitHub App in administrator perspective, Configure GitHub App manually","Minimize time required to configure GitHub App; Reduce manual configuration errors; Ensure webhook points to correct controller endpoint","Lines 106-155: Configure a GitHub App using the command line interface. Uses tkn pac bootstrap github-app command to create GitHub App and configure the controller.",modules/op-pac-configuring-github-app-cli.adoc,procedure
3,using-pipelines-as-code-repos.adoc,Create a GitHub App in administrator perspective,"When I prefer using the web console UI over CLI tools, I want to create and configure a GitHub App through the OpenShift administrator perspective, so I can visually manage the GitHub integration setup",core,Cluster administrator,Prepare,user_story,Integrate Git repository hosting service with Pipelines as Code,Install OpenShift Pipelines operator,"Configure GitHub App using CLI, Configure GitHub App manually","Minimize steps required to create GitHub App; Ensure correct permissions are set; Verify app details are saved as secrets","Lines 157-200: Create a GitHub App in administrator perspective. Uses Pipelines page in admin perspective to setup GitHub App with browser-based workflow.",modules/op-creating-a-github-application-in-administrator-perspective.adoc,procedure
4,using-pipelines-as-code-repos.adoc,Configure a GitHub App manually and create a secret for Pipelines as Code,"When I need to configure a GitHub App for additional Pipelines as Code controllers or require full control over the setup, I want to manually create the app in GitHub and configure the OpenShift secret, so I can support multiple GitHub Apps or customize the configuration",core,Cluster administrator,Prepare,user_story,Integrate Git repository hosting service with Pipelines as Code,"Install OpenShift Pipelines operator, Have GitHub account with permissions to create GitHub Apps, Log on to OpenShift cluster as cluster administrator",Configure additional Pipelines as Code controllers,"Ensure correct repository permissions are set; Minimize risk of exposing webhook secret; Verify private key is securely stored","Lines 202-310: Configure a GitHub App manually and create a secret for Pipelines as Code. Details manual GitHub App creation with specific permissions and secret configuration for OpenShift.",modules/op-pac-configuring-github-app-manually.adoc,procedure
5,using-pipelines-as-code-repos.adoc,Scope the GitHub token to additional repositories,"When my pipeline definitions need to access multiple private repositories beyond the main repository, I want to extend the GitHub token scope to additional repositories, so I can fetch tasks and resources from separate private repos",core,Cluster administrator,Modify,main_job,,"Have Pipelines as Code GitHub App configured, Know names of additional repositories, Additional repositories exist in GitHub organization","Configure GitHub App, Use private repositories","Minimize access token scope while enabling required repository access; Ensure repositories in same namespace can be accessed; Reduce authentication failures when fetching remote tasks","Lines 312-438: Scope the GitHub token to additional repositories. Explains global and repository-level configuration to extend token scope beyond the pipeline repository.",modules/op-scoping-github-token.adoc,procedure
6,using-pipelines-as-code-repos.adoc,Use Pipelines as Code with GitHub Webhook,"When I cannot create a GitHub App, I want to use GitHub Webhooks with personal access tokens for Pipelines as Code integration, so I can still trigger pipelines from GitHub events",core,Cluster administrator,Prepare,user_story,Integrate Git repository hosting service with Pipelines as Code,"Install Pipelines as Code on cluster, Create personal access token on GitHub",Configure GitHub App,"Minimize webhook configuration steps; Ensure secure payload validation; Reduce manual effort in creating Repository CR","Lines 440-675: Use Pipelines as Code with GitHub Webhook. Provides alternative to GitHub App using webhooks, though without Check Runs API access.",modules/op-using-pipelines-as-code-with-github-webhook.adoc,procedure
7,using-pipelines-as-code-repos.adoc,Use Pipelines as Code with GitLab,"When my organization uses GitLab as the Git hosting platform, I want to configure Pipelines as Code with GitLab webhooks, so I can trigger pipelines from GitLab merge requests and commits",core,Cluster administrator,Prepare,user_story,Integrate Git repository hosting service with Pipelines as Code,"Install Pipelines as Code on cluster, Generate personal access token on GitLab","Configure GitHub integration, Configure Bitbucket integration","Ensure merge request events trigger pipelines correctly; Minimize token permission scope while maintaining functionality; Verify pipeline status reported back to GitLab","Lines 677-882: Use Pipelines as Code with GitLab. Explains GitLab webhook setup with tkn pac CLI or manual configuration.",modules/op-using-pipelines-as-code-with-gitlab.adoc,procedure
8,using-pipelines-as-code-repos.adoc,Use Pipelines as Code with Bitbucket Cloud,"When my organization uses Bitbucket Cloud, I want to configure Pipelines as Code with Bitbucket webhooks and app passwords, so I can trigger pipelines from Bitbucket pull requests and commits",core,Cluster administrator,Prepare,user_story,Integrate Git repository hosting service with Pipelines as Code,"Install Pipelines as Code on cluster, Create app password on Bitbucket Cloud","Configure GitHub integration, Configure GitLab integration","Ensure webhook only accepts requests from Bitbucket Cloud IPs; Minimize app password permissions while maintaining functionality; Verify pipeline status displays in Bitbucket pull requests","Lines 884-1132: Use Pipelines as Code with Bitbucket Cloud. Covers Bitbucket Cloud webhook configuration with IP address verification for security.",modules/op-using-pipelines-as-code-with-bitbucket-cloud.adoc,procedure
9,using-pipelines-as-code-repos.adoc,Use Pipelines as Code with Bitbucket Data Center,"When my organization uses Bitbucket Data Center (self-hosted), I want to configure Pipelines as Code with Bitbucket webhooks and personal access tokens, so I can trigger pipelines from on-premise Bitbucket repositories",core,Cluster administrator,Prepare,user_story,Integrate Git repository hosting service with Pipelines as Code,"Install Pipelines as Code on cluster, Generate personal access token on Bitbucket Data Center with PROJECT_ADMIN and REPOSITORY_ADMIN permissions","Configure Bitbucket Cloud integration, Configure custom certificates","Ensure webhook secret validates payloads securely; Minimize token permissions while enabling forked repository access; Verify correct Bitbucket API URL without /api/v1.0 suffix","Lines 1134-1281: Use Pipelines as Code with Bitbucket Data Center. Details on-premise Bitbucket setup with webhook secrets and specific API URL requirements.",modules/op-using-pipelines-as-code-with-bitbucket-server.adoc,procedure
10,using-pipelines-as-code-repos.adoc,Configure custom certificates for Pipelines as Code,"When my Git repository uses privately signed or custom certificates, I want to expose these certificates to Pipelines as Code, so I can establish secure connections to repositories with non-standard CAs",core,Cluster administrator,Prepare,main_job,,Install Pipelines as Code using OpenShift Pipelines Operator,"Configure enterprise Git hosting services, Enable cluster-wide proxy","Ensure Pipelines as Code trusts custom certificates; Minimize TLS verification errors when connecting to Git repositories; Reduce manual certificate distribution","Lines 1283-1300: Configure custom certificates for Pipelines as Code. Explains using Proxy object to expose custom certificates to all Pipelines components.",modules/op-interfacing-pipelines-as-code-with-custom-certificates.adoc,procedure
11,using-pipelines-as-code-repos.adoc,Private repository support in Pipelines as Code,"When I need to understand how Pipelines as Code authenticates to private repositories, I want to reference the documentation on git-auth secret management, so I can correctly configure my pipelines to clone private repos",related,Cluster administrator,Prepare,main_job,,,"Configure Git hosting service integration, Configure basic-auth workspace in pipelines","Understand automatic secret creation pattern; Minimize authentication errors when cloning private repositories; Ensure git-clone task receives correct credentials","Lines 1302-1364: Private repository support in Pipelines as Code. Reference material explaining how pac creates git-auth secrets and how to reference them in pipeline/pipelinerun definitions.",modules/op-using-private-repositories-with-pipelines-as-code.adoc,reference
