Job #,Lifecycle,Job,Job Statement,Persona(s),Landing Page Category,Main Jobs,Docs Absorbed,AsciiDoc Modules,Notes
1,Day 0 (evaluate),Understand OpenShift Pipelines capabilities and architecture,"When I need to evaluate CI/CD solutions for my OpenShift cluster, I want to understand OpenShift Pipelines' features, architecture, and how it fits my use case, so I can decide if it meets my team's needs.",Platform administrator; CI/CD engineer; Developer,Get Started,9,understanding-openshift-pipelines; about-pipelines,op-key-features.adoc; op-pipelines-concepts.adoc; op-about-tasks.adoc; op-about-whenexpression.adoc; op-about-finally_tasks.adoc; op-about-taskrun.adoc; op-about-pipelines.adoc; op-about-pipelinerun.adoc; op-about-podtemplate.adoc; op-about-workspace.adoc; op-about-stepactions.adoc; op-about-triggers.adoc,Evaluation and initial learning. Should not duplicate procedural content from Install/Develop jobs.
2,Day 0 (install),Install and configure OpenShift Pipelines,"When I need CI/CD capabilities on my OpenShift cluster, I want to install the OpenShift Pipelines Operator and configure global settings, so I can provide pipeline infrastructure to my development teams.",Cluster administrator; Platform administrator,Install,11,installing-pipelines; install-config-pipelines-as-code; customizing-configurations-in-the-tektonconfig-cr; remote-pipelines-tasks-resolvers,op-installing-pipelines-operator-in-web-console.adoc; op-installing-pipelines-operator-using-the-cli.adoc; op-pipelines-operator-in-restricted-environment.adoc; op-installing-pipelines-as-code-on-an-openshift-cluster.adoc; op-installing-pipelines-as-code-cli.adoc; op-customizing-pipelines-as-code-configuration.adoc; op-pac-additional-controller.adoc; op-performance-tuning-using-tektonconfig-cr.adoc; op-configuring-pipelines-control-plane.adoc; op-modifiable-fields-with-default-values.adoc; op-optional-configuration-fields.adoc; op-changing-default-service-account.adoc; op-setting-annotations-labels-namespace.adoc; op-setting-resync-period.adoc; op-disabling-the-service-monitor.adoc; op-configuring-pipeline-resolvers.adoc; op-disabling-pipeline-templates.adoc; op-disabling-pipeline-triggers.adoc; op-disabling-the-integretion-of-tekton-hub.adoc; op-migrating-from-tekton-hub-to-artifact-hub.adoc; op-assess-migration-impact.adoc; op-migrating-to-artifact-hub.adoc; op-configuring-private-artifact-hub.adoc; op-disabling-automatic-creation-of-rbac-resources.adoc; op-disabling-inline-spec.adoc; op-configuration-rbac-trusted-ca-flags.adoc; op-automatic-pruning-taskrun-pipelinerun.adoc; op-default-pruner-configuration.adoc; op-annotations-for-automatic-pruning-taskruns-pipelineruns.adoc; op-event-pruner-configuration.adoc; op-event-pruner-reference.adoc; op-event-pruner-observability.adoc; op-additional-options-webhooks.adoc; op-resolver-hub-about.adoc; op-resolver-hub-config.adoc; op-resolver-hub.adoc; op-resolver-bundles-about.adoc; op-resolver-bundle-config.adoc; op-resolver-bundle.adoc; op-resolver-git-anon-about.adoc; op-resolver-git-config-anon.adoc; op-resolver-git-anon.adoc; op-resolver-git-scm-about.adoc; op-resolver-git-config-scm.adoc; op-resolver-git-config-multiple-providers.adoc; op-resolver-git-scm.adoc; op-resolver-git-specify-multiple-providers.adoc; op-resolver-git-override-scm.adoc; op-resolver-http-about.adoc; op-resolver-http-config.adoc; op-resolver-http.adoc; op-resolver-cluster-about.adoc; op-resolver-cluster-config.adoc; op-resolver-cluster.adoc; op-resolver-cluster-tasks-ref.adoc; op-resolver-community-tasks-ref.adoc; op-resolver-stepactions-ref.adoc; op-resolver-tasks-step-actions-about.adoc,Platform-level installation and global configuration. PAC setup is here; PAC usage is in Job 4.
3,Day 1 (develop),Build and assemble CI/CD pipelines,"When I need to create automated CI/CD workflows, I want to build pipelines by assembling tasks and defining execution flow, so I can automate build, test, and deployment processes.",Developer; CI/CD engineer,Develop,20,creating-applications-with-cicd-pipelines; remote-pipelines-tasks-resolvers; using-buildah-ns-tekton-task; working-with-pipelines-web-console,op-creating-project-and-checking-pipeline-service-account.adoc; op-creating-pipeline-tasks.adoc; op-assembling-a-pipeline.adoc; op-mirroring-images-to-run-pipelines-in-restricted-environment.adoc; op-running-a-pipeline.adoc; op-adding-triggers.adoc; op-configuring-eventlisteners-to-serve-multiple-namespaces.adoc; op-creating-webhooks.adoc; op-triggering-a-pipelinerun.adoc; op-enabling-monitoring-of-event-listeners-for-triggers-for-user-defined-projects.adoc; op-configuring-pull-request-capabilities-in-GitHub-interceptor.adoc; op-filtering-pull-requests-using-GitHub-interceptor.adoc; op-validating-pull-requests-using-GitHub-interceptors.adoc; op-resolver-hub-about.adoc; op-resolver-hub-config.adoc; op-resolver-hub.adoc; op-resolver-bundles-about.adoc; op-resolver-bundle-config.adoc; op-resolver-bundle.adoc; op-resolver-git-anon-about.adoc; op-resolver-git-config-anon.adoc; op-resolver-git-anon.adoc; op-resolver-git-scm-about.adoc; op-resolver-git-config-scm.adoc; op-resolver-git-config-multiple-providers.adoc; op-resolver-git-scm.adoc; op-resolver-git-specify-multiple-providers.adoc; op-resolver-git-override-scm.adoc; op-resolver-http-about.adoc; op-resolver-http-config.adoc; op-resolver-http.adoc; op-resolver-cluster-about.adoc; op-resolver-cluster-config.adoc; op-resolver-cluster.adoc; op-resolver-cluster-tasks-ref.adoc; op-resolver-community-tasks-ref.adoc; op-resolver-stepactions-ref.adoc; op-resolver-tasks-step-actions-about.adoc; op-differences-between-buildah-buildah-ns-tasks.adoc; op-security-model-buildah-ns-task.adoc; op-workspaces-parameters-results-buildah-ns-task.adoc; op-running-buildah-ns-task.adoc; op-odc-pipelines-abstract.adoc; op-constructing-pipelines-using-pipeline-builder.adoc; op-creating-pipelines-along-with-applications.adoc; odc-adding-a-GitHub-repository-containing-pipelines.adoc; op-interacting-with-pipelines-using-the-developer-perspective.adoc; op-starting-pipelines-from-pipelines-view.adoc; op-starting-pipelines-from-topology-view.adoc; op-interacting-pipelines-from-topology-view.adoc; op-editing-pipelines.adoc; op-deleting-pipelines.adoc; op-creating-pipeline-templates-admin-console.adoc; op-console-statistics.adoc; op-enabling-plugin.adoc; op-webstat-general.adoc; op-webstat-pipeline.adoc,Largest job by main-job count (20). Progressive disclosure critical.
4,Day 1 (configure),Configure Pipelines as Code for Git-driven workflows,"When I need to manage pipeline definitions in Git repositories alongside application code, I want to configure Pipelines as Code to automatically trigger pipelines from repository events, so I can implement GitOps-style CI/CD.",Platform engineer; Developer; Pipeline developer,Configure,38,about-pipelines-as-code; using-pipelines-as-code-repos; using-repository-crd; authenticating-pipelines-repos-using-secrets; pac-command-reference; creating-applications-with-cicd-pipelines; working-with-pipelines-web-console,op-pac-concepts.adoc; op-using-pipelines-as-code-with-a-github-app.adoc; op-pac-configuring-github-app-cli.adoc; op-creating-a-github-application-in-administrator-perspective.adoc; op-pac-configuring-github-app-manually.adoc; op-scoping-github-token.adoc; op-using-pipelines-as-code-with-github-webhook.adoc; op-using-pipelines-as-code-with-gitlab.adoc; op-using-pipelines-as-code-with-bitbucket-cloud.adoc; op-using-pipelines-as-code-with-bitbucket-server.adoc; op-interfacing-pipelines-as-code-with-custom-certificates.adoc; op-using-private-repositories-with-pipelines-as-code.adoc; op-creating-repository-cr.adoc; op-creating-global-repository-cr.adoc; op-setting-concurrency-limits-in-repository-crd.adoc; op-changing-source-branch-in-repository-crd.adoc; op-custom-parameter-expansion.adoc; op-providing-secrets-service-accounts-about.adoc; op-types-annotation-secrets.adoc; op-configuring-basic-authentication-for-git.adoc; op-configuring-ssh-authentication-for-git.adoc; op-configuring-registry-authentication-sa.adoc; op-additional-considerations-authentication-sa.adoc; op-using-ssh-authentication-in-git-type-tasks.adoc; op-using-secrets-as-a-nonroot-user.adoc; op-providing-secrets-workspaces-about.adoc; op-configuring-git-ssh-authentication-using-workspaces.adoc; op-configuring-container-registry-authentication-using-workspaces.adoc; op-limiting-secret-workspace-to-step.adoc; op-pipelines-as-code-command-reference.adoc; op-configuring-pipelines-as-code-logging.adoc; op-splitting-pipelines-as-code-logs-by-namespace.adoc; op-creating-project-and-checking-pipeline-service-account.adoc; op-creating-pipeline-tasks.adoc; op-assembling-a-pipeline.adoc; op-mirroring-images-to-run-pipelines-in-restricted-environment.adoc; op-running-a-pipeline.adoc; op-adding-triggers.adoc; op-configuring-eventlisteners-to-serve-multiple-namespaces.adoc; op-creating-webhooks.adoc; op-triggering-a-pipelinerun.adoc; op-enabling-monitoring-of-event-listeners-for-triggers-for-user-defined-projects.adoc; op-configuring-pull-request-capabilities-in-GitHub-interceptor.adoc; op-filtering-pull-requests-using-GitHub-interceptor.adoc; op-validating-pull-requests-using-GitHub-interceptors.adoc; op-odc-pipelines-abstract.adoc; op-constructing-pipelines-using-pipeline-builder.adoc; op-creating-pipelines-along-with-applications.adoc; odc-adding-a-GitHub-repository-containing-pipelines.adoc; op-interacting-with-pipelines-using-the-developer-perspective.adoc; op-starting-pipelines-from-pipelines-view.adoc; op-starting-pipelines-from-topology-view.adoc; op-interacting-pipelines-from-topology-view.adoc; op-editing-pipelines.adoc; op-deleting-pipelines.adoc; op-creating-pipeline-templates-admin-console.adoc; op-console-statistics.adoc; op-enabling-plugin.adoc; op-webstat-general.adoc; op-webstat-pipeline.adoc,Second-largest job (38 main jobs). Consolidates PAC content from 6+ docs.
5,Day 1 (configure),Configure pipeline execution environment and behavior,"When I need to customize how pipelines execute in my cluster, I want to configure execution parameters, resource limits, service accounts, and runtime behavior, so pipelines run efficiently within organizational constraints.",Cluster administrator; Platform administrator; Pipeline developer,Configure,17,customizing-configurations-in-the-tektonconfig-cr; reducing-pipelines-resource-consumption; using-rh-entitlements-pipelines; using-tekton-hub-with-openshift-pipelines; op-configuring-tkn,op-performance-tuning-using-tektonconfig-cr.adoc; op-configuring-pipelines-control-plane.adoc; op-modifiable-fields-with-default-values.adoc; op-optional-configuration-fields.adoc; op-changing-default-service-account.adoc; op-setting-annotations-labels-namespace.adoc; op-setting-resync-period.adoc; op-disabling-the-service-monitor.adoc; op-configuring-pipeline-resolvers.adoc; op-disabling-pipeline-templates.adoc; op-disabling-pipeline-triggers.adoc; op-disabling-the-integretion-of-tekton-hub.adoc; op-migrating-from-tekton-hub-to-artifact-hub.adoc; op-assess-migration-impact.adoc; op-migrating-to-artifact-hub.adoc; op-configuring-private-artifact-hub.adoc; op-disabling-automatic-creation-of-rbac-resources.adoc; op-disabling-inline-spec.adoc; op-configuration-rbac-trusted-ca-flags.adoc; op-automatic-pruning-taskrun-pipelinerun.adoc; op-default-pruner-configuration.adoc; op-annotations-for-automatic-pruning-taskruns-pipelineruns.adoc; op-event-pruner-configuration.adoc; op-event-pruner-reference.adoc; op-event-pruner-observability.adoc; op-additional-options-webhooks.adoc; op-understanding-pipelines-resource-consumption.adoc; op-mitigating-extra-pipeline-resource-consumption.adoc; op-override-step-resources-pipelinerun.adoc; op-setting-compute-resources-for-a-task-step.adoc; op-entitlements-manual-copying.adoc; op-entitlements-shared-csi-driver.adoc; op-installing-and-deploying-tekton-hub-on-an-openshift-cluster.adoc; op-installing-tekton-hub-without-login-and-rating.adoc; op-installing-tekton-hub-with-login-and-rating.adoc; op-using-a-custom-database-in-tekton-hub.adoc; op-installing-crunchy-postgres-database-and-tekton-hub.adoc; op-migrating-tekton-hub-data-to-an-existing-crunchy-postgres-database.adoc; op-updating-tekton-hub-with-custom-categories-and-catalogs.adoc; op-modifying-catalog-refresh-interval-tekton-hub.adoc; op-adding-new-users-in-tekton-hub-configuration.adoc; op-disabling-tekton-hub-authorization-after-upgrade.adoc; op-tkn-enabling-tab-completion.adoc,Post-installation environment tuning. Proactive configuration vs. Job 11 (reactive tuning).
6,Day 1 (configure),Implement governance gates with manual approval,"When I need human review before critical pipeline stages execute, I want to configure manual approval gates, so I can enforce governance requirements for production deployments.",CI/CD engineer; Platform administrator; Release manager,Configure,4,using-manual-approval,op-enabling-manual-approval-gate.adoc; op-specifying-manual-approval-task.adoc; op-approving-manual-approval-task-about.adoc; op-approving-task-web-console.adoc; op-approving-task-command-line.adoc; op-behavior-of-approvaltask-with-groups-and-users.adoc,Whole-book job. All content from using-manual-approval maps here.
7,Day 1 (configure),Scale pipelines across multiple clusters,"When I need to distribute pipeline workloads across multiple OpenShift clusters, I want to configure multicluster pipeline support with hub and spoke architecture, so I can overcome resource contention and handle increased capacity demands.",Platform Administrator; Cluster Administrator,Configure,6,configuring-multicluster-support,op-about-multicluster-support.adoc; op-multicluster-architecture.adoc; op-configuring-hub-cluster-multicluster.adoc; op-configuring-spoke-clusters-multicluster.adoc; op-verifying-multicluster-setup.adoc; op-creating-pipeline-runs-multicluster.adoc; op-multicluster-limitations.adoc; op-multicluster-kueue-resources-reference.adoc,Whole-book job. Advanced enterprise-scale feature.
8,Day 1 (execute),Run and monitor pipeline executions,"When I'm ready to execute my CI/CD workflows, I want to start pipeline runs with specific parameters and monitor their progress, so I can track build and deployment status.",Developer; Administrator,Execute,10,creating-applications-with-cicd-pipelines; working-with-pipelines-web-console; pac-command-reference,op-creating-project-and-checking-pipeline-service-account.adoc; op-creating-pipeline-tasks.adoc; op-assembling-a-pipeline.adoc; op-mirroring-images-to-run-pipelines-in-restricted-environment.adoc; op-running-a-pipeline.adoc; op-adding-triggers.adoc; op-configuring-eventlisteners-to-serve-multiple-namespaces.adoc; op-creating-webhooks.adoc; op-triggering-a-pipelinerun.adoc; op-enabling-monitoring-of-event-listeners-for-triggers-for-user-defined-projects.adoc; op-configuring-pull-request-capabilities-in-GitHub-interceptor.adoc; op-filtering-pull-requests-using-GitHub-interceptor.adoc; op-validating-pull-requests-using-GitHub-interceptors.adoc; op-odc-pipelines-abstract.adoc; op-constructing-pipelines-using-pipeline-builder.adoc; op-creating-pipelines-along-with-applications.adoc; odc-adding-a-GitHub-repository-containing-pipelines.adoc; op-interacting-with-pipelines-using-the-developer-perspective.adoc; op-starting-pipelines-from-pipelines-view.adoc; op-starting-pipelines-from-topology-view.adoc; op-interacting-pipelines-from-topology-view.adoc; op-editing-pipelines.adoc; op-deleting-pipelines.adoc; op-creating-pipeline-templates-admin-console.adoc; op-console-statistics.adoc; op-enabling-plugin.adoc; op-webstat-general.adoc; op-webstat-pipeline.adoc; op-pipelines-as-code-command-reference.adoc; op-configuring-pipelines-as-code-logging.adoc; op-splitting-pipelines-as-code-logs-by-namespace.adoc,Execution and management stages from multiple books. Basic execution → monitoring → management.
9,Day 1 (secure),Secure pipeline access and supply chain,"When I need to protect pipeline infrastructure and ensure supply chain security, I want to configure authentication, authorization, and provenance tracking, so pipelines execute securely and meet compliance requirements.",Cluster administrator; Platform administrator; Security engineer,Secure,10,customizing-configurations-in-the-tektonconfig-cr; authenticating-pipelines-repos-using-secrets; remote-pipelines-tasks-resolvers; using-pipelines-as-code-repos; using-repository-crd; using-rh-entitlements-pipelines; using-tekton-hub-with-openshift-pipelines; setting-up-openshift-pipelines-to-view-software-supply-chain-security-elements,op-performance-tuning-using-tektonconfig-cr.adoc; op-configuring-pipelines-control-plane.adoc; op-modifiable-fields-with-default-values.adoc; op-optional-configuration-fields.adoc; op-changing-default-service-account.adoc; op-setting-annotations-labels-namespace.adoc; op-setting-resync-period.adoc; op-disabling-the-service-monitor.adoc; op-configuring-pipeline-resolvers.adoc; op-disabling-pipeline-templates.adoc; op-disabling-pipeline-triggers.adoc; op-disabling-the-integretion-of-tekton-hub.adoc; op-migrating-from-tekton-hub-to-artifact-hub.adoc; op-assess-migration-impact.adoc; op-migrating-to-artifact-hub.adoc; op-configuring-private-artifact-hub.adoc; op-disabling-automatic-creation-of-rbac-resources.adoc; op-disabling-inline-spec.adoc; op-configuration-rbac-trusted-ca-flags.adoc; op-automatic-pruning-taskrun-pipelinerun.adoc; op-default-pruner-configuration.adoc; op-annotations-for-automatic-pruning-taskruns-pipelineruns.adoc; op-event-pruner-configuration.adoc; op-event-pruner-reference.adoc; op-event-pruner-observability.adoc; op-additional-options-webhooks.adoc; op-providing-secrets-service-accounts-about.adoc; op-types-annotation-secrets.adoc; op-configuring-basic-authentication-for-git.adoc; op-configuring-ssh-authentication-for-git.adoc; op-configuring-registry-authentication-sa.adoc; op-additional-considerations-authentication-sa.adoc; op-using-ssh-authentication-in-git-type-tasks.adoc; op-using-secrets-as-a-nonroot-user.adoc; op-providing-secrets-workspaces-about.adoc; op-configuring-git-ssh-authentication-using-workspaces.adoc; op-configuring-container-registry-authentication-using-workspaces.adoc; op-limiting-secret-workspace-to-step.adoc; op-resolver-hub-about.adoc; op-resolver-hub-config.adoc; op-resolver-hub.adoc; op-resolver-bundles-about.adoc; op-resolver-bundle-config.adoc; op-resolver-bundle.adoc; op-resolver-git-anon-about.adoc; op-resolver-git-config-anon.adoc; op-resolver-git-anon.adoc; op-resolver-git-scm-about.adoc; op-resolver-git-config-scm.adoc; op-resolver-git-config-multiple-providers.adoc; op-resolver-git-scm.adoc; op-resolver-git-specify-multiple-providers.adoc; op-resolver-git-override-scm.adoc; op-resolver-http-about.adoc; op-resolver-http-config.adoc; op-resolver-http.adoc; op-resolver-cluster-about.adoc; op-resolver-cluster-config.adoc; op-resolver-cluster.adoc; op-resolver-cluster-tasks-ref.adoc; op-resolver-community-tasks-ref.adoc; op-resolver-stepactions-ref.adoc; op-resolver-tasks-step-actions-about.adoc; op-using-pipelines-as-code-with-a-github-app.adoc; op-pac-configuring-github-app-cli.adoc; op-creating-a-github-application-in-administrator-perspective.adoc; op-pac-configuring-github-app-manually.adoc; op-scoping-github-token.adoc; op-using-pipelines-as-code-with-github-webhook.adoc; op-using-pipelines-as-code-with-gitlab.adoc; op-using-pipelines-as-code-with-bitbucket-cloud.adoc; op-using-pipelines-as-code-with-bitbucket-server.adoc; op-interfacing-pipelines-as-code-with-custom-certificates.adoc; op-using-private-repositories-with-pipelines-as-code.adoc; op-creating-repository-cr.adoc; op-creating-global-repository-cr.adoc; op-setting-concurrency-limits-in-repository-crd.adoc; op-changing-source-branch-in-repository-crd.adoc; op-custom-parameter-expansion.adoc; op-entitlements-manual-copying.adoc; op-entitlements-shared-csi-driver.adoc; op-installing-and-deploying-tekton-hub-on-an-openshift-cluster.adoc; op-installing-tekton-hub-without-login-and-rating.adoc; op-installing-tekton-hub-with-login-and-rating.adoc; op-using-a-custom-database-in-tekton-hub.adoc; op-installing-crunchy-postgres-database-and-tekton-hub.adoc; op-migrating-tekton-hub-data-to-an-existing-crunchy-postgres-database.adoc; op-updating-tekton-hub-with-custom-categories-and-catalogs.adoc; op-modifying-catalog-refresh-interval-tekton-hub.adoc; op-adding-new-users-in-tekton-hub-configuration.adoc; op-disabling-tekton-hub-authorization-after-upgrade.adoc; op-setting-up-openshift-pipelines-to-view-project-vulnerabilities.adoc; op-setting-up-openshift-pipelines-to-download-or-view-sboms.adoc,"Security content from 8 source docs. Supply chain security (Chains, SBOM, provenance) is growing."
10,Day 2 (observe),Track pipeline results and observability,"When I need long-term access to pipeline execution history and metrics, I want to configure Tekton Results for archival and querying, so I can analyze trends, audit compliance, and troubleshoot historical runs.",Platform engineer; Cluster administrator,Observe,6,using-tekton-results-for-openshift-pipelines-observability; understanding-the-tekton-results-retention-policy; setting-up-openshift-pipelines-to-view-software-supply-chain-security-elements,op-results-concepts.adoc; op-configuring-results.adoc; op-results-log-forward.adoc; op-results-db.adoc; op-configuring-retention-policy-results.adoc; op-results-metrics.adoc; op-querying-results-records-about.adoc; op-prepare-opc-for-results.adoc; op-query-results-name.adoc; op-results-search-results.adoc; op-results-search-records.adoc; op-results-reference-results.adoc; op-results-reference-records.adoc; op-querying-pipelinerun-taskrun-about.adoc; op-results-opc-config.adoc; op-results-opc-pipelinerunlist.adoc; op-results-opc-taskrunlist.adoc; op-results-opc-pipelinerunresults.adoc; op-results-opc-taskrunresults.adoc; op-results-opc-shortnames.adoc; op-fine-grained-retention-policies.adoc; op-setting-up-openshift-pipelines-to-view-project-vulnerabilities.adoc; op-setting-up-openshift-pipelines-to-download-or-view-sboms.adoc,Critical for production observability. Consider adding Prometheus/Grafana integration guidance.
