doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Specifying remote pipelines tasks and step actions using resolvers,"When building CI/CD pipelines, I want to understand how resolvers retrieve remote pipeline and task definitions, so I can reuse existing pipelines and tasks without copying their definitions.",core,Developer,Define,main_job,,"","Configure resolver settings; Specify remote resources using resolvers","Minimize time spent understanding resolver concepts; Reduce duplication of pipeline and task definitions; Ensure ability to reuse pipelines and tasks from multiple sources",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Introduction lines 62-81,Main job covering understanding of resolver concepts. Covers Hub Bundles Git HTTP and Cluster resolvers.
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Specifying a remote pipeline task or step action from a Tekton catalog,"When creating pipelines, I want to fetch pipeline and task definitions from public catalogs like Artifact Hub or Tekton Hub, so I can leverage community-maintained resources without reinventing solutions.",core,Developer,Configure,main_job,,"Understand resolver concepts","Configure hub resolver settings; Specify versioned catalog resources","Minimize time to locate and use catalog resources; Reduce risk of using untested custom implementations; Ensure access to community-maintained pipelines and tasks",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Hub resolver about lines 89-104,Main job for using public catalogs. Note: Tekton Hub is deprecated in favor of Artifact Hub.
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Configuring the hub resolver,"When setting up hub resolver, I want to configure the default catalog and API endpoint, so I can control which hub my pipelines fetch resources from and optionally use self-hosted instances.",core,Platform Administrator,Configure,user_story,Fetch pipeline and task definitions from public catalogs,"Have cluster admin permissions; Access to TektonConfig custom resource","Configure other resolvers; Set up self-hosted Tekton Hub or Artifact Hub","Minimize configuration complexity; Reduce dependency on public hub instances; Ensure team uses approved catalog sources",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Configuring the hub resolver lines 114-161,Covers configuring default-type (artifact or tekton) catalog names and API endpoints. Self-hosted instances require additional configuration.
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Specifying a remote pipeline task or step action using the hub resolver,"When creating pipeline runs or tasks, I want to reference specific catalog resources by name, version, and catalog, so I can use standardized tasks without maintaining local copies.",core,Developer,Execute,user_story,Fetch pipeline and task definitions from public catalogs,"Hub resolver configured; Know resource name and version from catalog","Pass additional task parameters; Handle resource versioning","Minimize YAML complexity in pipeline definitions; Reduce risk of version drift; Ensure reproducible pipeline executions with pinned versions",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Specifying using hub resolver lines 170-338,"Covers pipelineRef taskRef and step.ref with resolver: hub. Includes catalog type kind name and version parameters."
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Specifying a remote pipeline task or step action from a Tekton bundle,"When managing pipeline resources, I want to fetch pipeline and task definitions from OCI bundles stored in container registries, so I can version and distribute resources using existing registry infrastructure.",core,CI/CD Engineer,Configure,main_job,,"Access to OCI-compatible registry; Understanding of OCI image format","Configure bundles resolver; Publish Tekton bundles to registry","Minimize additional infrastructure for resource distribution; Reduce complexity by reusing registry authentication; Ensure resources are versioned alongside container images",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Bundles resolver about lines 347-352,Main job for OCI bundle-based distribution. Bundles are OCI images containing Tekton resources.
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Configuring the bundles resolver,"When setting up bundles resolver, I want to configure the default service account and resource kind, so I can ensure proper registry authentication and default behaviors.",core,Platform Administrator,Configure,user_story,Fetch pipeline and task definitions from OCI bundles,"Have cluster admin permissions; Service account with registry credentials configured","Configure registry pull secrets; Set up image pull policies","Minimize authentication failures; Reduce need to specify service account in every resource; Ensure consistent registry access across pipelines",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Configuring bundles resolver lines 361-392,Covers default-service-account and default-kind configuration in TektonConfig CR.
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Specifying a remote pipeline task or step action using the bundles resolver,"When creating pipeline runs or tasks, I want to reference resources from OCI bundles by fully qualified image name, so I can use privately hosted or organizationally controlled task definitions.",core,Developer,Execute,user_story,Fetch pipeline and task definitions from OCI bundles,"Bundles resolver configured; Service account with registry access; Bundle image published to registry","Manage bundle versions; Handle private registry authentication","Minimize dependency on public catalogs; Reduce risk of using unvetted external resources; Ensure use of organization-approved task definitions",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Specifying using bundles resolver lines 401-546,"Covers bundle name kind and serviceAccount parameters. Examples show PipelineRun Pipeline TaskRun and Task with step references."
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Specifying a remote pipeline task or step action with anonymous Git cloning,"When fetching resources from Git, I want to use anonymous cloning to retrieve pipeline and task definitions from public repositories, so I can use open-source resources without managing credentials.",core,Developer,Configure,main_job,,"Access to public Git repository; Git repository contains YAML pipeline/task definitions","Configure Git resolver for anonymous access; Specify branch and path for resources","Minimize credential management overhead; Reduce complexity for public repository access; Ensure ability to reference specific branches or tags",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Git anonymous about lines 555-560,Main job for anonymous Git access. No authentication required for public repos.
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Configuring the Git resolver for anonymous Git cloning,"When setting up Git resolver for anonymous access, I want to configure default repository URL, revision, and timeout, so I can simplify resource references and control resolution timing.",core,Platform Administrator,Configure,user_story,Fetch resources from Git using anonymous cloning,"Have cluster admin permissions; Access to TektonConfig custom resource","Configure Git resolver for authenticated access; Set global timeout policies","Minimize repetitive URL specification in pipelines; Reduce resolver timeout issues; Ensure consistent default Git repository for team",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Configuring Git resolver anon lines 569-601,"Covers default-revision fetch-timeout and default-url configuration. Global 1-minute max timeout applies."
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Specifying a remote pipeline task or step action by using the Git resolver for anonymous cloning,"When creating pipeline runs or tasks, I want to reference resources from Git repositories by URL, revision, and path, so I can use version-controlled pipeline definitions without local copies.",core,Developer,Execute,user_story,Fetch resources from Git using anonymous cloning,"Git resolver configured; Know repository URL branch/tag and file path","Pin to specific commit SHA; Use branch or tag references","Minimize maintenance of local task copies; Reduce risk of outdated task definitions; Ensure reproducibility by referencing specific commits or tags",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Specifying using Git resolver anon lines 610-756,"Covers url revision (branch/tag/SHA) and pathInRepo parameters. Cannot use url and repo parameters together."
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Specifying a remote pipeline task or step action with an authenticated Git API,"When accessing private Git repositories, I want to use authenticated SCM APIs to fetch pipeline and task definitions, so I can use organization-internal resources securely.",core,CI/CD Engineer,Secure,main_job,,"Access to private Git repository; SCM API token with read permissions","Configure authenticated Git resolver; Manage SCM API tokens securely","Minimize exposure of internal pipeline definitions; Reduce risk of unauthorized access to private resources; Ensure secure credential management for Git access",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Git SCM about lines 765-770,Main job for authenticated Git access. Supports GitHub GitLab Gitea Bitbucket.
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Configuring the Git resolver for an authenticated API,"When setting up authenticated Git access, I want to configure SCM provider, server URL, and API token secret, so I can enable secure access to private repositories.",core,Platform Administrator,Secure,user_story,Access private Git repositories using authenticated SCM APIs,"Have cluster admin permissions; Created secret with SCM API token; Access to TektonConfig custom resource","Configure multiple Git providers; Rotate API tokens","Minimize token exposure risk; Reduce configuration complexity; Ensure support for enterprise Git instances",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Configuring Git resolver SCM lines 779-843,"Covers scm-type server-url api-token-secret-name api-token-secret-key api-token-secret-namespace and default-org. Supports GitHub GitLab Gitea Bitbucket."
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Configuring many Git providers,"When working with multiple Git systems, I want to configure multiple SCM provider configurations with unique keys, so I can access resources from different GitHub, GitLab, or Bitbucket instances.",core,Platform Administrator,Configure,user_story,Access private Git repositories using authenticated SCM APIs,"Multiple Git provider instances; API tokens for each provider; Access to TektonConfig custom resource","Select provider configuration in pipeline runs; Manage provider-specific tokens","Minimize need to reconfigure resolver for different providers; Reduce complexity of multi-provider environments; Ensure ability to use both public and private Git instances",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Configuring many Git providers lines 852-921,"Uses prefix keys (e.g. test1.scm-type) for multiple configs. Cannot use '.' in configKey values. Default config used if no configKey specified."
remote-pipelines-tasks-resolvers-self-managed-reduced.adoc,Specifying a remote pipeline task or step action using the Git resolver with the authenticated SCM API,"When creating pipeline runs or tasks with private resources, I want to reference Git resources by organization, repository, and path using authenticated APIs, so I can use internal task definitions securely.",core,Developer,Execute,user_story,Access private Git repositories using authenticated SCM APIs,"Authenticated Git resolver configured; Access permissions to target repository; Know org repo and file path","Use anonymous Git for public resources; Override resolver configuration per resource","Minimize credential management in pipeline definitions; Reduce risk of credential leakage; Ensure access to private organizational resources",remote-pipelines-tasks-resolvers-self-managed-reduced.adoc -> Specifying using Git resolver SCM lines 931-1094,"Uses org repo revision pathInRepo parameters. Cannot combine url and repo parameters. Uses authenticated API instead of git clone."
