doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
records-combined.adoc,Using Tekton Results for OpenShift Pipelines observability,"When managing pipeline operations at scale, I want to preserve complete execution history beyond the lifecycle of CRs, so I can maintain long-term observability and compliance without resource bloat.",core,Platform Engineer,Observe,main_job,,,Configure retention policies; Query historical pipeline data; Monitor pipeline performance,Minimize storage overhead from keeping live CRs; Ensure complete audit trail is preserved; Enable historical analysis without performance impact,"records-combined.adoc -> Assembly header and abstract, lines 59-66",Core observability job - archives PipelineRun and TaskRun information after CR deletion
records-combined.adoc,Tekton Results concepts,"When working with archived pipeline data, I want to understand how results and records are structured, so I can query the correct resources and interpret the data.",related,Pipeline Admin,Reference,user_story,Preserve complete execution history beyond the lifecycle of CRs,,Query results by name; Search records with CEL,Minimize time to locate specific execution data; Reduce errors from querying wrong resource types; Ensure understanding of result vs record distinction,"records-combined.adoc -> Section 'Tekton Results concepts', lines 74-247","Conceptual understanding - covers results (containers) vs records (individual run data), naming conventions, and data preservation"
records-combined.adoc,Configuring Tekton Results,"When enabling observability for pipelines, I want to ensure Tekton Results is properly configured, so I can capture the data I need without manual intervention.",core,Platform Engineer,Configure,main_job,,Install OpenShift Pipelines,Configure log forwarding; Set up external database; Define retention policies,Minimize configuration complexity; Ensure all required data is captured; Reduce likelihood of misconfiguration,"records-combined.adoc -> Section 'Configuring Tekton Results', lines 256-267",Main configuration job - Tekton Results enabled by default but requires additional configuration for logging
records-combined.adoc,Configuring LokiStack forwarding for logging information,"When I need to query pipeline run logs after CR deletion, I want to configure log forwarding to LokiStack, so I can preserve and retrieve complete execution logs.",core,Platform Engineer,Configure,user_story,Ensure Tekton Results is properly configured,Install LokiStack using Loki Operator; Install OpenShift Logging Operator,Configure ClusterLogForwarder CR; Edit TektonConfig for Loki integration,Ensure logging information is preserved beyond CR lifecycle; Minimize data loss from deleted runs; Enable log queries through Tekton Results API,"records-combined.adoc -> Section 'Configuring LokiStack forwarding', lines 275-398","Critical for log retention - without this, Tekton Results cannot store or retrieve logging information"
records-combined.adoc,Configuring an external database server,"When preparing for production workloads, I want to connect Tekton Results to an external PostgreSQL database, so I can ensure production-grade capabilities like backups and performance tuning.",core,Platform Engineer,Configure,user_story,Ensure Tekton Results is properly configured,Have external PostgreSQL-compatible database available,Create database credentials secret; Configure database connection parameters,Ensure production-grade database reliability; Enable automated backups and lifecycle management; Reduce risk of data loss from default internal instance,"records-combined.adoc -> Section 'Configuring an external database server', lines 406-454","Production requirement - default internal PostgreSQL is for testing only, lacks production features"
records-combined.adoc,Configuring the retention policy for Tekton Results,"When managing storage costs and compliance, I want to configure automated retention policies, so I can remove older results without manual intervention while meeting retention requirements.",core,Platform Engineer,Configure,user_story,Ensure Tekton Results is properly configured,,Monitor storage usage; Define retention requirements,Minimize storage resource consumption; Ensure compliance retention periods are met; Reduce manual cleanup operations,"records-combined.adoc -> Section 'Configuring the retention policy', lines 462-500",Default is indefinite retention - must configure to prevent unlimited storage growth
records-combined.adoc,Observability metrics for Tekton Results,"When monitoring Tekton Results health and performance, I want to track storage latency and deletion metrics, so I can identify performance issues and data loss risks.",core,SRE,Monitor,main_job,,Configure ServiceMonitor for Tekton Results; Have Prometheus Operator deployed,Query metrics with PromQL; Create alerting rules,Minimize time to detect storage failures; Reduce likelihood of undetected data loss; Ensure visibility into deletion timing,"records-combined.adoc -> Section 'Observability metrics for Tekton Results', lines 508-603","Metrics exposed by tekton-results-watcher on port 9090 - covers storage performance, failures, deletion duration and count"
records-combined.adoc,Querying Tekton Results for results and records,"When investigating pipeline execution history, I want to query archived results and records, so I can analyze past runs and troubleshoot issues.",core,Pipeline Admin,Observe,main_job,,Install opc utility (via tkn CLI package); Configure authentication for Tekton Results API,Search with CEL queries; Retrieve YAML manifests; Access log data,Minimize time to locate specific pipeline runs; Ensure complete execution history is accessible; Reduce dependency on live CRs for investigation,"records-combined.adoc -> Section 'Querying Tekton Results for results and records', lines 611-622","Uses opc CLI utility - can query by name, UUID, or CEL expressions"
records-combined.adoc,Preparing the opc utility environment for querying Tekton Results,"When setting up to query Tekton Results, I want to configure the opc utility with API endpoint and authentication, so I can execute queries without repeated credential entry.",consumption,Pipeline Admin,Configure,user_story,Query archived results and records,Install opc utility; Log in to OpenShift cluster,Create authentication token; Configure results.yaml for automation,Minimize authentication friction for queries; Reduce likelihood of authentication errors; Enable automated query workflows,"records-combined.adoc -> Section 'Preparing the opc utility environment', lines 630-683","One-time setup - can use token or service account, optional results.yaml file for automation"
records-combined.adoc,Querying for results and records by name,"When I know the specific pipeline run or result I need, I want to retrieve it by name or UUID, so I can quickly access the full YAML manifest and logs.",core,Pipeline Admin,Observe,user_story,Query archived results and records,Configure opc utility environment; Configure log forwarding to LokiStack (for logs),List results in namespace; List records in result,Minimize time to retrieve specific run data; Ensure complete YAML manifest is accessible; Enable log retrieval after CR deletion,"records-combined.adoc -> Section 'Querying for results and records by name', lines 691-786","Direct lookup by name - format is namespace/results/uuid for results, includes records/uuid for individual records"
records-combined.adoc,Searching for results,"When looking for pipeline runs matching specific criteria, I want to search results using CEL queries, so I can find runs by status, annotations, or other attributes.",core,Pipeline Admin,Observe,user_story,Query archived results and records,Configure opc utility environment,Search for records with CEL; Use CEL reference documentation,Minimize time to find runs matching criteria; Reduce need to inspect individual runs manually; Enable filtering by success/failure status,"records-combined.adoc -> Section 'Searching for results', lines 794-826","CEL queries for results - limited fields compared to records, most relevant info is in records"
records-combined.adoc,Searching for records,"When investigating pipeline behavior patterns, I want to search records using CEL queries on full YAML data, so I can find runs by completion time, labels, task counts, or any manifest field.",core,Pipeline Admin,Observe,user_story,Query archived results and records,Configure opc utility environment,Search for results with CEL; Use CEL reference documentation,"Minimize time to identify runs with specific characteristics; Enable analysis by duration, status, or configuration; Reduce manual inspection of individual records","records-combined.adoc -> Section 'Searching for records', lines 835-903","CEL queries for records - access to full YAML data enables complex queries on metadata, status, completion times, labels, annotations"
records-combined.adoc,Reference information for searching results,"When constructing CEL queries for results, I want to reference available fields and valid values, so I can build correct queries without trial and error.",related,Pipeline Admin,Reference,user_story,Query archived results and records,,Search for results with CEL,Minimize time to construct valid queries; Reduce query errors from invalid field names; Ensure understanding of summary.status values,"records-combined.adoc -> Section 'Reference information for searching results', lines 912-956","Reference for result CEL queries - limited fields: parent, uid, annotations, summary, create_time, update_time"
records-combined.adoc,Reference information for searching records,"When constructing CEL queries for records, I want to reference available fields and data_type values, so I can query the correct resource types and YAML paths.",related,Pipeline Admin,Reference,user_story,Query archived results and records,,Search for records with CEL,Minimize time to construct valid queries; Reduce query errors from invalid field paths; Ensure understanding of data field structure,"records-combined.adoc -> Section 'Reference information for searching records', lines 964-992","Reference for record CEL queries - data field contains full YAML, can access any manifest element"
records-combined.adoc,Querying results and logs by the names of pipeline runs and task runs,"When I prefer to work with run names rather than result UUIDs, I want to query by PipelineRun and TaskRun names, so I can use familiar identifiers from my workflow.",core,Developer,Observe,main_job,,Configure opc utility with results config set,Query by result/record names; List runs by namespace or pipeline,Minimize cognitive overhead of UUID-based queries; Enable queries using familiar run names; Reduce time to find specific runs,"records-combined.adoc -> Section 'Querying results and logs by the names of pipeline runs and task runs', lines 1005-1029","Technology Preview feature - different opc configuration required, uses run names instead of result UUIDs"
records-combined.adoc,Configuring the opc utility for querying results by pipeline run and task run names,"When setting up name-based queries, I want to configure opc with the Tekton Results host and token, so I can query by run names instead of UUIDs.",consumption,Developer,Configure,user_story,Query by PipelineRun and TaskRun names,Install opc utility; Log in to OpenShift cluster,Create authentication token,Minimize configuration complexity; Enable persistent authentication configuration; Reduce friction for name-based queries,"records-combined.adoc -> Section 'Configuring the opc utility for querying results by pipeline run and task run names', lines 1037-1101","Uses 'opc results config set' - different from UUID-based configuration, uses host instead of address"
