doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
install_config,Installing the Red Hat OpenShift Pipelines Operator in web console,"When deploying CI/CD infrastructure, I want to install the OpenShift Pipelines Operator through the web console, so I can enable pipeline functionality across my cluster with minimal setup complexity.",consumption,Cluster administrator,Get Started,main_job,,,Configure TektonConfig profiles; Verify Operator installation; Install in restricted environment,Minimize installation time; Ensure all components are ready automatically; Avoid manual configuration errors; Enable automatic upgrades,"install_config-combined.adoc -> Installing the Red Hat OpenShift Pipelines Operator in web console, lines 74-183",Main installation job covering Operator deployment via UI. Includes automatic TektonConfig CR installation with profile selection (Lite/Basic/All).
install_config,Installing the Red Hat OpenShift Pipelines Operator in web console,"As a Cluster administrator, when I prefer graphical interfaces for cluster management, I want to install the Pipelines Operator using OperatorHub in the web console, so I can visually configure installation options and approval strategies.",consumption,Cluster administrator,Get Started,user_story,Install the OpenShift Pipelines Operator through the web console,,Select update channel; Choose approval strategy,Complete installation without CLI expertise; Ensure visibility into installation progress; Minimize risk of misconfiguration,"install_config-combined.adoc -> Installing the Red Hat OpenShift Pipelines Operator in web console, lines 105-132","UI-based installation path. Alternative to CLI method. Covers namespace selection (all namespaces), approval strategy (Automatic/Manual), and update channel selection."
install_config,Installing the Red Hat OpenShift Pipelines Operator in web console,"As a Cluster administrator, when managing multiple OpenShift versions, I want to select the appropriate update channel for the Pipelines Operator, so I can control which version is installed and when upgrades occur.",consumption,Cluster administrator,Configure,user_story,Install the OpenShift Pipelines Operator through the web console,,Configure automatic approval strategy,Ensure version compatibility with cluster version; Avoid unintended upgrades; Maintain control over upgrade timing,"install_config-combined.adoc -> Installing the Red Hat OpenShift Pipelines Operator in web console, lines 117-125","Channel selection determines version: 'latest' for most recent stable, 'pipelines-<version>' for specific versions. Preview/stable channels deprecated after OCP 4.10."
install_config,Installing the Red Hat OpenShift Pipelines Operator in web console,"When the Operator installation completes, I want to verify that all Tekton components are ready and functional, so I can confirm the installation succeeded before creating pipelines.",consumption,Cluster administrator,Get Started,main_job,,Install the OpenShift Pipelines Operator,Check component versions; Troubleshoot installation issues,Minimize time to validate installation; Ensure all components are ready before use; Detect installation failures early,"install_config-combined.adoc -> Installing the Red Hat OpenShift Pipelines Operator in web console, lines 134-182","Verification job using CLI commands 'oc get tektonconfig config' and 'oc get tektonpipeline,tektontrigger,tektonchain,tektonaddon,pac'. Web console status may show 'Succeeded Up to date' even if components still installing."
install_config,Installing the Red Hat OpenShift Pipelines Operator by using the CLI,"As a Platform engineer, when managing infrastructure as code, I want to install the Pipelines Operator using the CLI with YAML manifests, so I can programmatically deploy pipelines capability and version-control my configuration.",consumption,Platform engineer,Get Started,user_story,Install the OpenShift Pipelines Operator through the web console,,Create Subscription YAML; Configure update channel programmatically,Enable automated installation via CI/CD; Ensure reproducible installations across clusters; Reduce manual installation steps,"install_config-combined.adoc -> Installing the Red Hat OpenShift Pipelines Operator by using the CLI, lines 188-235",CLI-based installation alternative. Creates Subscription object in openshift-operators namespace. Operator automatically installs TektonConfig to openshift-pipelines namespace.
install_config,Red Hat OpenShift Pipelines Operator in a restricted environment,"When operating in a disconnected or air-gapped network environment, I want the Pipelines Operator to automatically configure proxy settings for pipeline components, so I can run pipelines without manual proxy configuration.",consumption,Cluster administrator,Configure,main_job,,Install the OpenShift Pipelines Operator; Configure cluster proxy object,Mirror images to restricted environment; Disable proxy for specific namespaces,Minimize manual proxy configuration; Ensure pipeline containers can access required resources; Avoid proxy-related pipeline failures,"install_config-combined.adoc -> Red Hat OpenShift Pipelines Operator in a restricted environment, lines 240-256",Operator installs proxy webhook that sets environment variables based on cluster proxy object. Proxy disabled by default for openshift-pipelines namespace. Can disable for other namespaces using label 'operator.tekton.dev/disable-proxy: true'.
install_config-combined.adoc,Uninstalling OpenShift Pipelines,"When I need to fully remove OpenShift Pipelines from my cluster, I want to cleanly uninstall all components and custom resources, so I can ensure no residual configuration or resources remain that could interfere with future installations or cluster operations.",consumption,Cluster administrator,Conclude,main_job,,Have cluster administrator permissions; Understand that uninstallation will delete all pipelines and tasks,Back up existing pipelines before uninstallation; Reinstall OpenShift Pipelines if needed,Minimize time required to completely remove all Pipelines components; Ensure no orphaned resources remain after uninstallation; Reduce likelihood of conflicts during future reinstallation; Prevent accidental deletion of important pipeline resources,"install_config-combined.adoc, lines 335-393: Assembly abstract states 'Cluster administrators can uninstall the Pipelines Operator by performing the following steps: Delete the Custom Resources (CRs) for the optional components, TektonHub and TektonResult, if these CRs exist, and then delete the TektonConfig CR. Uninstall the Pipelines Operator. Delete the Custom Resource Definitions (CRDs) of the operator.tekton.dev group.'",Main decommissioning job for the entire Pipelines lifecycle. Requires careful sequencing to avoid orphaned components. Documentation emphasizes the importance of CR deletion before operator removal.
install_config-combined.adoc,Deleting the OpenShift Pipelines custom resources,"As a Cluster administrator, when I need to prepare for Pipelines Operator uninstallation, I want to delete custom resources in the correct order (TektonHub, TektonResult, then TektonConfig), so I can avoid orphaning optional components that cannot be removed later.",consumption,Cluster administrator,Conclude,user_story,"When I need to fully remove OpenShift Pipelines from my cluster, I want to cleanly uninstall all components and custom resources, so I can ensure no residual configuration or resources remain that could interfere with future installations or cluster operations.",Have cluster administrator access to web console; Understand which optional components are installed,Verify no critical pipelines are running; Export pipeline definitions if needed for backup,Ensure optional components are fully removed before operator deletion; Minimize risk of leaving orphaned TektonHub or TektonResult instances; Complete CR deletion with correct sequencing in minimal time,"install_config-combined.adoc, lines 361-392: Procedure states 'You can remove the Pipelines custom resources (CRs) to clean up the configuration before uninstalling the Operator. This involves deleting optional components such as TektonHub and TektonResult, followed by the main TektonConfig CR.' Lines 384-392 include CAUTION: 'Deleting the CRs also deletes the Pipelines components and all the tasks and pipelines on the cluster.' and IMPORTANT: 'If you uninstall the Operator without removing the TektonHub and TektonResult CRs, you cannot remove the Tekton Hub and Tekton Results components later.'",Web console approach for CR deletion. Critical sequencing requirement. Documentation provides strong warnings about consequences of skipping this step.
install_config-combined.adoc,Uninstalling the Red Hat OpenShift Pipelines Operator,"As a Cluster administrator, when I have deleted all custom resources, I want to uninstall the Pipelines Operator through the web console, so I can remove the operator subscription and all operand instances from my cluster.",consumption,Cluster administrator,Conclude,user_story,"When I need to fully remove OpenShift Pipelines from my cluster, I want to cleanly uninstall all components and custom resources, so I can ensure no residual configuration or resources remain that could interfere with future installations or cluster operations.","Delete all custom resources (TektonHub, TektonResult, TektonConfig); Have cluster administrator access",Back up secrets from openshift-pipelines namespace if needed,Remove operator and all operand instances in single operation; Ensure all resources in openshift-pipelines namespace are deleted; Minimize manual cleanup steps after operator removal,"install_config-combined.adoc, lines 402-421: Procedure states 'You can uninstall the Pipelines Operator by using the OCP web console to remove the Pipelines service from your cluster. This process involves deleting the Operator subscription and its associated operand instances.' Lines 416-421 include WARNING: 'When you uninstall the Pipelines Operator, the uninstallation process deletes all resources within the openshift-pipelines target namespace where Pipelines is installed, including the secrets you configured.'",Web console approach using OperatorHub. Requires prior CR deletion. Warning about namespace-wide deletion including secrets highlights need for backup planning.
install_config-combined.adoc,Deleting the custom resource definitions of the operator.tekton.dev group,"As a Cluster administrator, when I have uninstalled the Pipelines Operator, I want to delete all operator.tekton.dev CRDs, so I can ensure complete removal of all Pipelines traces and prevent conflicts with future installations.",consumption,Cluster administrator,Conclude,user_story,"When I need to fully remove OpenShift Pipelines from my cluster, I want to cleanly uninstall all components and custom resources, so I can ensure no residual configuration or resources remain that could interfere with future installations or cluster operations.",Uninstall the Pipelines Operator; Delete all custom resources,Verify no other operators depend on these CRDs,Remove all residual CRD definitions created during installation; Ensure clean slate for potential future Pipelines installation; Minimize time to identify and delete all operator.tekton.dev CRDs,"install_config-combined.adoc, lines 431-449: Procedure states 'You can delete the operator.tekton.dev custom resource definitions (CRDs) to fully remove all Pipelines traces from your cluster. This step ensures that no residual definitions remain after the Operator uninstallation.' Line 437: 'Delete the CustomResourceDefinitions of the operator.tekton.dev group. The Pipelines Operator creates these CRDs by default during installation.'",Final cleanup step. Web console approach using CRD filtering. CRDs are created automatically during installation and must be manually deleted during complete removal.
