id,type,parent_job,job,persona,workflow_stage,complexity,frequency,priority,evidence,tasks,prerequisites,outcomes,pain_points,related_jobs,topics,content_types,doc_identifier,notes
eval-compat-1-20,main_job,,"When planning to upgrade to OpenShift Pipelines 1.20, I want to verify platform compatibility and component versions, so I can ensure my cluster meets the requirements",Platform Administrator,EVALUATE,low,quarterly,must_have,Lines 84-124: Compatibility and support matrix,Review supported OpenShift versions; Check component version matrix; Verify support status (GA/TP),Access to cluster version information,Confirmed compatibility; Identified supported features; Understood tech preview limitations,,,compatibility; versioning; platform-support,reference,op-release-notes-1-20,"Covers OpenShift Pipelines 1.20, 1.21, 1.22 compatibility"
use-fips-mode,main_job,,"When running pipelines in regulated environments, I want to enable FIPS mode for cryptographic operations, so I can meet compliance requirements",Security Engineer,USE,medium,rarely,should_have,Lines 144-147: FIPS mode support,Enable FIPS mode on OpenShift cluster; Configure pipelines to use FIPS-compliant cryptography; Verify FIPS compliance,OpenShift 4.x cluster; Security compliance requirements,FIPS-compliant pipeline execution; Met regulatory requirements,FIPS mode configuration complexity,eval-compat-1-20,security; compliance; fips; cryptography,concept; procedure,op-release-notes-1-20,New feature in 1.20
use-pod-anti-affinity,main_job,,"When deploying pipelines controller in production, I want to configure pod anti-affinity, so I can ensure high availability across nodes",Platform Administrator,USE,medium,monthly,should_have,Lines 149-152: Pod anti-affinity for pipelines-controller,Configure pod anti-affinity rules; Deploy controller across multiple nodes; Verify high availability setup,Multi-node cluster; Understanding of Kubernetes scheduling,High availability controller deployment; Reduced single point of failure risk,,,high-availability; scheduling; controller,procedure; reference,op-release-notes-1-20,New feature in 1.20
use-buildah-ns,main_job,,"When building container images in pipelines without privileged access, I want to use the buildah-ns task, so I can build images securely in rootless mode",CI/CD Engineer,USE,medium,weekly,should_have,Lines 154-157: buildah-ns task for rootless builds,Replace buildah task with buildah-ns; Configure rootless build environment; Test container builds in pipelines,Understanding of rootless containers; Pipeline task knowledge,Secure rootless image builds; Reduced security risk from privileged containers,Migration from privileged buildah task,,container-builds; security; rootless; buildah,procedure; concept,op-release-notes-1-20,New feature in 1.20
use-sno-support,main_job,,"When deploying pipelines on single-node OpenShift, I want verified support, so I can run CI/CD workloads on edge/resource-constrained environments",Platform Administrator,EVALUATE,low,rarely,nice_to_have,Lines 159-162: Single-node OpenShift support,Verify single-node OpenShift compatibility; Deploy pipelines operator on SNO; Test pipeline execution,Single-node OpenShift cluster,Confirmed SNO support; Enabled edge CI/CD scenarios,Resource constraints on single-node,eval-compat-1-20,single-node; edge-computing; resource-optimization,reference,op-release-notes-1-20,New feature in 1.20
use-operator-enhancements,main_job,,"When managing pipelines operator, I want to understand new configuration options and status conditions, so I can monitor and configure the operator effectively",Platform Administrator,USE,medium,monthly,should_have,Lines 164-192: Operator enhancements,Review new TektonConfig options; Configure pipeline and trigger settings; Monitor operator status conditions; Use new performance tuning options,Operator management experience; Access to TektonConfig CR,Optimized operator configuration; Better monitoring of operator state; Improved performance tuning,,,operator; configuration; monitoring; performance,reference; procedure,op-release-notes-1-20,"Includes default-cloud-events-sink, default-task-run-workspace-binding, performance settings"
use-pruner-cron,main_job,,"When managing pipeline resources at scale, I want to configure automated pruning with cron schedules, so I can maintain cluster health without manual intervention",Platform Administrator,OPTIMIZE,medium,monthly,should_have,Lines 194-212: Pruner enhancements with cron support,Configure pruner cron schedules; Set retention policies for TaskRuns and PipelineRuns; Monitor pruner job execution; Adjust schedule based on cluster load,Understanding of cron syntax; Cluster resource monitoring,Automated resource cleanup; Reduced manual maintenance effort; Optimized cluster resource usage,Determining optimal pruning schedule,,resource-management; automation; pruner; cron,procedure; reference,op-release-notes-1-20,New cron-based scheduling for pruner
use-triggers-interceptors,main_job,,"When processing webhook events, I want to use core interceptors for filtering and transformation, so I can route events to appropriate pipelines",CI/CD Engineer,USE,medium,weekly,should_have,Lines 214-222: Triggers core interceptors,Configure CEL interceptor for event filtering; Set up GitHub interceptor for webhook processing; Use GitLab interceptor for GitLab events; Configure Bitbucket interceptor,Understanding of webhook payloads; EventListener configuration knowledge,Accurate event routing; Reduced unnecessary pipeline runs; Improved pipeline trigger accuracy,,,triggers; webhooks; interceptors; event-processing,procedure; reference,op-release-notes-1-20,"Core interceptors: CEL, GitHub, GitLab, Bitbucket"
use-results-api,main_job,,"When analyzing pipeline execution history, I want to query results through the API, so I can build custom dashboards and reports",DevOps Engineer,OPTIMIZE,high,weekly,should_have,Lines 224-232: Tekton Results API enhancements,Query results API for TaskRun and PipelineRun data; Filter results by labels and time ranges; Build custom dashboards; Implement result retention policies,API client knowledge; Understanding of Tekton results data model,Custom pipeline analytics; Historical execution insights; Data-driven pipeline optimization,Complex API queries; Result data volume management,use-operator-enhancements,results; api; analytics; observability,reference; procedure,op-release-notes-1-20,Enhanced API for results querying
use-pac-cel-expressions,main_job,,"When configuring Pipelines as Code, I want to use CEL expressions for dynamic configurations, so I can create flexible event-driven workflows",CI/CD Engineer,USE,high,weekly,should_have,Lines 234-247: PAC CEL expression support,Write CEL expressions for event filtering; Configure dynamic parameter resolution; Test CEL expressions with webhook events; Debug CEL evaluation errors,Understanding of CEL syntax; PAC configuration knowledge; Webhook event structure knowledge,Dynamic pipeline configurations; Reduced pipeline duplication; More flexible event handling,CEL syntax learning curve; Debugging CEL expressions,use-triggers-interceptors,pipelines-as-code; cel; expressions; event-driven,concept; procedure; reference,op-release-notes-1-20,Major enhancement for PAC flexibility
use-pac-bitbucket-support,main_job,,"When using Bitbucket for source control, I want Pipelines as Code to support Bitbucket webhooks, so I can automate CI/CD from Bitbucket repositories",CI/CD Engineer,USE,medium,monthly,should_have,Lines 249-252: PAC Bitbucket Server and Cloud support,Configure Bitbucket webhook in PAC; Set up repository connection; Test pipeline triggers from Bitbucket events; Handle Bitbucket-specific event payloads,Bitbucket Server or Cloud access; PAC operator installed; Webhook configuration permissions,Automated CI/CD from Bitbucket; Multi-SCM support; Unified pipeline experience,,use-pac-cel-expressions,pipelines-as-code; bitbucket; source-control; webhooks,procedure,op-release-notes-1-20,Extends PAC to Bitbucket platforms
use-pac-gitlab-features,main_job,,"When using GitLab with Pipelines as Code, I want support for merge request comments and manual approvals, so I can control pipeline execution through GitLab workflows",CI/CD Engineer,USE,medium,weekly,should_have,Lines 254-262: PAC GitLab enhancements,Configure merge request comment triggers; Set up manual approval workflows; Test comment-based pipeline triggering; Implement approval gates,GitLab repository access; PAC GitLab integration configured; Merge request workflow knowledge,GitLab-native pipeline controls; Improved collaboration in merge requests; Flexible approval processes,,use-pac-bitbucket-support,pipelines-as-code; gitlab; merge-requests; approvals,procedure; concept,op-release-notes-1-20,GitLab-specific PAC features
use-pac-github-apps,main_job,,"When configuring GitHub integration, I want to use GitHub Apps for authentication, so I can have fine-grained permissions and better security",CI/CD Engineer,USE,medium,monthly,should_have,Lines 264-267: PAC GitHub App support,Create GitHub App for PAC; Configure app permissions; Install app in repositories; Test webhook delivery through app,GitHub organization admin access; Understanding of GitHub Apps model,Improved security with GitHub Apps; Fine-grained repository permissions; Better audit trail,GitHub App creation and setup complexity,use-pac-cel-expressions,pipelines-as-code; github; authentication; security,procedure,op-release-notes-1-20,Recommended over OAuth apps
use-pac-concurrency,main_job,,"When managing multiple pipeline runs from rapid commits, I want to control concurrency, so I can optimize resource usage and pipeline throughput",CI/CD Engineer,OPTIMIZE,medium,weekly,should_have,Lines 269-277: PAC concurrency control,"Configure max-concurrent-runs limit; Set concurrency strategy (newest-first, oldest-first); Monitor pipeline queue behavior; Adjust limits based on cluster capacity",Understanding of pipeline resource requirements; PAC configuration access,Optimized cluster resource usage; Reduced pipeline queue times; Better handling of rapid commits,Determining optimal concurrency limits,use-pruner-cron,pipelines-as-code; concurrency; resource-management; performance,procedure; reference,op-release-notes-1-20,max-concurrent-runs annotation
use-pac-secret-management,main_job,,"When injecting secrets into pipeline runs, I want to use PAC secret injection features, so I can securely provide credentials without exposing them in code",Security Engineer,USE,medium,weekly,must_have,Lines 279-287: PAC secret injection,Configure secret annotation in PAC; Map secrets to pipeline parameters; Verify secret injection in TaskRuns; Audit secret access patterns,Kubernetes secret management; PAC configuration knowledge; Security best practices,Secure credential management; No secrets in source code; Controlled secret access,,use-fips-mode,pipelines-as-code; secrets; security; credentials,procedure; reference,op-release-notes-1-20,Secret injection via annotations
migrate-hub-deprecation,main_job,,"When Tekton Hub is deprecated, I want to migrate to alternative task catalogs, so I can continue using community tasks in my pipelines",CI/CD Engineer,MIGRATE,high,rarely,must_have,Lines 296-302: Tekton Hub deprecation,Identify pipelines using Tekton Hub tasks; Migrate to git-based task references; Update task bundles to OCI registries; Test migrated pipelines; Remove Tekton Hub dependencies,Inventory of Hub-dependent pipelines; Understanding of task bundle format,Removed Tekton Hub dependency; Migrated to supported task sources; Future-proof pipeline definitions,Large number of pipelines to migrate; Finding equivalent tasks in new catalogs,,migration; tekton-hub; deprecation; task-catalog,procedure; concept,op-release-notes-1-20,Breaking change - Hub deprecated in 1.20
migrate-metrics-changes,main_job,,"When metrics names change in 1.20, I want to update my monitoring dashboards and alerts, so I can continue tracking pipeline performance",Platform Administrator,MIGRATE,medium,rarely,must_have,Lines 304-317: Metrics changes (renamed/removed),Identify dashboards using old metrics; Update Prometheus queries with new metric names; Remove references to deprecated metrics; Test updated dashboards; Update alerting rules,Access to monitoring configuration; Understanding of Prometheus metrics; List of affected metrics,Updated monitoring dashboards; Accurate pipeline metrics; No broken alerts,Finding all metric references across tools,,metrics; monitoring; observability; migration,reference; procedure,op-release-notes-1-20,Breaking change - metrics renamed/removed
migrate-pac-config-changes,main_job,,"When PAC configuration options change, I want to update my configurations to use new settings, so I can avoid deprecated options and use supported features",CI/CD Engineer,MIGRATE,medium,rarely,should_have,Lines 319-342: PAC configuration changes,Review current PAC configurations; Replace deprecated settings with new equivalents; Update annotation syntax where changed; Test configurations in dev environment; Roll out to production,Access to PAC configurations; Understanding of PAC configuration model,Modernized PAC configurations; Removed deprecated settings; Improved maintainability,Multiple configuration locations to update,use-pac-cel-expressions,pipelines-as-code; configuration; migration,reference; procedure,op-release-notes-1-20,Breaking changes in PAC config options
troubleshoot-pruner-issues,main_job,,"When encountering pruner failures, I want to understand known issues and workarounds, so I can maintain automated resource cleanup",Platform Administrator,TROUBLESHOOT,medium,monthly,should_have,Lines 345-348: Pruner known issues,Check pruner job logs; Verify pruner configuration; Apply documented workarounds; Monitor pruner execution,Access to operator logs; Pruner configuration knowledge,Resolved pruner issues; Continued automated cleanup; Reduced manual intervention,Pruner failures causing resource buildup,use-pruner-cron,troubleshooting; pruner; known-issues,reference,op-release-notes-1-20,Known issue in 1.20
troubleshoot-cli-issues,main_job,,"When tkn CLI commands fail, I want to identify known issues, so I can use workarounds or alternative approaches",DevOps Engineer,TROUBLESHOOT,low,weekly,should_have,Lines 350-353: CLI known issues,Check CLI version; Review command syntax against known issues; Apply workarounds for known bugs; Report new issues if not documented,tkn CLI installed; Access to documentation,Successful CLI operations; Workarounds for known bugs; Avoided blocked workflows,CLI bugs blocking operations,,troubleshooting; cli; tkn; known-issues,reference,op-release-notes-1-20,Known CLI issues in 1.20
troubleshoot-cache-issues,main_job,,"When pipeline caching behaves unexpectedly, I want to understand known cache issues, so I can optimize build performance",CI/CD Engineer,TROUBLESHOOT,medium,monthly,should_have,Lines 355-358: Cache known issues,Verify cache configuration; Check for known cache bugs; Implement cache workarounds; Monitor cache hit rates,Pipeline cache configuration; Understanding of Tekton caching,Improved cache reliability; Better build performance; Understood cache limitations,Unreliable cache behavior,,troubleshooting; caching; performance; known-issues,reference,op-release-notes-1-20,Known cache issues in 1.20
troubleshoot-chains-issues,main_job,,"When Tekton Chains fails to generate attestations, I want to identify known issues, so I can ensure supply chain security",Security Engineer,TROUBLESHOOT,high,monthly,must_have,Lines 360: Chains known issues,Verify Chains configuration; Check attestation generation logs; Apply workarounds for known issues; Validate attestation signatures,Chains operator installed; Understanding of software supply chain security,Reliable attestation generation; Verified supply chain security; Resolved Chains issues,Missing or invalid attestations,use-fips-mode,troubleshooting; chains; attestations; supply-chain-security; known-issues,reference,op-release-notes-1-20,Known Chains issues in 1.20
eval-fixed-issues,main_job,,"When upgrading to OpenShift Pipelines 1.20, I want to review fixed issues, so I can understand what problems are resolved in this release",Platform Administrator,EVALUATE,low,quarterly,should_have,Lines 361-448: Fixed issues section,Review fixed issue list; Match fixed issues to experienced problems; Verify fixes in test environment; Plan upgrade to benefit from fixes,Knowledge of current environment issues; Access to release notes,Understanding of resolved problems; Confidence in upgrade decision; Validated bug fixes,,eval-compat-1-20,fixed-issues; bug-fixes; release-evaluation,reference,op-release-notes-1-20,"Covers Pipelines, PAC, CLI, Triggers fixes"
eval-pac-fixes,main_job,,"When experiencing Pipelines as Code issues, I want to review fixed PAC bugs, so I can determine if upgrading will resolve my problems",CI/CD Engineer,EVALUATE,low,monthly,should_have,Lines 380-427: PAC fixed issues,Review list of fixed PAC issues; Match to current PAC problems; Test fixes in dev environment; Plan PAC upgrade,Current PAC version info; Knowledge of PAC issues in environment,Identified relevant fixes; Validated bug resolution; Informed upgrade decision,,eval-fixed-issues,pipelines-as-code; fixed-issues; bug-fixes,reference,op-release-notes-1-20,Detailed PAC bug fixes in 1.20
plan-deprecated-features,main_job,,"When planning long-term pipeline strategy, I want to identify deprecated features, so I can plan migrations before features are removed",CI/CD Engineer,PLAN,medium,quarterly,should_have,Lines 450-456: Deprecated and removed features,Review deprecated feature list; Identify usage of deprecated features in current pipelines; Plan migration timeline; Test alternative approaches,Inventory of current pipeline configurations; Understanding of deprecation timeline,Migration plan for deprecated features; Avoided future breaking changes; Proactive feature adoption,Short deprecation windows; Large migration effort,migrate-hub-deprecation,deprecation; planning; migration; lifecycle,reference,op-release-notes-1-20,Includes Tekton Hub and other deprecations
use-pipeline-rbac-fixes,user_story,eval-fixed-issues,"When delegating pipeline management, I want proper RBAC enforcement, so I can control who can view and modify pipelines",Platform Administrator,USE,low,weekly,must_have,Lines 363-365: PIPELDEPLOY-2063 RBAC fix,Configure pipeline RBAC roles; Test permission boundaries; Verify non-admin users cannot access restricted pipelines,Kubernetes RBAC knowledge,Proper access control; Prevented unauthorized pipeline access,,eval-fixed-issues,rbac; security; access-control,reference,op-release-notes-1-20,Fixed: Non-admin users could view unauthorized pipelines
use-pipelinerun-timeout,user_story,eval-fixed-issues,"When setting pipeline timeouts, I want accurate timeout enforcement, so I can prevent runaway pipelines",CI/CD Engineer,USE,low,weekly,should_have,Lines 367-370: PIPELDEPLOY-2198 timeout fix,Set PipelineRun timeouts; Verify timeout enforcement; Monitor long-running pipelines,Understanding of pipeline execution times,Accurate timeout behavior; Prevented resource waste from runaway pipelines,,eval-fixed-issues,timeouts; resource-management; pipelines,reference,op-release-notes-1-20,Fixed: Tasks/finally sections not timing out correctly
use-pac-status-reporting,user_story,eval-pac-fixes,"When using PAC with GitHub, I want accurate status reporting, so I can see pipeline results in pull requests",Developer,USE,low,daily,must_have,Lines 382-385: PAC GitHub status reporting fixes,Trigger pipeline from PR; Verify status appears in GitHub; Check status accuracy,PAC GitHub integration configured,Accurate PR status updates; Improved developer experience,,eval-pac-fixes,pipelines-as-code; github; status-reporting; pull-requests,reference,op-release-notes-1-20,Fixed: Status not reported or reported incorrectly
use-pac-gitlab-integration,user_story,eval-pac-fixes,"When using PAC with GitLab, I want reliable webhook processing, so I can automate CI/CD from GitLab events",CI/CD Engineer,USE,medium,weekly,should_have,Lines 395-410: PAC GitLab fixes,Configure GitLab webhooks; Test MR and push events; Verify pipeline triggering,GitLab integration configured; Webhook access,Reliable GitLab event processing; Automated pipeline execution,,eval-pac-fixes; use-pac-gitlab-features,pipelines-as-code; gitlab; webhooks,reference,op-release-notes-1-20,Fixed: Multiple GitLab webhook and MR issues
use-tkn-cli-commands,user_story,eval-fixed-issues,"When managing pipelines via CLI, I want reliable command execution, so I can operate pipelines efficiently",DevOps Engineer,USE,low,daily,should_have,Lines 429-440: CLI command fixes,Use tkn commands for pipeline operations; Verify command output accuracy; Automate with CLI scripts,tkn CLI installed,Reliable CLI operations; Accurate command output; Improved automation,,eval-fixed-issues; troubleshoot-cli-issues,cli; tkn; automation,reference,op-release-notes-1-20,Fixed: Various CLI command bugs
use-triggers-filtering,user_story,eval-fixed-issues,"When filtering webhook events, I want accurate trigger filtering, so I can execute pipelines only for relevant events",CI/CD Engineer,USE,medium,weekly,should_have,Lines 442-448: Triggers fixes,Configure EventListener filters; Test event matching logic; Verify pipeline triggering accuracy,EventListener configuration knowledge,Accurate event filtering; Reduced unnecessary pipeline runs; Improved resource efficiency,,eval-fixed-issues; use-triggers-interceptors,triggers; event-filtering; webhooks,reference,op-release-notes-1-20,Fixed: Trigger filtering and interceptor issues
