doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
using-repository-crd,Creating the Repository custom resource,"When I need to enable Pipelines as Code for my source repository, I want to create a Repository CR that matches events from my Git repository, so I can automate pipeline runs triggered by repository events.",core,Platform engineer,Configure,main_job,,Have namespace created for pipeline runs; Have access to create CRs in the target namespace,Configure Git provider credentials; Define pipeline runs in .tekton directory,Minimize time to enable automated pipeline runs; Ensure events from repository are correctly matched; Reduce likelihood of pipeline runs executing in wrong namespace,"using-repository-crd-self-managed-reduced.adoc -> Creating the Repository custom resource (module: op-creating-repository-cr.adoc), lines 76-104. Key content: 'You can use the tkn pac CLI or other alternative methods to create a Repository custom resource (CR) inside the target namespace... Whenever an event comes from a URL such as https://github.com/<repository>/<project>, {pac} matches it and checks out the repository content.'",Main job covering Repository CR creation. Multiple approaches possible (tkn pac CLI or other methods). Includes important security constraint about namespace targeting.
using-repository-crd,Creating the Repository custom resource,"As a Platform Engineer, when I need to create a Repository CR, I want to use the tkn pac CLI or kubectl to define the repository URL and namespace, so I can quickly connect my Git repository to Pipelines as Code.",core,Platform engineer,Configure,user_story,Create a Repository CR that matches events from my Git repository,Have kubectl or tkn pac CLI installed; Have target namespace created,,Complete Repository CR creation in under 5 minutes; Avoid syntax errors in CR definition,"using-repository-crd-self-managed-reduced.adoc -> Creating the Repository custom resource (module: op-creating-repository-cr.adoc), lines 80-96. Shows example: 'cat <<EOF|kubectl create -n my-pipeline-ci -f-' with Repository CR spec including url field.",User story showing CLI-based approach to creating Repository CR. Example shows kubectl but mentions tkn pac as alternative.
using-repository-crd,Creating the Repository custom resource,"When multiple Repository CRs could match the same Git repository event, I want to use explicit namespace targeting annotations, so I can prevent unauthorized pipeline runs in namespaces where I don't have access.",core,Platform engineer,Secure,user_story,Create a Repository CR that matches events from my Git repository,Understand Repository CR matching behavior; Have Repository CR created,Configure RBAC for pipeline namespaces,Eliminate risk of malicious actors executing pipelines in unauthorized namespaces; Ensure only intended namespace processes repository events,"using-repository-crd-self-managed-reduced.adoc -> Creating the Repository custom resource (module: op-creating-repository-cr.adoc), lines 98-103. States: 'If many Repository CRs match the same event, {pac} processes only the oldest one. If you need to match a specific namespace, add the pipelinesascode.tekton.dev/target-namespace annotation. Such explicit targeting prevents a malicious actor from executing a pipeline run in a namespace to which they do not have access.'",Security-focused user story addressing namespace isolation. Important for multi-tenant scenarios.
using-repository-crd,Creating the global Repository custom resource,"When I manage multiple repositories with common settings, I want to create a global Repository CR with shared configuration, so I can avoid repeating the same settings across multiple repository-specific CRs.",core,Cluster administrator,Configure,main_job,,"Have administrator access to openshift-pipelines namespace; Have common settings identified (secrets, git provider config)",Create repository-specific Repository CRs; Manage Git provider secrets,Minimize time to configure new repositories; Reduce likelihood of configuration inconsistencies across repositories; Ensure centralized management of common settings,"using-repository-crd-self-managed-reduced.adoc -> Creating the global Repository custom resource (module: op-creating-global-repository-cr.adoc), lines 113-164. States: 'Optionally, you can create a global Repository custom resource (CR) in the namespace where you installed {pipelines-shortname}, normally openshift-pipelines. If you create this CR, the settings that you specify in it apply by default to all Repository CRs that you create.' Example shows gitlab-webhook-config secrets shared across all repositories.",Technology Preview feature. Main job for centralized configuration management across multiple repositories.
using-repository-crd,Creating the global Repository custom resource,"As a Cluster Administrator, when I need to set default Git provider credentials, I want to create a global Repository CR named pipelines-as-code in the openshift-pipelines namespace, so I can provide common secrets to all repository CRs.",core,Cluster administrator,Configure,user_story,Create a global Repository CR with shared configuration,Have administrator access to openshift-pipelines namespace; Have Git provider secrets created; Be logged into OpenShift cluster with oc CLI,Create webhook secrets for Git providers,Complete global configuration in single operation; Ensure all repository CRs inherit common settings automatically,"using-repository-crd-self-managed-reduced.adoc -> Creating the global Repository custom resource (module: op-creating-global-repository-cr.adoc), lines 134-164. Shows procedure with command: 'cat <<EOF|oc create -n openshift-pipelines -f -' with Repository CR named 'pipelines-as-code' containing git_provider secrets. Example states 'all Repository CRs that you create include the common secrets for accessing your GitLab repositories.'",User story showing specific implementation of global Repository CR. Example uses GitLab but pattern applies to other Git providers.
using-repository-crd,Setting concurrency limits,"When I need to control resource usage for pipeline runs, I want to set concurrency limits on a Repository CR, so I can prevent too many pipeline runs from executing simultaneously and overwhelming cluster resources.",core,Platform engineer,Configure,main_job,,Have Repository CR created; Understand resource capacity of cluster,Monitor pipeline run resource consumption; Configure resource quotas for namespace,Minimize risk of resource exhaustion from concurrent pipeline runs; Ensure predictable pipeline run execution order; Reduce likelihood of pipeline failures due to resource contention,"using-repository-crd-self-managed-reduced.adoc -> Setting concurrency limits (module: op-setting-concurrency-limits-in-repository-crd.adoc), lines 173-196. States: 'You can use the concurrency_limit spec in the Repository custom resource definition (CRD) to define the maximum number of pipeline runs running simultaneously for a repository.' Example shows concurrency_limit field with behavior: 'If there are many pipeline runs matching an event, the pipeline runs that match the event start in an alphabetical order.'",Main job for controlling pipeline run concurrency. Important for resource management and preventing cluster overload.
using-repository-crd,Setting concurrency limits,"As a Platform Engineer, when multiple pipeline runs match a single event, I want to set concurrency_limit in the Repository CR spec, so I can ensure only a specified number run simultaneously while others queue in alphabetical order.",core,Platform engineer,Configure,user_story,Set concurrency limits on a Repository CR,Have Repository CR created; Have multiple pipeline runs defined in .tekton directory,,Complete concurrency configuration by adding single field; Ensure deterministic execution order for queued pipeline runs,"using-repository-crd-self-managed-reduced.adoc -> Setting concurrency limits (module: op-setting-concurrency-limits-in-repository-crd.adoc), lines 179-196. Shows spec example with 'concurrency_limit: <number>' field. Explains: 'if you have three pipeline runs in the .tekton directory and you create a pull request with a concurrency_limit of 1, then {pac} executes all the pipeline runs in alphabetical order. At any given time, only one pipeline run is in the running state. The system queues the rest.'",User story showing YAML configuration approach. Alphabetical ordering provides deterministic behavior.
using-repository-crd,Changing the source branch for the pipeline definition,"When I need to enforce pipeline definition review before execution, I want to configure the Repository CR to fetch pipeline definitions from the default branch, so I can ensure all pipeline changes are reviewed and merged before they can execute.",core,Platform engineer,Secure,main_job,,Have Repository CR created; Have default branch defined in Git repository; Have merge review process established,Configure branch protection rules; Review and merge pipeline definition changes,Eliminate risk of unreviewed pipeline definitions executing; Ensure pipeline changes undergo merge review process; Minimize likelihood of malicious pipeline runs from untrusted pull requests,"using-repository-crd-self-managed-reduced.adoc -> Changing the source branch for the pipeline definition (module: op-changing-source-branch-in-repository-crd.adoc), lines 205-229. States: 'By default, {pac} fetches the pipeline definition from the branch that triggered the event. To fetch the definition from the default branch instead (such as main, master, or trunk), set pipelinerun_provenance in the Repository custom resource definition (CRD).' Note explains: 'Use this setting as a security precaution... you must merge the pipeline definition into the default branch before {pac} runs it. This ensures that merge reviews verify all changes.'",Main job focused on security through enforced review process. Important security control for preventing malicious pipeline runs.
using-repository-crd,Changing the source branch for the pipeline definition,"As a Platform Engineer, when I want to prevent unreviewed pipeline definitions from executing, I want to set pipelinerun_provenance to default_branch in the Repository CR settings, so I can force all pipelines to use reviewed definitions from the default branch.",core,Platform engineer,Secure,user_story,Configure the Repository CR to fetch pipeline definitions from the default branch,Have Repository CR created; Have default branch protection configured,Merge pipeline definition changes to default branch,Complete security configuration by setting single field; Ensure 100% of pipeline runs use reviewed definitions,"using-repository-crd-self-managed-reduced.adoc -> Changing the source branch for the pipeline definition (module: op-changing-source-branch-in-repository-crd.adoc), lines 211-223. Shows YAML example with 'settings: pipelinerun_provenance: default_branch' configuration. Note states this is 'a security precaution' ensuring 'merge reviews verify all changes.'",User story showing configuration approach for security control. Prevents pipeline definition injection via pull requests.
using-repository-crd,Custom parameter expansion,"When I need to manage pipeline parameters centrally without modifying pipeline runs in Git, I want to define custom parameters in the Repository CR, so I can control values like registry URLs or account identifiers from the Repository CR location.",core,Platform engineer,Configure,main_job,,Have Repository CR created; Have pipeline runs using custom parameters; Understand difference between Tekton parameters and custom parameters,Define pipeline runs with parameter placeholders; Manage parameter values in Repository CR,Minimize need to modify pipeline runs in Git for environment-specific values; Ensure centralized control of administrator-managed parameters; Reduce likelihood of hardcoded environment-specific values in pipeline definitions,"using-repository-crd-self-managed-reduced.adoc -> Custom parameter expansion (module: op-custom-parameter-expansion.adoc), lines 237-306. States: 'You can use {pac} to expand a custom parameter within your PipelineRun resource by using the params field. You can specify a value for the custom parameter inside the template of the Repository custom resource (CR). The specified value replaces the custom parameter in your pipeline run.' Use cases include: 'To define a URL parameter, such as a registry URL that varies based on a push or a pull request. To define a parameter, such as an account UUID that an administrator can manage without necessitating changes to the PipelineRun execution in the Git repository.'","Main job for centralized parameter management. Note warns this is complementary to Tekton parameters, not a replacement. Custom parameters enable admin-controlled values separate from developer-controlled pipeline definitions."
