job_number,source_book,book_title,job_statement,job_type,persona,job_map_stage,granularity,prerequisites,related_jobs,desired_outcomes,section,evidence,notes,doc
1,release_notes,Release notes,"When planning to upgrade OpenShift Pipelines, I want to verify my cluster version is supported, so I can avoid compatibility issues and ensure successful deployment.",core,Platform administrator,Plan,main_job,,Review breaking changes before upgrade | Assess technology preview features | Check component version compatibility,Minimize risk of upgrade failure | Ensure all pipeline components are supported on my cluster version | Understand which features are GA vs Technology Preview,Compatibility and support matrix,"release_notes-combined.adoc -> Compatibility and support matrix, lines 85-124",Main job for pre-upgrade compatibility verification,release_notes-combined.adoc
2,release_notes,Release notes,"When planning to adopt a new Pipelines release, I want to evaluate new Pipelines features and enhancements, so I can identify improvements that benefit my CI/CD workflows.",core,Pipeline developer,Evaluate,main_job,,Assess impact on existing pipelines | Test new features in non-production,Improve pipeline performance and reliability | Reduce pipeline execution time | Enhance security posture of pipelines,New features and enhancements - Pipelines,"release_notes-combined.adoc -> New features and enhancements - Pipelines, lines 145-198",Main job for feature adoption evaluation,release_notes-combined.adoc
3,release_notes,Release notes,"When exploring Technology Preview features, I want to understand multi-cluster capabilities, so I can assess readiness for distributed pipeline architectures.",core,Platform administrator,Evaluate,main_job,,Review production readiness criteria | Plan proof-of-concept testing,Understand multi-cluster architecture options | Assess benefits and risks of Technology Preview features | Plan for future production adoption,Technology Preview features - Multi-cluster,"release_notes-combined.adoc -> Technology Preview features, lines 313-357",Main job for evaluating experimental features,release_notes-combined.adoc
4,release_notes,Release notes,"When planning an upgrade, I want to identify breaking changes, so I can prepare migration steps and avoid disruption to existing pipelines.",core,Platform administrator,Plan,main_job,,Review deprecated features | Test upgrade in non-production | Communicate changes to development teams,Prevent pipeline failures after upgrade | Minimize downtime during upgrade | Plan necessary configuration changes,Breaking changes,"release_notes-combined.adoc -> Breaking changes, lines 359-368",Critical for upgrade planning,release_notes-combined.adoc
5,release_notes,Release notes,"When assessing release risks, I want to review known issues and workarounds, so I can determine if issues affect my use cases and plan mitigation.",core,Platform administrator,Troubleshoot,main_job,,Subscribe to issue tracker for updates | Test affected scenarios in staging,Understand risks before upgrading | Prepare workarounds for known issues | Make informed go/no-go upgrade decision,Known issues,"release_notes-combined.adoc -> Known issues, lines 370-399",Main job for risk assessment,release_notes-combined.adoc
6,release_notes,Release notes,"When evaluating an upgrade, I want to review fixed issues, so I can determine if the release resolves problems affecting my pipelines.",core,Platform administrator,Evaluate,main_job,,Cross-reference with internal issue tracker | Validate fixes in test environment,Confirm known problems are resolved | Identify fixes that improve pipeline reliability | Justify upgrade to stakeholders,Fixed issues,"release_notes-combined.adoc -> Fixed issues, lines 401-591",Main job for understanding release improvements,release_notes-combined.adoc
7,release_notes,Release notes,"When planning for future upgrades, I want to understand deprecated features, so I can plan migration away from features scheduled for removal.",core,Platform administrator,Plan,main_job,,Inventory usage of deprecated features | Schedule migration work,Avoid breaking changes in future releases | Plan orderly migration timeline | Communicate deprecations to development teams,Deprecated features,"release_notes-combined.adoc -> Deprecated features, lines 594-605",Main job for deprecation awareness,release_notes-combined.adoc
8,release_notes,Release notes,"When upgrading from previous releases, I want to understand removed features, so I can identify and remediate breaking configuration changes.",core,Platform administrator,Upgrade,main_job,,Audit existing configurations for removed features | Test upgrade in non-production,Prevent configuration errors after upgrade | Successfully migrate away from removed features,Removed features,"release_notes-combined.adoc -> Removed features, lines 607-619",Critical for upgrade execution,release_notes-combined.adoc
9,about,About OpenShift Pipelines,"When evaluating CI/CD solutions for Kubernetes-based applications, I want to understand what OpenShift Pipelines is and its cloud-native approach, so I can determine if it fits my automation needs.",core,Platform engineer,Get Started,main_job,,Understand OpenShift Pipelines concepts | Understand key features,Minimize time to evaluate CI/CD options | Ensure the solution is cloud-native and Kubernetes-compatible | Reduce uncertainty about portability across Kubernetes distributions,About OpenShift Pipelines,"about-combined.adoc -> About OpenShift Pipelines, lines 58-79",Entry-level main job covering initial understanding of the product. This is the 'what is it' question for platform evaluators.,about-combined.adoc
10,about,About OpenShift Pipelines,"When learning about OpenShift Pipelines, I want to understand the core concepts including tasks, pipelines, workspaces, triggers, and their relationships, so I can design effective CI/CD workflows.",core,DevOps engineer,Get Started,main_job,Understand what OpenShift Pipelines is,Understand tasks | Understand pipelines | Understand workspaces | Understand triggers,Minimize time to become productive with OpenShift Pipelines | Ensure I understand the building blocks before creating workflows | Reduce errors from misunderstanding core concepts,OpenShift Pipelines concepts,"about-combined.adoc -> OpenShift Pipelines concepts, lines 124-129",Main job covering conceptual understanding needed to work effectively with the platform. This is the foundation for all other work.,about-combined.adoc
11,about,About OpenShift Pipelines,"When implementing automated CI/CD workflows, I want to understand how Triggers capture external events and automatically instantiate pipeline runs, so I can create event-driven automation for my applications.",core,DevOps engineer,Get Started,main_job,Understand pipelines | Understand pipeline runs,Understand TriggerBinding | Understand TriggerTemplate | Understand EventListener,Minimize manual intervention by automating pipeline execution | Ensure pipelines start automatically on repository changes | Reduce time between code commit and deployment | Understand how to extract event data and create pipeline runs,Triggers,"about-combined.adoc -> Triggers, lines 1002-1190","Main job covering event-driven automation. Separate from core concepts because it represents a complete automation workflow pattern. Includes TriggerBinding, TriggerTemplate, Trigger, and EventListener components.",about-combined.adoc
12,install_config,Installing and configuring,"When deploying CI/CD infrastructure, I want to install the OpenShift Pipelines Operator through the web console, so I can enable pipeline functionality across my cluster with minimal setup complexity.",consumption,Cluster administrator,Get Started,main_job,,Configure TektonConfig profiles | Verify Operator installation | Install in restricted environment,Minimize installation time | Ensure all components are ready automatically | Avoid manual configuration errors | Enable automatic upgrades,Installing the Red Hat OpenShift Pipelines Operator in web console,"install_config-combined.adoc -> Installing the Red Hat OpenShift Pipelines Operator in web console, lines 74-183",Main installation job covering Operator deployment via UI. Includes automatic TektonConfig CR installation with profile selection (Lite/Basic/All).,install_config
13,install_config,Installing and configuring,"When the Operator installation completes, I want to verify that all Tekton components are ready and functional, so I can confirm the installation succeeded before creating pipelines.",consumption,Cluster administrator,Get Started,main_job,Install the OpenShift Pipelines Operator,Check component versions | Troubleshoot installation issues,Minimize time to validate installation | Ensure all components are ready before use | Detect installation failures early,Installing the Red Hat OpenShift Pipelines Operator in web console,"install_config-combined.adoc -> Installing the Red Hat OpenShift Pipelines Operator in web console, lines 134-182","Verification job using CLI commands 'oc get tektonconfig config' and 'oc get tektonpipeline,tektontrigger,tektonchain,tektonaddon,pac'. Web console status may show 'Succeeded Up to date' even if components still installing.",install_config
14,install_config,Installing and configuring,"When operating in a disconnected or air-gapped network environment, I want the Pipelines Operator to automatically configure proxy settings for pipeline components, so I can run pipelines without manual proxy configuration.",consumption,Cluster administrator,Configure,main_job,Install the OpenShift Pipelines Operator | Configure cluster proxy object,Mirror images to restricted environment | Disable proxy for specific namespaces,Minimize manual proxy configuration | Ensure pipeline containers can access required resources | Avoid proxy-related pipeline failures,Red Hat OpenShift Pipelines Operator in a restricted environment,"install_config-combined.adoc -> Red Hat OpenShift Pipelines Operator in a restricted environment, lines 240-256",Operator installs proxy webhook that sets environment variables based on cluster proxy object. Proxy disabled by default for openshift-pipelines namespace. Can disable for other namespaces using label 'operator.tekton.dev/disable-proxy: true'.,install_config
15,install_config,Installing and configuring,"When I need to fully remove OpenShift Pipelines from my cluster, I want to cleanly uninstall all components and custom resources, so I can ensure no residual configuration or resources remain that could interfere with future installations or cluster operations.",consumption,Cluster administrator,Conclude,main_job,Have cluster administrator permissions | Understand that uninstallation will delete all pipelines and tasks,Back up existing pipelines before uninstallation | Reinstall OpenShift Pipelines if needed,Minimize time required to completely remove all Pipelines components | Ensure no orphaned resources remain after uninstallation | Reduce likelihood of conflicts during future reinstallation | Prevent accidental deletion of important pipeline resources,Uninstalling OpenShift Pipelines,"install_config-combined.adoc, lines 335-393: Assembly abstract states 'Cluster administrators can uninstall the Pipelines Operator by performing the following steps: Delete the Custom Resources (CRs) for the optional components, TektonHub and TektonResult, if these CRs exist, and then delete the TektonConfig CR. Uninstall the Pipelines Operator. Delete the Custom Resource Definitions (CRDs) of the operator.tekton.dev group.'",Main decommissioning job for the entire Pipelines lifecycle. Requires careful sequencing to avoid orphaned components. Documentation emphasizes the importance of CR deletion before operator removal.,install_config-combined.adoc
16,install_config,Installing and configuring,"When managing high-volume pipeline workloads, I want to optimize controller performance with HA mode and resource allocation, so I can reduce delays and handle peak loads without bottlenecks",core,Cluster administrator,Configure,main_job,Install OpenShift Pipelines Operator,Configure pipeline control plane | Monitor pipeline performance,Minimize time for task runs to start under high load | Reduce likelihood of controller bottlenecks during peak operations | Ensure controller operations scale across multiple replicas | Optimize API query throughput to cluster control plane,Performance tuning using the TektonConfig custom resource,"install_config-combined.adoc -> Performance tuning using the TektonConfig custom resource, lines 541-613. Key quotes: 'You can tune the performance and high availability (HA) of the {pipelines-shortname} controller by editing the TektonConfig custom resource', 'Without HA mode, a single pod executes these operations, potentially creating significant delays under a high load', 'In HA mode, {pipelines-shortname} uses several pods (replicas) to run these operations'","Main job for performance optimization. Covers HA mode, bucket configuration, replica counts, API query limits. Multiple user stories for different tuning scenarios.",install_config-combined.adoc
