doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
understanding-openshift-pipelines-self-managed-reduced.adoc,Key features,"When I need to implement CI/CD for my application, I want to understand what OpenShift Pipelines capabilities are available, so I can determine if it meets my automation requirements",core,Developer,Get Started,main_job,,,Understand pipeline concepts; Evaluate CI/CD tooling options,Minimize time spent researching CI/CD platform capabilities; Minimize uncertainty about platform fit for microservices architecture; Maximize confidence in platform selection decision,"understanding-openshift-pipelines-self-managed-reduced.adoc -> Key features, lines 69-87","This is a foundational learning job that precedes implementation. The section lists serverless, decentralized team support, integration with OCP tools, and Developer console management as key differentiators."
understanding-openshift-pipelines-self-managed-reduced.adoc,Key features,"When I need to build container images in my CI/CD pipeline, I want to know what build tools are supported, so I can choose the right image building strategy for my project",related,Developer,Reference,user_story,"When I need to implement CI/CD for my application, I want to understand what OpenShift Pipelines capabilities are available, so I can determine if it meets my automation requirements",,,Minimize time spent finding supported image build tools; Maximize portability of image builds across OpenShift platforms; Minimize risk of choosing an incompatible build tool,"understanding-openshift-pipelines-self-managed-reduced.adoc -> Key features, lines 84-85","Specific to understanding build tool options (S2I, Buildah, Buildpacks, Kaniko). This is implementation-specific knowledge supporting the main job of evaluating platform capabilities."
understanding-openshift-pipelines-self-managed-reduced.adoc,Tasks,"When I am designing a CI/CD workflow, I want to understand how to structure reusable units of work, so I can create maintainable and composable pipeline components",core,CI/CD engineer,Architecture,main_job,,Understand basic OpenShift Pipelines concepts,Design pipeline orchestration; Share data between pipeline steps,Minimize duplication of pipeline logic across projects; Maximize reusability of pipeline components; Minimize complexity of pipeline maintenance; Maximize understanding of task execution model,"understanding-openshift-pipelines-self-managed-reduced.adoc -> Tasks, lines 105-177","Covers the conceptual model of Tasks as building blocks with inputs/outputs, steps as sequential commands, and the pod/container execution model. This is architectural understanding, not tool-specific implementation."
understanding-openshift-pipelines-self-managed-reduced.adoc,Tasks,"When I am creating a Task definition, I want to understand the Task specification structure and required fields, so I can correctly define my pipeline tasks",core,Developer,Reference,user_story,"When I am designing a CI/CD workflow, I want to understand how to structure reusable units of work, so I can create maintainable and composable pipeline components",,,Minimize errors in Task YAML syntax; Minimize time spent looking up Task specification fields; Maximize correctness of Task definitions,"understanding-openshift-pipelines-self-managed-reduced.adoc -> Tasks, lines 121-158","Specific to understanding the Task YAML structure (apiVersion, kind, metadata, spec). The apply-manifests example provides concrete reference material for task authoring."
understanding-openshift-pipelines-self-managed-reduced.adoc,When expression,"When I need to control pipeline execution flow based on conditions, I want to understand how to guard task execution, so I can implement conditional logic in my pipelines",core,CI/CD engineer,Architecture,main_job,,Understand Tasks and pipeline orchestration,Handle pipeline failure scenarios; Implement finally tasks,Minimize unnecessary task executions in pipelines; Maximize control over pipeline execution paths; Minimize complexity of conditional pipeline logic; Maximize reliability of conditional task execution,"understanding-openshift-pipelines-self-managed-reduced.adoc -> When expression, lines 180-348","Covers the conceptual model of when expressions with input/operator/values components, evaluation timing, and use cases (checking results, file changes, image existence, workspace availability)."
understanding-openshift-pipelines-self-managed-reduced.adoc,When expression,"When I need to skip tasks based on parameter values or task results, I want to understand the when expression syntax and operators, so I can write correct conditional expressions",core,Developer,Reference,user_story,"When I need to control pipeline execution flow based on conditions, I want to understand how to guard task execution, so I can implement conditional logic in my pipelines",,,Minimize syntax errors in when expressions; Minimize time spent debugging conditional logic; Maximize understanding of in/notin operators; Maximize correct use of parameters and results in conditions,"understanding-openshift-pipelines-self-managed-reduced.adoc -> When expression, lines 194-327",Specific to the syntax of when expressions including input/operator/values fields and the detailed PipelineRun example showing various condition patterns.
understanding-openshift-pipelines-self-managed-reduced.adoc,Finally tasks,"When designing a CI/CD pipeline, I want to understand how to ensure cleanup and notification tasks always run, so I can maintain system hygiene and provide consistent feedback regardless of pipeline success or failure",core,CI/CD engineer,Get Started,main_job,,,Understanding pipeline execution flow; Understanding task dependencies,Minimize the time it takes to ensure cleanup operations complete; Minimize the likelihood that resources are left in an inconsistent state; Minimize the uncertainty about whether notification tasks will execute,"understanding-openshift-pipelines-self-managed-reduced.adoc -> Finally tasks, lines 351-428","This is a learning/reference job focused on understanding the finally tasks concept. The section explains that finally tasks run in parallel after all other pipeline tasks finish, regardless of success or failure. This is a stable, outcome-focused goal applicable across different CI/CD tools."
understanding-openshift-pipelines-self-managed-reduced.adoc,Finally tasks,"When implementing cleanup operations in OpenShift Pipelines, I want to configure finally tasks that consume results from earlier tasks, so I can perform context-aware cleanup and validation",related,Developer,Reference,user_story,"When designing a CI/CD pipeline, I want to understand how to ensure cleanup and notification tasks always run, so I can maintain system hygiene and provide consistent feedback regardless of pipeline success or failure",Understanding of OpenShift Pipelines task concept; Understanding of YAML syntax,Defining pipeline workspaces; Referencing task results,Minimize the time it takes to implement finally tasks; Minimize the complexity of finally task configuration; Minimize the likelihood of cleanup tasks failing,"understanding-openshift-pipelines-self-managed-reduced.adoc -> Finally tasks, lines 351-428",This is a user_story because it's specific to OpenShift Pipelines implementation using the finally field and Tekton syntax. The example shows the clone-cleanup-workspace pipeline with cleanup and check-git-commit finally tasks.
understanding-openshift-pipelines-self-managed-reduced.adoc,Task run,"When learning CI/CD automation, I want to understand how task definitions are instantiated and executed with specific parameters, so I can control the execution of individual build steps",core,Developer,Get Started,main_job,,,Understanding task definitions; Understanding pipeline execution,Minimize the time it takes to understand task execution lifecycle; Minimize the uncertainty about how tasks are started and monitored; Minimize the confusion between task definitions and task instances,"understanding-openshift-pipelines-self-managed-reduced.adoc -> Task run, lines 431-477","This is a learning job focused on understanding the concept of instantiating tasks with specific inputs/outputs. The section explains TaskRun as the instantiation mechanism, which is a stable concept across CI/CD systems even though the implementation is Tekton-specific."
understanding-openshift-pipelines-self-managed-reduced.adoc,Task run,"When executing a task in OpenShift Pipelines, I want to create a TaskRun resource with the required workspace and parameters, so I can run the task with my specific configuration",related,Developer,Reference,user_story,"When learning CI/CD automation, I want to understand how task definitions are instantiated and executed with specific parameters, so I can control the execution of individual build steps",Task definition exists; Workspace configuration is available,Creating PersistentVolumeClaims; Configuring service accounts,Minimize the time it takes to start a task execution; Minimize the errors in TaskRun configuration; Minimize the complexity of workspace binding,"understanding-openshift-pipelines-self-managed-reduced.adoc -> Task run, lines 431-477","This is a user_story specific to OpenShift Pipelines/Tekton. The example shows the apply-manifests-taskrun with taskRef, workspaces, and serviceAccountName fields. Tool-specific implementation details make this a user_story rather than a main_job."
