doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Bootstrap commands,"When I need to set up Pipelines as Code for my organization, I want to install and configure it for my Git provider, so I can enable automated pipeline execution from repository events.",core,Platform engineer,Configure,main_job,,Have OpenShift cluster access; Have Git repository hosting service account,Create repository configurations; Configure webhook access,Minimize time to get PaC operational; Reduce likelihood of configuration errors; Ensure integration works with Git provider,"pac-command-reference-self-managed-reduced.adoc -> Bootstrap commands section, lines 108-127"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Bootstrap commands,"When I need to install Pipelines as Code, I want to use the bootstrap command to automate installation and configuration, so I can quickly integrate with GitHub or GitHub Enterprise.",core,Cluster administrator,Configure,user_story,Install and configure Pipelines as Code for my Git provider,Have OpenShift cluster admin privileges,Override default route URL; Install nightly builds for testing,Complete installation in minimal steps; Ensure proper detection of OpenShift routes; Avoid manual configuration steps,"pac-command-reference-self-managed-reduced.adoc -> Bootstrap commands section, lines 108-127"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Bootstrap commands,"When I need to create GitHub App credentials, I want to use the bootstrap github-app command, so I can establish authenticated communication between PaC and GitHub.",core,Platform engineer,Secure,user_story,Install and configure Pipelines as Code for my Git provider,Have Pipelines as Code installed; Have GitHub organization admin access,Configure webhook secrets,Minimize manual secret creation steps; Ensure secrets are stored securely in correct namespace; Reduce likelihood of authentication failures,"pac-command-reference-self-managed-reduced.adoc -> Bootstrap commands section, line 126"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Repository commands,"When I need to connect my source code repository to Pipelines as Code, I want to create and manage repository configurations, so I can enable automated pipeline execution for my projects.",core,DevOps engineer,Configure,main_job,,Have Pipelines as Code installed; Have access to source code repository,Generate pipeline run templates; Monitor repository status,Minimize time to enable PaC for a repository; Reduce likelihood of misconfiguration; Ensure pipeline triggers are properly configured,"pac-command-reference-self-managed-reduced.adoc -> Repository commands section, lines 129-142"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Repository commands,"When I need to set up a new repository for Pipelines as Code, I want to use the create repository command, so I can automatically create the namespace and repository configuration from a template.",core,Pipeline developer,Configure,user_story,Create and manage repository configurations,Have Pipelines as Code bootstrap completed; Have pipeline run template available,Generate pipeline runs; List repositories,Complete repository setup in single command; Ensure namespace is created with correct permissions; Avoid manual YAML editing,"pac-command-reference-self-managed-reduced.adoc -> Repository commands section, line 136"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Repository commands,"When I need to view the status of my Pipelines as Code repositories, I want to list all repositories with their last run status, so I can monitor pipeline health across projects.",core,DevOps engineer,Observe,user_story,Create and manage repository configurations,Have one or more PaC repositories configured,Describe repository details; Troubleshoot pipeline failures,Minimize time to identify failing repositories; Ensure visibility of all configured repositories; Reduce need to check individual namespaces,"pac-command-reference-self-managed-reduced.adoc -> Repository commands section, line 138"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Repository commands,"When I need detailed information about a specific repository, I want to describe the repository and view associated runs, so I can understand pipeline execution history and configuration.",core,Pipeline developer,Observe,user_story,Create and manage repository configurations,Have PaC repository created,List all repositories; View logs for specific runs,Minimize time to access repository details; Ensure visibility of run history; Reduce need to query multiple resources,"pac-command-reference-self-managed-reduced.adoc -> Repository commands section, line 140"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Generate commands,"When I need to create a pipeline run for my application, I want to generate a starter template automatically, so I can begin testing without writing YAML from scratch.",core,Pipeline developer,Prepare,main_job,,Have source code repository with application code,Resolve pipeline runs locally; Test pipeline definitions,Minimize time to create initial pipeline run; Reduce likelihood of syntax errors; Ensure language-appropriate tasks are included,"pac-command-reference-self-managed-reduced.adoc -> Generate commands section, lines 144-159"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Generate commands,"When I need a pipeline run template for my project, I want the generate command to detect my language and Git information, so I can get a customized starter pipeline without manual configuration.",core,Pipeline developer,Prepare,user_story,Generate a starter pipeline run template,Have source code in current directory; Have Git repository initialized,Add language-specific tasks; Customize generated pipeline,Complete pipeline generation in single command; Ensure correct language detection; Avoid manual Git parameter configuration,"pac-command-reference-self-managed-reduced.adoc -> Generate commands section, lines 151-158"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Resolve commands,"When I need to test pipeline changes without creating commits, I want to resolve and execute pipeline runs locally, so I can validate my pipeline definitions before pushing to Git.",core,Pipeline developer,Confirm,main_job,,Have pipeline run YAML files; Have local Kubernetes cluster access,Generate pipeline runs; Troubleshoot pipeline errors,Minimize iteration time for pipeline development; Reduce unnecessary commits to Git history; Ensure pipeline runs work as expected before deployment,"pac-command-reference-self-managed-reduced.adoc -> Resolve commands section, lines 161-182"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Resolve commands,"When I need to test a pipeline run locally, I want to use the resolve command to execute it as if PaC owns it, so I can observe live execution without triggering webhooks.",core,Pipeline developer,Confirm,user_story,Test pipeline changes without creating commits,Have pipeline run YAML file; Have access to Kubernetes cluster,Generate pipeline runs; Apply custom parameters,Complete local testing without new commits; Ensure accurate simulation of PaC execution; Reduce debugging cycles,"pac-command-reference-self-managed-reduced.adoc -> Resolve commands section, lines 168-174"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - Resolve commands,"When I need to test a pipeline with different parameters, I want to override default values using the resolve command, so I can validate pipeline behavior with various inputs without modifying files.",core,Pipeline developer,Confirm,user_story,Test pipeline changes without creating commits,Have pipeline run YAML file; Know which parameters to override,Execute local pipeline runs; Test different branches,Minimize file modifications during testing; Ensure flexibility in parameter testing; Reduce need to create multiple YAML variants,"pac-command-reference-self-managed-reduced.adoc -> Resolve commands section, lines 176-181"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - CEL commands,"When I need to validate webhook event filtering logic, I want to evaluate CEL expressions against webhook payloads, so I can ensure my pipeline triggers activate under the correct conditions.",core,Cluster administrator,Troubleshoot,main_job,,Have webhook payload samples; Have webhook headers; Understand CEL expression syntax,Debug webhook filtering; Configure repository event filters,Minimize time to validate filtering logic; Reduce likelihood of incorrect trigger activation; Ensure expressions match intended events,"pac-command-reference-self-managed-reduced.adoc -> CEL commands section, lines 184-308"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - CEL commands,"When I need to test CEL filtering expressions, I want to use the cel command with webhook payloads and headers, so I can verify event filtering works correctly before deploying to production.",core,Platform engineer,Troubleshoot,user_story,Validate webhook event filtering logic,Have access to webhook payload JSON files; Have webhook headers file,Test different event types; Debug expression syntax errors,Complete expression testing without live webhooks; Ensure accurate payload matching; Reduce production filtering issues,"pac-command-reference-self-managed-reduced.adoc -> CEL commands section, lines 210-225, 271-308"
pac-command-reference-self-managed-reduced.adoc,Pipelines as Code command reference - CEL commands,"When I need to evaluate CEL expressions interactively, I want to use the interactive mode with expression history, so I can rapidly test different filtering conditions and iterate on my logic.",core,Pipeline developer,Troubleshoot,user_story,Validate webhook event filtering logic,Have webhook payload and headers files,Test non-interactive expressions; View expression history,Minimize time between expression tests; Ensure access to previous expressions; Reduce repetitive typing,"pac-command-reference-self-managed-reduced.adoc -> CEL commands section, lines 264-266"
pac-command-reference-self-managed-reduced.adoc,Configuring Pipelines as Code logging,"When I need to control logging verbosity for troubleshooting, I want to configure PaC log levels through TektonConfig CR, so I can adjust observability based on operational needs.",core,Cluster administrator,Configure,main_job,,Have Pipelines as Code installed; Have cluster admin access,View component logs; Troubleshoot pipeline issues,Minimize noise in logs during normal operation; Ensure detailed logging available for debugging; Reduce time to identify root causes,"pac-command-reference-self-managed-reduced.adoc -> Configuring PaC logging section, lines 326-473"
pac-command-reference-self-managed-reduced.adoc,Configuring Pipelines as Code logging,"When I need to adjust logging for PaC components, I want to edit the pac-config-logging configmap in TektonConfig CR, so I can set appropriate log levels for controller, webhook, and watcher components.",core,Platform engineer,Configure,user_story,Configure PaC log levels through TektonConfig CR,"Have TektonConfig CR access; Understand log level options (info, warn, debug)",Create custom logging configmaps; Monitor component behavior,Complete log level changes without pod restarts; Ensure changes persist across updates; Reduce verbosity for stable components,"pac-command-reference-self-managed-reduced.adoc -> Configuring PaC logging section, lines 336-396"
pac-command-reference-self-managed-reduced.adoc,Configuring Pipelines as Code logging,"When I need custom logging configurations per component, I want to create a custom logging configmap and reference it in deployment specs, so I can maintain separate log configurations for different PaC components.",core,Platform engineer,Configure,user_story,Configure PaC log levels through TektonConfig CR,Have TektonConfig CR access; Understand component deployment structure,Configure default logging; Troubleshoot specific components,Ensure component-specific logging flexibility; Reduce coupling between component configurations; Avoid modifying default configmaps,"pac-command-reference-self-managed-reduced.adoc -> Configuring PaC logging section, lines 398-472"
pac-command-reference-self-managed-reduced.adoc,Splitting Pipelines as Code logs by namespace,"When I need to troubleshoot pipeline issues for specific projects, I want to filter PaC logs by namespace, so I can isolate relevant log entries without processing unrelated information.",core,DevOps engineer,Troubleshoot,main_job,,Have access to PaC controller pods; Know target namespace name,View all PaC logs; Configure logging levels,Minimize time to find relevant log entries; Reduce noise from other namespaces; Ensure complete visibility of namespace-specific events,"pac-command-reference-self-managed-reduced.adoc -> Splitting PaC logs by namespace section, lines 482-493"
