doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
release_notes-combined.adoc,Compatibility and support matrix,"When planning to upgrade OpenShift Pipelines, I want to verify my cluster version is supported, so I can avoid compatibility issues and ensure successful deployment.",core,Platform administrator,Plan,main_job,,,Review breaking changes before upgrade; Assess technology preview features; Check component version compatibility,Minimize risk of upgrade failure; Ensure all pipeline components are supported on my cluster version; Understand which features are GA vs Technology Preview,"release_notes-combined.adoc -> Compatibility and support matrix, lines 85-124",Main job for pre-upgrade compatibility verification
release_notes-combined.adoc,Compatibility and support matrix,"When evaluating a new Pipelines release, I want to identify which components are Technology Preview versus GA, so I can make informed decisions about production readiness.",core,Platform administrator,Evaluate,user_story,"When planning to upgrade OpenShift Pipelines, I want to verify my cluster version is supported, so I can avoid compatibility issues and ensure successful deployment.",,Review technology preview features in detail; Assess organizational risk tolerance,Understand support status for each component; Plan which features can be used in production,"release_notes-combined.adoc -> Compatibility and support matrix, lines 93-115",Helps distinguish between experimental and production-ready features
release_notes-combined.adoc,Compatibility and support matrix,"When managing multiple OpenShift clusters, I want to review the OpenShift version support range, so I can plan rollout strategy across clusters running different versions.",core,Platform administrator,Plan,user_story,"When planning to upgrade OpenShift Pipelines, I want to verify my cluster version is supported, so I can avoid compatibility issues and ensure successful deployment.",,Coordinate with cluster upgrade schedule,Identify clusters eligible for upgrade; Align Pipelines upgrades with cluster lifecycle,"release_notes-combined.adoc -> Compatibility and support matrix, lines 109",Addresses multi-cluster deployment scenarios
release_notes-combined.adoc,New features and enhancements - Pipelines,"When planning to adopt a new Pipelines release, I want to evaluate new Pipelines features and enhancements, so I can identify improvements that benefit my CI/CD workflows.",core,Pipeline developer,Evaluate,main_job,,,Assess impact on existing pipelines; Test new features in non-production,Improve pipeline performance and reliability; Reduce pipeline execution time; Enhance security posture of pipelines,"release_notes-combined.adoc -> New features and enhancements - Pipelines, lines 145-198",Main job for feature adoption evaluation
release_notes-combined.adoc,New features and enhancements - Pipelines,"When using user namespace isolation on OCP 4.20+, I want to configure hostUsers in podTemplate, so I can enable Kubernetes-native security without legacy CRI-O annotations.",core,Pipeline developer,Evaluate,user_story,"When planning to adopt a new Pipelines release, I want to evaluate new Pipelines features and enhancements, so I can identify improvements that benefit my CI/CD workflows.",OpenShift 4.20 or later,Migrate from buildah-ns task,Improve pipeline security through namespace isolation; Simplify security configuration,"release_notes-combined.adoc -> New features and enhancements - Pipelines, lines 148-151",Addresses security enhancement for user namespace support
release_notes-combined.adoc,New features and enhancements - Pipelines,"When fetching pipeline content from HTTP sources, I want to verify content integrity using hash parameters, so I can prevent execution of tampered or unexpected content.",core,Pipeline developer,Evaluate,user_story,"When planning to adopt a new Pipelines release, I want to evaluate new Pipelines features and enhancements, so I can identify improvements that benefit my CI/CD workflows.",,Review security best practices for remote task resolution,Ensure pipeline content integrity; Prevent supply chain attacks; Match security level of git and bundle resolvers,"release_notes-combined.adoc -> New features and enhancements - Pipelines, lines 153-156",Security enhancement for HTTP resolver
release_notes-combined.adoc,New features and enhancements - Pipelines,"When running pipelines that fetch remote resources frequently, I want to enable resolver caching, so I can reduce API calls and avoid rate limit errors.",core,Pipeline developer,Evaluate,user_story,"When planning to adopt a new Pipelines release, I want to evaluate new Pipelines features and enhancements, so I can identify improvements that benefit my CI/CD workflows.",,Configure caching mode appropriate for security requirements; Monitor API usage against rate limits,Prevent pipeline failures from rate limiting; Improve pipeline execution performance; Reduce external API dependency,"release_notes-combined.adoc -> New features and enhancements - Pipelines, lines 158-167",Performance and reliability enhancement
release_notes-combined.adoc,New features and enhancements - Pipelines,"When building complex pipeline logic, I want to use array values in when expressions, so I can implement more flexible conditional execution patterns.",core,Pipeline developer,Evaluate,user_story,"When planning to adopt a new Pipelines release, I want to evaluate new Pipelines features and enhancements, so I can identify improvements that benefit my CI/CD workflows.",,Refactor existing conditional logic,Simplify complex conditional pipeline logic; Reduce pipeline code duplication,"release_notes-combined.adoc -> New features and enhancements - Pipelines, lines 169-172",Enhances pipeline expressiveness
release_notes-combined.adoc,New features and enhancements - Operator,"When integrating Pipelines with OpenShift monitoring, I want ServiceMonitor resources to be automatically created, so I can collect metrics without manual configuration.",core,Operator/SRE,Evaluate,user_story,"When planning to adopt a new Pipelines release, I want to evaluate new Pipelines features and enhancements, so I can identify improvements that benefit my CI/CD workflows.",Prometheus Operator installed,Configure alerting rules for pipeline metrics,Simplify monitoring setup; Enable proactive pipeline health monitoring,"release_notes-combined.adoc -> New features and enhancements - Operator, lines 202-205",Operational improvement for monitoring
release_notes-combined.adoc,New features and enhancements - Pipelines as Code,"When using Pipelines as Code with file-based trigger filtering, I want changed files to be cached per event, so I can reduce VCS API calls and avoid rate limits.",core,Pipeline developer,Evaluate,user_story,"When planning to adopt a new Pipelines release, I want to evaluate new Pipelines features and enhancements, so I can identify improvements that benefit my CI/CD workflows.",,Configure path-based trigger filtering,Prevent API rate limit errors; Improve pipeline trigger performance,"release_notes-combined.adoc -> New features and enhancements - Pipelines as Code, lines 210-213",PaC performance and reliability enhancement
