doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
configuring-multicluster-support-self-managed-reduced.adoc,Abstract,"When I need to scale pipeline infrastructure horizontally, I want to distribute pipeline workloads across multiple clusters, so I can overcome resource contention and handle increased capacity demands.",core,Platform Administrator,PLAN,main_job,,,Configure hub cluster for multicluster; Configure spoke clusters for multicluster,Minimize resource contention on API server and etcd; Reduce impact of cluster failures; Increase overall pipeline capacity,"modules/op-about-multicluster-support.adoc, lines 63-67, abstract section describing multicluster capability",Source: assembly abstract. Main job representing the core business need for multicluster support.
configuring-multicluster-support-self-managed-reduced.adoc,About multicluster support in OpenShift Pipelines,"When I experience performance degradation from running many concurrent pipeline tasks, I want to understand how multicluster architecture addresses resource bottlenecks, so I can decide if this approach fits my needs.",core,Platform Administrator,PLAN,main_job,,,Scale pipeline infrastructure horizontally,Minimize time to evaluate architectural options; Reduce likelihood of choosing wrong scaling approach; Ensure understanding of multicluster benefits and tradeoffs,"modules/op-about-multicluster-support.adoc, lines 90-116, concept section explaining benefits and workflow",Source: modules/op-about-multicluster-support.adoc (CONCEPT). Main job focused on evaluation and understanding.
configuring-multicluster-support-self-managed-reduced.adoc,Multicluster architecture,"When I plan to implement multicluster pipelines, I want to understand the hub-and-spoke architecture components, so I can properly design my infrastructure.",related,Cluster Administrator,PLAN,user_story,Understand how multicluster architecture addresses resource bottlenecks,,Configure hub cluster for multicluster; Configure spoke clusters for multicluster,Minimize time to understand architectural roles; Ensure correct component placement; Reduce likelihood of misconfiguration,"modules/op-multicluster-architecture.adoc, lines 126-175, concept section detailing hub cluster, spoke clusters, and Kueue/MultiKueue",Source: modules/op-multicluster-architecture.adoc (CONCEPT). User story under planning/understanding main job.
configuring-multicluster-support-self-managed-reduced.adoc,Configuring the hub cluster for multicluster,"When I want to enable multicluster pipeline distribution, I want to configure a hub cluster to manage and schedule pipeline runs, so I can centralize pipeline orchestration.",core,Platform Administrator,CONFIGURE,main_job,,Install OpenShift Pipelines Operator on hub cluster; Have cluster-admin permissions; Obtain kubeconfig files for spoke clusters,Configure spoke clusters for multicluster; Verify multicluster setup,Minimize configuration complexity; Ensure hub can connect to all spoke clusters; Reduce likelihood of RBAC permission errors,"modules/op-configuring-hub-cluster-multicluster.adoc, lines 184-476, procedure section with 8 configuration steps",Source: modules/op-configuring-hub-cluster-multicluster.adoc (PROCEDURE). Main job for hub cluster setup.
configuring-multicluster-support-self-managed-reduced.adoc,Configuring the hub cluster for multicluster - Install RHBoK operator,"When configuring the hub cluster, I want to install the Red Hat Build of Kueue operator, so I can enable workload scheduling capabilities.",consumption,Platform Administrator,ONBOARD,user_story,Configure hub cluster to manage and schedule pipeline runs,Have cluster-admin access to hub cluster,Install cert-manager,Minimize installation time; Ensure correct operator version installed; Reduce likelihood of dependency issues,"modules/op-configuring-hub-cluster-multicluster.adoc, lines 198-238, step 1 installing Kueue operator",Source: modules/op-configuring-hub-cluster-multicluster.adoc (PROCEDURE step 1). Consumption job for operator installation.
configuring-multicluster-support-self-managed-reduced.adoc,Configuring the hub cluster for multicluster - Create RBAC resources,"When enabling Kueue on the hub cluster, I want to grant Kueue controller permissions to manage Tekton PipelineRuns, so I can allow workload scheduling.",core,Cluster Administrator,CONFIGURE,user_story,Configure hub cluster to manage and schedule pipeline runs,Install Red Hat Build of Kueue operator,,Ensure Kueue has minimal required permissions; Reduce likelihood of permission denied errors; Minimize time to troubleshoot RBAC issues,"modules/op-configuring-hub-cluster-multicluster.adoc, lines 240-279, step 2 creating ClusterRole and ClusterRoleBinding",Source: modules/op-configuring-hub-cluster-multicluster.adoc (PROCEDURE step 2). User story for RBAC configuration.
configuring-multicluster-support-self-managed-reduced.adoc,Configuring the hub cluster for multicluster - Create spoke cluster secrets,"When connecting spoke clusters to the hub, I want to create secrets containing spoke kubeconfig files, so I can authenticate hub-to-spoke connections.",core,Platform Administrator,CONFIGURE,user_story,Configure hub cluster to manage and schedule pipeline runs,Obtain kubeconfig files from spoke cluster administrators,Configure spoke clusters for multicluster,Minimize time to establish spoke connections; Ensure secure credential storage; Reduce likelihood of authentication failures,"modules/op-configuring-hub-cluster-multicluster.adoc, lines 281-301, step 3 creating secrets for spoke cluster authentication",Source: modules/op-configuring-hub-cluster-multicluster.adoc (PROCEDURE step 3). User story for credential management.
configuring-multicluster-support-self-managed-reduced.adoc,Configuring the hub cluster for multicluster - Create network policy,"When configuring hub cluster networking, I want to allow egress traffic from Kueue pods to spoke API servers, so I can enable cross-cluster communication.",core,Cluster Administrator,CONFIGURE,user_story,Configure hub cluster to manage and schedule pipeline runs,Install Red Hat Build of Kueue operator,,Ensure connectivity to all spoke clusters; Minimize network-related scheduling failures; Reduce time to diagnose connection issues,"modules/op-configuring-hub-cluster-multicluster.adoc, lines 303-329, step 4 creating NetworkPolicy for egress",Source: modules/op-configuring-hub-cluster-multicluster.adoc (PROCEDURE step 4). User story for network configuration.
configuring-multicluster-support-self-managed-reduced.adoc,Configuring the hub cluster for multicluster - Create Kueue resources,"When setting up workload scheduling, I want to create Kueue resources defining quotas and spoke cluster connections, so I can control pipeline distribution policies.",core,Platform Administrator,CONFIGURE,user_story,Configure hub cluster to manage and schedule pipeline runs,Create spoke cluster secrets; Install Red Hat Build of Kueue operator,,Minimize configuration complexity for MultiKueue; Ensure correct quota allocation across clusters; Reduce likelihood of misconfigured cluster references,"modules/op-configuring-hub-cluster-multicluster.adoc, lines 331-425, step 5 creating ResourceFlavor, ClusterQueue, LocalQueue, AdmissionCheck, MultiKueueConfig, MultiKueueCluster",Source: modules/op-configuring-hub-cluster-multicluster.adoc (PROCEDURE step 5). User story for Kueue resource setup.
configuring-multicluster-support-self-managed-reduced.adoc,Configuring the hub cluster for multicluster - Enable multicluster in TektonConfig,"When activating multicluster features, I want to patch TektonConfig to set hub cluster role, so I can enable pipeline scheduling across clusters.",core,Platform Administrator,CONFIGURE,user_story,Configure hub cluster to manage and schedule pipeline runs,Install OpenShift Pipelines Operator; Create Kueue resources,,Minimize time to enable multicluster mode; Ensure scheduler correctly identifies hub role; Reduce likelihood of role misconfiguration,"modules/op-configuring-hub-cluster-multicluster.adoc, lines 426-442, step 6 patching TektonConfig with multi-cluster-role: Hub",Source: modules/op-configuring-hub-cluster-multicluster.adoc (PROCEDURE step 6). User story for enabling multicluster in Tekton.
