doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
using-rh-entitlements-pipelines-self-managed-reduced.adoc,Using Red Hat subscriptions in builds,"When I need to build container images that require RHEL packages, I want to provide build processes with access to Red Hat subscription entitlements, so I can install licensed RHEL content during builds",core,cluster administrator,Configure,main_job,,"When I manage an OpenShift cluster, I want to ensure my cluster has valid Red Hat subscriptions, so I can access entitled content","When I build container images in pipelines, I want to use Red Hat Universal Base Images as base images, so I can create supportable containers; When I manage secrets in OpenShift, I want to understand how entitlement secrets work, so I can troubleshoot access issues",Minimize build failures due to missing package repositories; Ensure builds can access all entitled RHEL packages; Reduce time spent troubleshooting subscription issues in builds,"using-rh-entitlements-pipelines-self-managed-reduced.adoc -> Using Red Hat subscriptions in builds, lines 1-15",Core job that enables RHEL package installation during image builds
using-rh-entitlements-pipelines-self-managed-reduced.adoc,Adding the etc-pki-entitlement secret to a pipeline service account,"When I have a pipeline that needs to build images with RHEL packages, I want to configure the pipeline service account with entitlement access, so I can ensure the build tasks can authenticate to Red Hat repositories",core,cluster administrator,Configure,user_story,"When I need to build container images that require RHEL packages, I want to provide build processes with access to Red Hat subscription entitlements, so I can install licensed RHEL content during builds","When I need to build container images that require RHEL packages, I want to provide build processes with access to Red Hat subscription entitlements, so I can install licensed RHEL content during builds; When I manage service accounts in OpenShift, I want to understand how to link secrets to service accounts, so I can grant permissions to automated processes","When I create pipelines, I want to specify which service account the pipeline runs as, so I can control what resources the pipeline can access; When I troubleshoot pipeline build failures, I want to verify service account permissions, so I can identify missing credentials",Minimize manual intervention in pipeline builds; Ensure service accounts have exactly the permissions needed; Reduce risk of credential leakage by limiting service account scope,"using-rh-entitlements-pipelines-self-managed-reduced.adoc -> Adding the etc-pki-entitlement secret to a pipeline service account, lines 16-35",User story implementing the main job by configuring service account access
using-rh-entitlements-pipelines-self-managed-reduced.adoc,Adding the etc-pki-entitlement secret to a pipeline service account,"When I run oc edit or oc patch commands, I want to modify service account configurations declaratively, so I can add secret references without manual console navigation",consumption,cluster administrator,Configure,procedure,"When I have a pipeline that needs to build images with RHEL packages, I want to configure the pipeline service account with entitlement access, so I can ensure the build tasks can authenticate to Red Hat repositories",,"When I manage OpenShift resources, I want to use oc commands for configuration changes, so I can automate and version control my changes; When I edit Kubernetes resources, I want to understand YAML structure for service accounts, so I can make correct modifications",Minimize time to apply configuration changes; Ensure changes are repeatable and auditable; Reduce errors from manual console edits,"using-rh-entitlements-pipelines-self-managed-reduced.adoc -> Adding the etc-pki-entitlement secret to a pipeline service account, lines 25-35",Procedural task supporting the user story
using-rh-entitlements-pipelines-self-managed-reduced.adoc,Using Red Hat subscriptions in builds (implicit),"When I configure build environments, I want to mount entitlement secrets as volumes in build pods, so I can make certificate files available to package managers during builds",core,developer,Develop,user_story,"When I need to build container images that require RHEL packages, I want to provide build processes with access to Red Hat subscription entitlements, so I can install licensed RHEL content during builds","When I have a pipeline that needs to build images with RHEL packages, I want to configure the pipeline service account with entitlement access, so I can ensure the build tasks can authenticate to Red Hat repositories","When I write Dockerfiles for RHEL-based images, I want to configure dnf or yum to use entitlement certificates, so I can install packages from Red Hat repositories; When I design pipeline tasks, I want to declare volume mounts in task specifications, so I can make files available to build containers",Minimize changes required to existing Dockerfiles; Ensure entitlement certificates are available at expected paths; Reduce build complexity by handling credentials at infrastructure level,"using-rh-entitlements-pipelines-self-managed-reduced.adoc -> implicit from service account configuration context, lines 16-35",Implicit user story; document describes service account linking but the ultimate job is making certs available in build pods
using-rh-entitlements-pipelines-self-managed-reduced.adoc,Prerequisites (implicit),"When I manage an OpenShift cluster, I want to ensure my cluster has valid Red Hat subscriptions, so I can access entitled content",core,cluster administrator,Configure,main_job,,,"When I deploy OpenShift, I want to register the cluster with Red Hat Subscription Management, so I can activate entitlements; When I monitor subscriptions, I want to verify entitlement status, so I can renew before expiration",Ensure continuous access to Red Hat content repositories; Minimize service disruptions due to expired entitlements; Reduce compliance risk by maintaining active subscriptions,"using-rh-entitlements-pipelines-self-managed-reduced.adoc -> implicit prerequisite for all entitlement usage, lines 1-10",Foundational prerequisite job for using entitlements in any context
using-rh-entitlements-pipelines-self-managed-reduced.adoc,Using Red Hat subscriptions in builds (implicit),"When I build RHEL-based container images, I want to verify that entitlements are correctly configured, so I can catch authentication issues early in the development cycle",core,developer,Troubleshoot,main_job,,"When I need to build container images that require RHEL packages, I want to provide build processes with access to Red Hat subscription entitlements, so I can install licensed RHEL content during builds","When builds fail with repository access errors, I want to inspect entitlement certificate availability, so I can determine if the issue is credential-related; When I test pipeline configurations, I want to run trial builds in isolated environments, so I can validate entitlement setup before production use",Minimize failed builds in production pipelines; Reduce time to identify root cause of build failures; Ensure consistent build behavior across environments,"using-rh-entitlements-pipelines-self-managed-reduced.adoc -> implicit from troubleshooting context, lines 1-35",Implicit troubleshooting job; document does not explicitly cover verification but this is a natural related job
using-rh-entitlements-pipelines-self-managed-reduced.adoc,Adding the etc-pki-entitlement secret to a pipeline service account,"When I manage multiple pipelines across namespaces, I want to understand the scope of service account configurations, so I can determine whether to configure per-namespace or cluster-wide settings",core,cluster administrator,Plan,main_job,,"When I design OpenShift multi-tenancy, I want to understand namespace isolation boundaries, so I can enforce appropriate security policies","When I plan RBAC for pipelines, I want to define least-privilege service accounts, so I can minimize security risks; When I standardize pipeline configurations, I want to use templates or operators, so I can ensure consistency across teams",Minimize administrative overhead for entitlement management; Ensure appropriate security boundaries between teams; Reduce configuration drift across namespaces,"using-rh-entitlements-pipelines-self-managed-reduced.adoc -> implicit from namespace-scoped service account configuration, lines 16-35",Implicit planning job; document shows namespace-scoped configuration but does not discuss multi-namespace strategy
using-rh-entitlements-pipelines-self-managed-reduced.adoc,Using Red Hat subscriptions in builds (variant context),"When I operate self-managed OpenShift clusters, I want to understand how entitlement management differs from managed services, so I can implement the correct configuration approach",core,cluster administrator,Reference,main_job,,"When I choose between managed and self-managed OpenShift,I want to understand operational differences, so I can select the appropriate deployment model","When I manage OpenShift on-premises, I want to handle certificate and key distribution, so I can provide credentials to build processes; When I compare self-managed vs managed OpenShift, I want to evaluate administrative responsibilities, so I can understand resource requirements",Minimize misconfiguration due to incorrect deployment assumptions; Ensure compliance with Red Hat support requirements for self-managed clusters; Reduce learning curve when transitioning between deployment models,"using-rh-entitlements-pipelines-self-managed-reduced.adoc -> document variant is self-managed-specific, lines 1-35",Document is explicitly for self-managed variant; this job represents understanding the context
using-rh-entitlements-pipelines-self-managed-reduced.adoc,Using Red Hat subscriptions in builds,"When I architect CI/CD pipelines for containerized applications, I want to integrate Red Hat entitlements into build processes, so I can leverage RHEL ecosystem packages in my application images",core,DevOps engineer,Plan,main_job,,"When I design container image build strategies, I want to choose appropriate base images, so I can balance security, support, and functionality","When I select base images for applications, I want to evaluate RHEL UBI vs community alternatives, so I can make informed tradeoffs; When I plan CI/CD tooling, I want to assess OpenShift Pipelines capabilities, so I can determine if it meets build requirements",Minimize vendor lock-in while maintaining support options; Ensure build processes are repeatable and reliable; Reduce total cost of ownership for container infrastructure,"using-rh-entitlements-pipelines-self-managed-reduced.adoc -> high-level context from document purpose, lines 1-15",Higher-level planning job that precedes the configuration jobs; represents the strategic decision to use RHEL content
using-rh-entitlements-pipelines-self-managed-reduced.adoc,Adding the etc-pki-entitlement secret to a pipeline service account (secret naming),"When I reference the etc-pki-entitlement secret in configurations, I want to use the correct secret name, so I can avoid errors from typos or naming mismatches",consumption,cluster administrator,Configure,procedure,"When I have a pipeline that needs to build images with RHEL packages, I want to configure the pipeline service account with entitlement access, so I can ensure the build tasks can authenticate to Red Hat repositories",,"When I troubleshoot secret reference errors, I want to verify secret names in the namespace, so I can identify naming issues; When I document configurations, I want to use exact resource names, so I can create accurate runbooks",Minimize configuration errors from naming mistakes; Ensure configurations work on first attempt; Reduce time spent debugging reference errors,"using-rh-entitlements-pipelines-self-managed-reduced.adoc -> secret name 'etc-pki-entitlement' referenced in procedure, lines 25-35",Procedural detail; the specific secret name is critical for successful configuration
